int_player_id,str_url,dt_crawled
70,https://sofifa.com/player/228702/frenkie-de-jong/210007/,2020-11-15 01:00:13.469308
71,https://sofifa.com/player/223848/sergej-milinkovic-savic/210007/,2020-11-15 01:00:13.469693
72,https://sofifa.com/player/222492/leroy-sane/210007/,2020-11-15 01:00:13.470368
73,https://sofifa.com/player/220440/clement-lenglet/210007/,2020-11-15 01:00:13.470767
74,https://sofifa.com/player/212188/timo-werner/210007/,2020-11-15 01:00:13.471153
75,https://sofifa.com/player/210243/ricardo-barbosa-pereira/210007/,2020-11-15 01:00:13.471538
76,https://sofifa.com/player/209658/leon-goretzka/210007/,2020-11-15 01:00:13.471924
77,https://sofifa.com/player/208670/hakim-ziyech/210007/,2020-11-15 01:00:13.472307
78,https://sofifa.com/player/207865/marcos-aoas-correa/210007/,2020-11-15 01:00:13.472690
79,https://sofifa.com/player/204485/riyad-mahrez/210007/,2020-11-15 01:00:13.473070
80,https://sofifa.com/player/201399/mauro-icardi/210007/,2020-11-15 01:00:13.473452
81,https://sofifa.com/player/198706/luis-alberto-romero-alconchel/210007/,2020-11-15 01:00:13.473834
82,https://sofifa.com/player/198219/lorenzo-insigne/210007/,2020-11-15 01:00:13.475245
83,https://sofifa.com/player/193747/jorge-resurreccion/210007/,2020-11-15 01:00:13.475708
84,https://sofifa.com/player/192563/bernd-leno/210007/,2020-11-15 01:00:13.476105
85,https://sofifa.com/player/192505/romelu-lukaku/210007/,2020-11-15 01:00:13.476510
86,https://sofifa.com/player/191043/alex-sandro-lobo-silva/210007/,2020-11-15 01:00:13.476903
87,https://sofifa.com/player/190460/christian-eriksen/210007/,2020-11-15 01:00:13.477295
88,https://sofifa.com/player/189513/daniel-parejo-munoz/210007/,2020-11-15 01:00:13.477683
89,https://sofifa.com/player/189509/thiago-alcantara/210007/,2020-11-15 01:00:13.478076
90,https://sofifa.com/player/188377/kyle-walker/210007/,2020-11-15 01:00:13.478465
91,https://sofifa.com/player/188350/marco-reus/210007/,2020-11-15 01:00:13.478853
92,https://sofifa.com/player/185122/peter-gulacsi/210007/,2020-11-15 01:00:13.479240
93,https://sofifa.com/player/184344/leonardo-bonucci/210007/,2020-11-15 01:00:13.479625
94,https://sofifa.com/player/184087/toby-alderweireld/210007/,2020-11-15 01:00:13.480010
95,https://sofifa.com/player/182493/diego-godin/210007/,2020-11-15 01:00:13.480394
96,https://sofifa.com/player/181291/georginio-wijnaldum/210007/,2020-11-15 01:00:13.480779
97,https://sofifa.com/player/180206/miralem-pjanic/210007/,2020-11-15 01:00:13.481163
98,https://sofifa.com/player/175943/dries-mertens/210007/,2020-11-15 01:00:13.481549
99,https://sofifa.com/player/164240/thiago-emiliano-da-silva/210007/,2020-11-15 01:00:13.481932
100,https://sofifa.com/player/239085/erling-haaland/210007/,2020-11-15 01:00:13.482318
101,https://sofifa.com/player/231478/lautaro-martinez/210007/,2020-11-15 01:00:13.482704
102,https://sofifa.com/player/230658/arthur-henrique-ramos-oliveira-melo/210007/,2020-11-15 01:00:13.483087
103,https://sofifa.com/player/230142/mikel-oyarzabal-ugarte/210007/,2020-11-15 01:00:13.483471
104,https://sofifa.com/player/226790/wilfred-ndidi/210007/,2020-11-15 01:00:13.483853
105,https://sofifa.com/player/226753/andre-onana/210007/,2020-11-15 01:00:13.484235
106,https://sofifa.com/player/216460/jose-maria-gimenez/210007/,2020-11-15 01:00:13.485120
107,https://sofifa.com/player/216352/marcelo-brozovic/210007/,2020-11-15 01:00:13.485513
108,https://sofifa.com/player/213345/kingsley-coman/210007/,2020-11-15 01:00:13.485896
109,https://sofifa.com/player/212462/alex-nicolao-telles/210007/,2020-11-15 01:00:13.486277
110,https://sofifa.com/player/212194/julian-brandt/210007/,2020-11-15 01:00:13.486673
111,https://sofifa.com/player/212190/niklas-sule/210007/,2020-11-15 01:00:13.487056
112,https://sofifa.com/player/211300/anthony-martial/210007/,2020-11-15 01:00:13.487438
113,https://sofifa.com/player/211256/nicolas-tagliafico/210007/,2020-11-15 01:00:13.487820
114,https://sofifa.com/player/210035/alejandro-grimaldo-garcia/210007/,2020-11-15 01:00:13.488202
115,https://sofifa.com/player/209989/thomas-partey/210007/,2020-11-15 01:00:13.488587
116,https://sofifa.com/player/209889/raphael-guerreiro/210007/,2020-11-15 01:00:13.488970
117,https://sofifa.com/player/208421/saul-niguez-esclapez/210007/,2020-11-15 01:00:13.489350
118,https://sofifa.com/player/207863/felipe-augusto-de-almeida-monteiro/210007/,2020-11-15 01:00:13.489732
