int_team_id,str_url,dt_crawled
81,https://sofifa.com/team/462/real-valladolid-cf/,2020-11-15 00:14:32.694564
82,https://sofifa.com/team/101085/racing-club/,2020-11-15 00:14:32.694947
83,https://sofifa.com/team/231/club-brugge-kv/,2020-11-15 00:14:32.695599
84,https://sofifa.com/team/246/feyenoord/,2020-11-15 00:14:32.695989
85,https://sofifa.com/team/1032/monterrey/,2020-11-15 00:14:32.696371
86,https://sofifa.com/team/266/sk-slavia-praha/,2020-11-15 00:14:32.696752
87,https://sofifa.com/team/1035/atletico-mineiro/,2020-11-15 00:14:32.697132
88,https://sofifa.com/team/1048/internacional/,2020-11-15 00:14:32.697513
89,https://sofifa.com/team/25/sc-freiburg/,2020-11-15 00:14:32.697895
90,https://sofifa.com/team/31/1-fc-koln/,2020-11-15 00:14:32.698276
91,https://sofifa.com/team/38/sv-werder-bremen/,2020-11-15 00:14:32.698655
92,https://sofifa.com/team/1837/sampdoria/,2020-11-15 00:14:32.699034
93,https://sofifa.com/team/50/parma/,2020-11-15 00:14:32.699415
94,https://sofifa.com/team/55/udinese/,2020-11-15 00:14:32.699796
95,https://sofifa.com/team/100409/fc-augsburg/,2020-11-15 00:14:32.700178
96,https://sofifa.com/team/59/fc-girondins-de-bordeaux/,2020-11-15 00:14:32.700558
97,https://sofifa.com/team/315/pfc-cska-moscow/,2020-11-15 00:14:32.701961
98,https://sofifa.com/team/70/montpellier-hsc/,2020-11-15 00:14:32.702434
99,https://sofifa.com/team/71/fc-nantes/,2020-11-15 00:14:32.702832
100,https://sofifa.com/team/327/besiktas-jk/,2020-11-15 00:14:32.703227
101,https://sofifa.com/team/76/rc-strasbourg-alsace/,2020-11-15 00:14:32.703624
102,https://sofifa.com/team/78/celtic/,2020-11-15 00:14:32.704015
103,https://sofifa.com/team/598/sao-paulo/,2020-11-15 00:14:32.704402
104,https://sofifa.com/team/1629/gremio/,2020-11-15 00:14:32.704787
105,https://sofifa.com/team/1943/bournemouth/,2020-11-15 00:14:32.705174
106,https://sofifa.com/team/100765/lokomotiv-moscow/,2020-11-15 00:14:32.705556
