Rank,Building,City,Country,Height (m),Height (ft),Floors,Built,Reference
1,Burj Khalifa,Dubai,UAE,739.44 m,"2,426 ft",163,2010,[2]
2,Shanghai Tower,Shanghai,China,574.61 m,"2,073 ft",121,2015,[3]
3,Ping An Finance Center,Shenzen,China,555.1 m,"1,821 ft",115,2016,[4]
4,Guangzhou CTF Finance Centre,Guangzhou,China,530 m,"1,739 ft",111,2016,[5]
5,Lotte World Tower,Seoul,South Korea,497.6 m,"1,633 ft",123,2016,[6]
6,Shanghai World Financial Center,Shanghai,China,487.41 m,"1,599 ft",101,2008,[7]
7,International Commerce Centre,Hong Kong,Hong Kong,479.83 m,"1,574 ft",118,2010,[8]
8,Taipei 101,Taipei,Taiwan,449.20 m,"1,471 ft",101,2004,[9]
9,Willis Tower,Chicago,United States,442.14 m,"1,451 ft",108,1974,[10]
10,Guangzhou International Finance Center,Guangzhou,China,432.00 m,"1,417 ft",103,2009,[11]
11,432 Park Avenue,New York City,United States,425.5 m,"1,396 ft",96,2015,[12]
12,One World Trade Center,New York City,United States,417.0 m,"1,368 ft",104,2014,[13]
13,International Finance Centre,Hong Kong,Hong Kong,401.1 m,"1,316 ft",88,2003,[14]
14,Princess Tower,Dubai,UAE,392.0 m,"1,286 ft",101,2012,[15]
15,Jin Mao Building,Shanghai,China,382.5 m,"1,255 ft",88,1998,[16]
16,Zifeng Tower,Nanjing,China,381.3 m,"1,251 ft",89,2009,[17]
17,Empire State Building,New York City,United States,381.0 m,"1,250 ft",102,1931,[18]
18=,Petronas Tower 1,Kuala Lumpur,Malaysia,378.5 m,"1,242 ft",88,1998,[19]
18=,Petronas Tower 2,Kuala Lumpur,Malaysia,378.5 m,"1,242 ft",88,1998,[20]
20,Trump International Hotel and Tower,Chicago,United States,357.8 m,"1,174 ft",96,2009,[21]
