Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Platform_type,User_Rate,Critic_Rate
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96,89,84,3589,Bethesda Game Studios,M,console,outstanding,incredible
Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,NA,NA,NA,NA,NA,NA,console,NA,NA
FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82,42,43,896,EA Sports,E,console,average,outstanding
Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95,91,82,1218,Bungie Software,M,console,outstanding,incredible
Wii Party,Wii,2010,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68,42,74,54,Nd Cube,E,console,great,good
Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62,41,63,190,Hudson,E,console,good,good
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88,37,66,348,Electronic Arts,E,console,good,outstanding
GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,NA,NA,NA,NA,NA,NA,console,NA,NA
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,NA,NA,NA,NA,NA,NA,handheld,NA,NA
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92,53,87,1056,SquareSoft,T,console,outstanding,incredible
The Sims 3,PC,2009,Simulation,Electronic Arts,0.99,6.42,0,0.6,8.01,86,75,76,886,The Sims Studio,T,console,great,outstanding
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,7.99,NA,NA,NA,NA,NA,NA,console,NA,NA
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,NA,NA,NA,NA,NA,NA,console,NA,NA
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90,24,86,644,SquareSoft,T,console,outstanding,outstanding
Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81,NA,NA,NA,NA,NA,NA,console,NA,NA
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83,46,85,203,Game Freak,E,handheld,outstanding,outstanding
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88,65,76,451,Rockstar Leeds,M,handheld,great,outstanding
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83,39,57,1443,Sledgehammer Games,M,console,average,outstanding
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,NA,NA,NA,NA,NA,NA,console,NA,NA
FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85,41,50,398,"EA Sports, EA Vancouver",E,console,average,outstanding
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,NA,NA,NA,NA,NA,NA,console,NA,NA
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55,NA,NA,NA,NA,NA,NA,handheld,NA,NA
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97,87,91,1854,Nintendo EAD Tokyo,E,console,incredible,incredible
Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,NA,NA,NA,NA,NA,NA,console,NA,NA
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,NA,NA,NA,NA,NA,NA,console,NA,NA
Call of Duty: World at War,X360,2008,Shooter,Activision,4.81,1.88,0,0.69,7.38,84,84,76,580,Treyarch,M,console,great,outstanding
Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84,57,74,2142,EA DICE,M,console,great,outstanding
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85,33,86,171,EA Black Box,E,console,outstanding,outstanding
Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.99,0,0.73,7.2,49,21,80,110,Ubisoft Paris,E10+,console,great,average
Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85,38,75,1761,EA DICE,M,console,great,outstanding
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87,58,65,4228,Bethesda Game Studios,M,console,good,outstanding
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96,15,91,367,Namco,T,console,incredible,incredible
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95,73,90,1658,Nintendo,T,console,outstanding,incredible
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,2.98,1.45,2.26,0.45,7.14,NA,NA,NA,NA,NA,NA,handheld,NA,NA
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91,12,89,432,Naughty Dog,E,console,outstanding,incredible
Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88,82,91,1599,Nintendo,E,console,incredible,outstanding
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92,38,91,568,HAL Labs,T,console,incredible,incredible
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,NA,NA,NA,NA,NA,NA,console,NA,NA
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82,39,86,132,EA Canada,E,console,outstanding,outstanding
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88,29,85,135,EA LA,T,console,outstanding,outstanding
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,NA,NA,NA,NA,NA,NA,console,NA,NA
Just Dance 4,Wii,2012,Misc,Ubisoft,4.05,2.16,0,0.55,6.76,74,10,73,28,Ubisoft,E10+,console,great,great
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93,90,77,2739,Epic Games,M,console,great,incredible
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92,97,83,3712,Naughty Dog,T,console,outstanding,incredible
Zumba Fitness,Wii,2010,Sports,505 Games,3.45,2.59,0,0.66,6.71,NA,NA,NA,NA,"Pipeworks Software, Inc.",E,console,NA,NA
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,94,44,84,993,Infinity Ward,M,console,outstanding,incredible
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96,105,88,5187,Naughty Dog,T,console,outstanding,incredible
FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.65,NA,NA,NA,NA,NA,NA,console,NA,NA
Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74,45,74,27,Nintendo,E,handheld,great,great
The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,NA,NA,NA,NA,NA,NA,console,NA,NA
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95,73,88,2456,Rockstar San Diego,M,console,outstanding,incredible
FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86,37,43,576,EA Canada,E,console,average,outstanding
Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85,41,69,1307,Ubisoft,M,console,good,outstanding
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87,77,86,368,Retro Studios,E,console,outstanding,outstanding
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97,68,86,1283,Bungie Software,M,console,outstanding,incredible
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1,6.41,92,16,64,2527,Bethesda Game Studios,M,console,good,incredible
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76,28,90,222,Game Freak,E,handheld,outstanding,great
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85,46,88,597,SquareSoft,E,console,outstanding,outstanding
Pokémon Crystal Version,GB,2e3,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,NA,NA,NA,NA,NA,NA,handheld,NA,NA
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83,94,71,1163,"Bungie Software, Bungie",M,console,great,outstanding
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95,96,90,2316,Rockstar San Diego,M,console,outstanding,incredible
Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92,61,86,439,Nintendo,E,console,outstanding,incredible
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,NA,NA,NA,NA,NA,NA,console,NA,NA
World of Warcraft,PC,2004,Role-Playing,Activision,0.08,6.21,0,0,6.29,93,57,73,2182,Blizzard Entertainment,T,console,great,incredible
Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87,22,81,78,Reflections Interactive,T,console,outstanding,outstanding
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91,96,78,1504,Epic Games,M,console,great,incredible
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73,51,74,95,Rare Ltd.,E10+,console,great,great
Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94,88,83,2295,Epic Games,M,console,outstanding,incredible
FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82,47,57,988,EA Sports,E,console,average,outstanding
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96,42,87,1026,KCEJ,M,console,outstanding,incredible
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,NA,NA,NA,NA,NA,NA,console,NA,NA
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94,20,94,918,KCEJ,M,console,incredible,incredible
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94,82,87,3558,Kojima Productions,M,console,outstanding,incredible
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95,92,64,76,972,Square Enix,T,console,great,incredible
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95,98,91,8003,Naughty Dog,M,console,incredible,incredible
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95,85,68,5311,"SCE/WWS, Media Molecule",E,console,good,incredible
Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89,13,92,364,Capcom,M,console,incredible,outstanding
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87,65,88,197,Level 5,E10+,handheld,outstanding,outstanding
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89,8,89,102,Namco,T,console,outstanding,outstanding
Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76,95,61,5380,"Bungie Software, Bungie",T,console,good,great
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.55,0,0.51,5.64,80,17,89,62,Traveller's Tales,E10+,console,outstanding,great
Cooking Mama,DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67,35,72,21,Taito Corporation,E,handheld,great,good
Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,NA,NA,NA,NA,NA,NA,console,NA,NA
Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,NA,NA,NA,NA,NA,NA,console,NA,NA
Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91,70,86,1202,Ubisoft Montreal,M,console,outstanding,incredible
Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81,77,77,1074,Ubisoft Montreal,M,console,great,outstanding
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92,90,80,516,Turn 10,E,console,great,incredible
Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84,19,78,41,Nintendo,E,handheld,great,outstanding
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81,48,87,124,Capcom,T,handheld,outstanding,outstanding
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96,42,86,2162,Rocksteady Studios,T,console,outstanding,incredible
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.81,2.19,0,0.47,5.48,97,14,79,764,Rockstar North,M,console,great,incredible
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93,24,83,108,Intelligent Systems,E,handheld,outstanding,incredible
Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,NA,NA,NA,NA,NA,NA,handheld,NA,NA
Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66,22,71,156,Traveller's Tales,E,console,great,good
Call of Duty: World at War,PS3,2008,Shooter,Activision,2.73,1.83,0,0.83,5.39,85,45,76,409,Treyarch,M,console,great,outstanding
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93,113,79,7064,Naughty Dog,T,console,great,incredible
Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34,NA,NA,NA,NA,NA,NA,handheld,NA,NA
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,83,83,73,2483,Square Enix,T,console,great,outstanding
Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,NA,NA,NA,NA,NA,NA,handheld,NA,NA
Final Fantasy IX,PS,2e3,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94,22,89,779,SquareSoft,T,console,outstanding,incredible
