Rk,Player,Tm,2017-18,2018-19
1,Stephen Curry,GSW,34682550.0,37457154.0
2,LeBron James,CLE,33285709.0,35607968.0
3,Paul Millsap,DEN,31269231.0,29730769.0
4,Gordon Hayward,BOS,29727900.0,31214295.0
5,Blake Griffin,DET,29512900.0,31873932.0
6,Kyle Lowry,TOR,28703704.0,31000000.0
7,Russell Westbrook,OKC,28530608.0,35350000.0
8,Mike Conley,MEM,28530608.0,30521115.0
9,James Harden,HOU,28299399.0,30431854.0
10,DeMar DeRozan,TOR,27739975.0,27739975.0
11,Al Horford,BOS,27734405.0,28928710.0
12,Carmelo Anthony,OKC,26243760.0,27928140.0
13,Damian Lillard,POR,26153057.0,27977689.0
14,Jrue Holiday,NOP,25686667.0,26131111.0
15,Chris Bosh,MIA,25289390.0,26837720.0
16,Kevin Durant,GSW,25000000.0,26250000.0
17,Otto Porter,WAS,24773250.0,26011913.0
18,Chris Paul,HOU,24599495.0,
19,C.J. McCollum,POR,23962573.0,25759766.0
20,Bradley Beal,WAS,23775506.0,25434263.0
21,Anthony Davis,NOP,23775506.0,25434263.0
22,Andre Drummond,DET,23775506.0,25434263.0
23,Hassan Whiteside,MIA,23775506.0,25434263.0
24,Dwight Howard,CHO,23500000.0,23819725.0
25,Chandler Parsons,MEM,23112004.0,24107258.0
26,Harrison Barnes,DAL,23112004.0,24107258.0
27,J.J. Redick,PHI,23000000.0,
28,Marc Gasol,MEM,22642350.0,24119025.0
29,Kevin Love,CLE,22642350.0,24119025.0
30,Brook Lopez,LAL,22642350.0,
31,DeAndre Jordan,LAC,22642350.0,24119025.0
32,Steven Adams,OKC,22471910.0,24157303.0
33,Giannis Antetokounmpo,MIL,22471910.0,24157303.0
34,Nicolas Batum,CHO,22434783.0,24000000.0
35,Rudy Gobert,UTA,21974719.0,23491573.0
36,LaMarcus Aldridge,SAS,21461010.0,22347015.0
37,Victor Oladipo,IND,21000000.0,21000000.0
38,Enes Kanter,NYK,20566802.0,18622514.0
39,Danilo Gallinari,LAC,20559599.0,21587579.0
40,Serge Ibaka,TOR,20061729.0,21666667.0
41,George Hill,CLE,20000000.0,19000000.0
42,Ryan Anderson,HOU,19578455.0,20421546.0
43,Paul George,OKC,19508958.0,20703384.0
44,Allen Crabbe,BRK,19332500.0,18500000.0
45,Jimmy Butler,MIN,19301070.0,20445779.0
46,Jeff Teague,MIN,19000000.0,19000000.0
47,Kawhi Leonard,SAS,18868625.0,20099189.0
48,Kyrie Irving,BOS,18868625.0,20099188.0
49,John Wall,WAS,18063850.0,19169800.0
50,DeMarcus Cousins,NOP,18063850.0,
51,Greg Monroe,PHO,17884176.0,
52,Wesley Matthews,DAL,17884176.0,18622514.0
53,Klay Thompson,GSW,17826150.0,18988725.0
54,Joakim Noah,NYK,17765000.0,18530000.0
55,Kentavious Caldwell-Pope,LAL,17745894.0,
56,Luol Deng,LAL,17190000.0,18000000.0
57,Evan Turner,POR,17131148.0,17868852.0
58,Goran Dragic,MIA,17000450.0,18109175.0
59,Evan Fournier,ORL,17000000.0,17000000.0
60,Bismack Biyombo,ORL,17000000.0,17000000.0
61,Kent Bazemore,ATL,16910113.0,18089887.0
62,Robert Covington,PHI,16698103.0,10464092.0
63,Ian Mahinmi,WAS,16661641.0,15944154.0
64,Tim Hardaway,NYK,16500000.0,17325000.0
65,Draymond Green,GSW,16400000.0,17469565.0
66,Tristan Thompson,CLE,16400000.0,17469565.0
67,Reggie Jackson,DET,16000000.0,17043478.0
68,Pau Gasol,SAS,16000000.0,16000000.0
69,Tobias Harris,LAC,16000000.0,14800000.0
70,Dwyane Wade,CHI,15550000.0,
71,Dennis Schroder,ATL,15500000.0,15500000.0
