Date,Gold
2020-01-10,1553.6
2020-01-09,1550.75
2020-01-08,1571.95
2020-01-07,1567.85
2020-01-06,1573.1
2020-01-03,1548.75
2020-01-02,1527.1
2020-01-01,1514.75
2019-12-31,1514.75
2019-12-30,1514.75
2019-12-27,1511.5
2019-12-26,1482.1
2019-12-25,1482.1
2019-12-24,1482.1
2019-12-23,1482.1
2019-12-20,1479.0
2019-12-19,1476.7
2019-12-18,1474.05
2019-12-17,1475.8
2019-12-16,1477.9
2019-12-13,1466.6
2019-12-12,1467.8
2019-12-11,1466.8
2019-12-10,1464.95
2019-12-09,1461.7
2019-12-06,1459.65
2019-12-05,1475.95
2019-12-04,1475.1
2019-12-03,1477.3
2019-12-02,1461.15
2019-11-29,1460.15
2019-11-28,1454.65
2019-11-27,1454.35
2019-11-26,1454.65
2019-11-25,1458.4
2019-11-22,1464.45
2019-11-21,1467.05
2019-11-20,1471.7
2019-11-19,1468.45
2019-11-18,1467.65
2019-11-15,1466.9
2019-11-14,1466.65
2019-11-13,1462.9
2019-11-12,1452.05
2019-11-11,1458.7
2019-11-08,1464.15
2019-11-07,1484.25
2019-11-06,1486.05
2019-11-05,1488.95
2019-11-04,1509.45
2019-11-01,1508.8
2019-10-31,1510.95
2019-10-30,1492.1
2019-10-29,1486.75
2019-10-28,1492.4
2019-10-25,1513.45
2019-10-24,1496.55
2019-10-23,1494.45
2019-10-22,1485.35
2019-10-21,1491.65
2019-10-18,1490.0
2019-10-17,1492.65
2019-10-16,1485.1
2019-10-15,1487.8
2019-10-14,1490.6
2019-10-11,1479.15
2019-10-10,1494.8
2019-10-09,1507.25
2019-10-08,1505.85
2019-10-07,1501.25
2019-10-04,1499.15
2019-10-03,1517.1
2019-10-02,1492.6
2019-10-01,1473.45
2019-09-30,1485.3
2019-09-27,1489.9
2019-09-26,1506.4
2019-09-25,1528.75
2019-09-24,1520.65
2019-09-23,1522.1
2019-09-20,1501.9
2019-09-19,1500.7
2019-09-18,1503.5
2019-09-17,1502.1
2019-09-16,1497.2
2019-09-13,1503.1
2019-09-12,1515.2
2019-09-11,1490.65
2019-09-10,1498.25
2019-09-09,1509.2
2019-09-06,1523.7
2019-09-05,1529.1
2019-09-04,1546.1
2019-09-03,1537.85
2019-09-02,1525.95
2019-08-30,1528.4
2019-08-29,1540.2
2019-08-28,1537.15
2019-08-27,1532.95
2019-08-26,1503.8
2019-08-23,1503.8
2019-08-22,1502.05
2019-08-21,1503.25
2019-08-20,1504.55
2019-08-19,1496.6
2019-08-16,1515.25
2019-08-15,1515.65
2019-08-14,1513.25
2019-08-13,1498.4
2019-08-12,1504.7
2019-08-09,1497.7
2019-08-08,1495.75
2019-08-07,1506.05
2019-08-06,1465.25
2019-08-05,1465.25
2019-08-02,1441.75
2019-08-01,1406.8
2019-07-31,1427.55
2019-07-30,1425.9
2019-07-29,1419.05
2019-07-26,1420.4
2019-07-25,1416.1
2019-07-24,1426.95
2019-07-23,1425.55
2019-07-22,1427.75
2019-07-19,1439.7
2019-07-18,1417.45
2019-07-17,1410.35
2019-07-16,1409.85
2019-07-15,1412.4
2019-07-12,1407.6
2019-07-11,1413.75
2019-07-10,1408.3
2019-07-09,1391.55
2019-07-08,1400.1
2019-07-05,1388.65
2019-07-04,1414.9
2019-07-03,1413.5
2019-07-02,1391.05
2019-07-01,1390.1
2019-06-28,1409.0
2019-06-27,1402.5
2019-06-26,1403.95
2019-06-25,1431.4
2019-06-24,1405.7
2019-06-21,1397.15
2019-06-20,1379.5
2019-06-19,1344.05
2019-06-18,1341.35
2019-06-17,1341.3
2019-06-14,1351.25
2019-06-13,1335.9
2019-06-12,1332.35
2019-06-11,1324.3
2019-06-10,1328.6
2019-06-07,1340.65
2019-06-06,1335.5
2019-06-05,1335.05
2019-06-04,1324.25
2019-06-03,1317.1
2019-05-31,1295.55
2019-05-30,1280.95
2019-05-29,1281.65
2019-05-28,1278.3
2019-05-27,1282.5
2019-05-24,1282.5
2019-05-23,1283.65
2019-05-22,1273.8
2019-05-21,1271.15
2019-05-20,1276.85
2019-05-17,1280.8
2019-05-16,1291.7
2019-05-15,1299.1
2019-05-14,1298.4
2019-05-13,1295.6
2019-05-10,1287.1
2019-05-09,1286.1
2019-05-08,1285.2
2019-05-07,1281.2
2019-05-06,1278.55
2019-05-03,1278.55
2019-05-02,1270.95
2019-05-01,1283.8
2019-04-30,1282.3
2019-04-29,1279.5
2019-04-26,1284.2
2019-04-25,1280.8
2019-04-24,1271.65
2019-04-23,1269.5
2019-04-22,1275.7
2019-04-19,1275.7
2019-04-18,1275.7
2019-04-17,1275.85
2019-04-16,1276.35
2019-04-15,1285.65
2019-04-12,1294.3
2019-04-11,1298.8
2019-04-10,1305.45
2019-04-09,1303.0
2019-04-08,1300.0
2019-04-05,1288.45
2019-04-04,1283.15
2019-04-03,1290.45
2019-04-02,1290.3
2019-04-01,1293.5
2019-03-29,1295.4
2019-03-28,1295.15
2019-03-27,1309.7
2019-03-26,1316.3
2019-03-25,1319.55
2019-03-22,1311.3
2019-03-21,1309.6
2019-03-20,1303.7
2019-03-19,1307.7
2019-03-18,1305.6
