Name,Price($),Milage,Review,Review_count,Badge
2021 Toyota Camry SE,"31,150","13,390",4.5,659,Good Deal 
2021 Toyota Supra 3.0 Premium,"58,981","7,348",4.8,"2,744",Great Deal
2019 Toyota Sequoia Platinum,"51,999","55,121",4.5,"2,092",Great Deal
2019 Toyota Camry SE,"25,689","49,126",1,1,Good Deal 
2017 Toyota Highlander Limited,"31,591","84,621",4.9,"1,745",Good Deal
2021 Toyota Supra 3.0,"55,800","25,990",4.6,642,Good Deal 
2013 Toyota Land Cruiser V8,"61,000","13,430",4.3,866,Fair Deal
2019 Toyota Camry SE,"25,493","49,550",4.1,637,Fair Deal
2019 Toyota Camry SE,"29,791","16,794",4.8,"3,210",Fair Deal
2017 Toyota Corolla LE,"13,899","49,752",3.3,42,Great Deal 
2017 Toyota Highlander Limited,"33,958","53,767",4.9,"1,745",Good Deal
2019 Toyota Sequoia Platinum,"57,999","54,668",4.5,"2,092",Good Deal
2019 Toyota Camry SE,"27,292","27,100",4.4,884,Fair Deal
2020 Toyota RAV4 LE,"28,989","49,234",4.6,147,Good Deal
2019 Toyota Highlander XLE,"41,588","18,137",3.5,96,Fair Deal
2016 Toyota 4Runner Limited,"32,797","80,825",4.8,785,Good Deal 
2019 Toyota Camry LE,"23,169","47,205",4.9,48,Good Deal
2021 Toyota Supra 3.0 Premium,"62,998","3,758",4.5,961,Great Deal
2015 Toyota Highlander Limited Platinum,"23,444","64,062",4.8,135,Good Deal 
2019 Toyota Corolla LE,"17,980","47,337",4.5,"2,065",Great Deal 
2019 Toyota Camry XSE,"38,988","29,426",4.7,687,Home Delivery
2016 Toyota Highlander Limited Platinum,"29,446","62,598",4.7,"1,892",Good Deal
2012 Toyota Highlander Limited,"16,485","1,68,092",4.8,"2,916",Good Deal
2019 Toyota Camry XSE,"32,367","18,142",4.6,762,Good Deal
2021 Toyota RAV4 Hybrid XSE,"41,900","33,585",4.8,"5,483",Good Deal
2018 Toyota RAV4 Limited,"28,459","30,020",4.5,294,Great Deal 
2016 Toyota 4Runner Limited,"35,980","81,870",4.8,"1,963",Fair Deal
2019 Toyota Tundra SR5,"38,200","21,338",4.5,312,Good Deal 
2019 Toyota Highlander LE,"30,989","57,116",3.7,10,Good Deal 
2017 Toyota Highlander Limited,"37,000","17,313",4.6,"1,031",Good Deal 
2019 Toyota Camry XSE,"31,988","32,441",4.4,"1,566",Great Deal 
2019 Toyota Highlander ,"39,602","18,443",4.7,"1,005",Great Deal 
2019 Toyota Highlander XLE,"40,888","18,645",4.4,7,Fair Deal
2016 Toyota Highlander XLE,"28,500","82,539",3.9,185,Good Deal
2019 Toyota RAV4 XLE Premium,"34,809","36,286",4.4,275,Good Deal
2019 Toyota Highlander XLE,"40,888","19,918",3.5,96,Good Deal
2014 Toyota Highlander XLE,"24,992","48,367",4.9,"7,509",Great Deal 
2016 Toyota 4Runner Limited,"35,389","67,321",4.6,39,Good Deal 
2017 Toyota Sienna XLE,"30,683","52,941",4.4,"1,574",Great Deal 
2013 Toyota Land Cruiser V8,"55,100","49,630",4.9,79,Great Deal 
2021 Toyota Supra 3.0,"56,500","4,121",4.1,28,Good Deal 
2019 Toyota Camry SE,"18,900","49,549",4.4,"1,090",Great Deal 
2015 Toyota Land Cruiser V8,"52,988","1,05,776",4.2,9,Great Deal 
2018 Toyota Tundra SR5,"42,500","15,757",4.8,92,Great Deal 
2018 Toyota Camry XSE,"30,486","28,543",null,0,Good Deal
2018 Toyota Highlander XLE,"37,729","20,501",4.3,"1,227",Great Deal 
2018 Toyota RAV4 XLE,"27,191","50,325",3.8,14,Good Deal
2019 Toyota Camry SE,"21,898","50,902",2.1,20,Good Deal 
2019 Toyota Tacoma SR,"30,995","23,263",4.7,656,Good Deal 
2017 Toyota Sienna XLE,"38,811","33,342",4.1,332,Good Deal
2018 Toyota RAV4 XLE,"27,750","56,960",4.7,333,Good Deal
2008 Toyota Camry Solara SE,"13,788","34,950",3.5,96,null
2021 Toyota Supra 3.0,"58,879","5,628",4.5,781,Home Delivery
2017 Toyota Corolla LE,"19,999","33,178",3.6,65,Fair Deal
2018 Toyota Highlander XLE,"38,950","32,825",4.8,"1,081",Great Deal
2017 Toyota Camry XLE,"22,900","25,189",4.8,852,Good Deal 
2017 Toyota RAV4 LE,"18,992","74,460",4.3,271,Good Deal 
2017 Toyota RAV4 LE,"23,891","68,350",4.8,586,Great Deal 
2011 Toyota Avalon Limited,"14,391","88,057",4.6,681,Good Deal
2017 Toyota Prius Two,"18,995","45,968",4,147,Great Deal 
2011 Toyota Prius IV,"11,995","1,10,209",4.7,56,Fair Deal
2018 Toyota 4Runner Limited,"47,134","34,722",4.9,438,Good Deal 
2015 Toyota Highlander Hybrid Limited,"27,990","1,02,475",3.6,30,null
2012 Toyota Highlander SE,"17,486","1,14,073",4.7,48,Good Deal
2008 Toyota Land Cruiser ,"36,250","1,02,702",4.3,866,Home Delivery
2016 Toyota 4Runner SR5,"34,664","49,732",4.7,"5,972",Good Deal
2021 Toyota RAV4 Hybrid XSE,"43,500",596,4.3,554,Good Deal
2017 Toyota Highlander Hybrid Limited,"41,488","35,217",3.5,96,Fair Deal
2020 Toyota RAV4 XLE Premium,"38,994","13,013",4.7,"1,051",Good Deal 
2019 Toyota Highlander XLE,"39,800","29,894",4.6,169,Good Deal
2015 Toyota RAV4 LE,"16,995","62,879",3.9,68,Good Deal
2013 Toyota RAV4 XLE,"14,999","1,50,432",4.6,165,Good Deal 
2020 Toyota RAV4 XLE Premium,"35,802","5,462",4.6,"1,959",Good Deal
2020 Toyota Land Cruiser Heritage Edition,"1,01,500","25,727",4.4,"1,330",Home Delivery
2014 Toyota Prius Five,"9,995","76,322",4.3,178,Good Deal 
2020 Toyota Camry SE,"27,998","24,899",4.1,145,Good Deal
2016 Toyota Highlander Limited,"27,885","71,502",4.5,156,Good Deal
2018 Toyota Highlander XLE,"41,900","23,935",4.8,382,Fair Deal
2014 Toyota Land Cruiser V8,"48,950","91,651",5,12,Home Delivery
