Golden;Trusted judgments;Last judgment at;birthplace;birthplace:confidence;Date of birth;date_of_birth:confidence;Race / ethnicity;race_ethnicity:confidence;Religion;religion:confidence;Sexual orientation;sexual_orientation:confidence;Year of award;year_of_award:confidence;Award;Bio;birthplace_gold;date_of_birth_gold;Movie;Person;race_ethnicity_gold;religion_gold;sexual_orientation_gold;year_of_award_gold
FALSE;3;2015-02-10T09:15:00+07:00;Cape Elizabeth, Me;1;1894-02-01;1;White;1;Roman Catholic;1;Bisexual;1;1953;1;Best Director;http://www.nndb.com/people/458/000032362/;;;The Quiet Man;John Ford;;;;
FALSE;3;2015-02-10T09:05:00+07:00;Newton, Ma;1;2025-02-08;1;White;1;Roman Catholic;1;Straight;1;1974;1;Best Actor;http://www.nndb.com/people/714/000026636/;;;Save the Tiger;Jack Lemmon;;;;
FALSE;3;2015-02-10T09:03:00+07:00;Ilford, Essex, England;1;2034-12-28;1;White;1;;1;Straight;1;1970;1;Best Actress;http://www.nndb.com/people/260/000030170/;;;The Prime of Miss Jean Brodie;Maggie Smith;;;;
FALSE;3;2015-02-10T08:49:00+07:00;Kansas City, Mo;1;2048-03-28;1;White;1;;1;Straight;1;1987;1;Best Supporting Actress;http://www.nndb.com/people/894/000024822/;;;Hannah and Her Sisters;Dianne Wiest;;;;
FALSE;3;2015-02-10T09:10:00+07:00;Pasadena, Ca;1;1883-02-23;1;White;1;;1;Straight;1;1940;1;Best Director;http://www.nndb.com/people/416/000041293/;;;Gone with the Wind;Victor Fleming;;;;
TRUE;91;;Chicago, Il;1;2022-07-26;0.9596;White;1;;1;Straight;1;1977;1;Best Supporting Actor;http://www.nndb.com/people/224/000032128/;;;All the President's Men;Jason Robards;;;;1977
FALSE;3;2015-02-10T09:06:00+07:00;London, England;1;2037-01-30;1;White;1;;1;Straight;1;1978;1;Best Supporting Actress;http://www.nndb.com/people/590/000023521/;;;Julia;Vanessa Redgrave;;;;
FALSE;3;2015-02-10T09:07:00+07:00;Croydon, Surrey, England;0.6667;2008-03-25;1;White;1;;1;Straight;0.6667;1958;1;Best Director;http://www.nndb.com/people/462/000032366/;;;The Bridge on the River Kwai;David Lean;;;;
FALSE;3;2015-02-10T09:11:00+07:00;Baldwin, Ny;1;2044-02-22;1;White;1;;1;Straight;1;1992;1;Best Director;http://www.nndb.com/people/578/000024506/;;;The Silence of the Lambs;Jonathan Demme;;;;
FALSE;3;2015-02-10T09:07:00+07:00;Lowell, Ma;1;2031-06-20;1;White;1;;1;Straight;1;1988;1;Best Supporting Actress;http://www.nndb.com/people/430/000023361/;;;Moonstruck;Olympia Dukakis;;;;
FALSE;3;2015-02-10T08:51:00+07:00;Hunt City, Il;1;2009-06-14;1;White;1;;1;Straight;1;1959;1;Best Supporting Actor;http://www.nndb.com/people/679/000042553/;;;The Big Country;Burl Ives;;;;
FALSE;3;2015-02-10T08:47:00+07:00;Tokyo, Japan;1;2016-07-01;1;White;1;;1;Straight;1;1947;1;Best Actress;http://www.nndb.com/people/741/000022675/;;;To Each His Own;Olivia de Havilland;;;;
FALSE;3;2015-02-10T09:03:00+07:00;Lowell, Ma;1;2008-04-05;1;White;1;;1;Straight;1;1936;1;Best Actress;http://www.nndb.com/people/457/000026379/;;;Dangerous;Bette Davis;;;;
FALSE;3;2015-02-10T09:01:00+07:00;New York City;1;2013-11-02;1;White;1;Protestant;1;Straight;1;1961;1;Best Actor;http://www.nndb.com/people/938/000031845/;;;Elmer Gantry;Burt Lancaster;;;;
FALSE;3;2015-02-10T09:03:00+07:00;Montreal, Quebec, Canada;1;1902-08-10;1;White;1;;1;Straight;1;1930;1;Best Actress;http://www.nndb.com/people/813/000063624/;;;The Divorcee;Norma Shearer;;;;
FALSE;3;2015-02-10T10:58:00+07:00;Elizabeth, Nj;1;1892-07-11;1;White;1;;1;Straight;1;1940;1;Best Supporting Actor;http://www.nndb.com/people/116/000063924/;;;Stagecoach;Thomas Mitchell;;;;
FALSE;3;2015-02-10T08:52:00+07:00;San Diego, Ca;1;2031-01-05;1;White;1;;1;Straight;1;1984;1;Best Actor;http://www.nndb.com/people/008/000022939/;;;Tender Mercies;Robert Duvall;;;;
