Country Name,GDP_per_capita
Chad,651.237243761606
East Asia & Pacific (IDA & IBRD countries),6648.95371522416
Europe & Central Asia (IDA & IBRD countries),7611.31528164278
Togo,576.95947851643
Thailand,5979.29354625548
Tajikistan,795.843864367519
Turkmenistan,6389.33414279619
Latin America & the Caribbean (IDA & IBRD countries),8260.90664919773
Timor-Leste,1987.1248565044
Middle East & North Africa (IDA & IBRD countries),3876.51261722973
Tonga,3748.64179374888
South Asia (IDA & IBRD),1643.53183239434
Sub-Saharan Africa (IDA & IBRD countries),1463.85391704194
Trinidad and Tobago,16352.1097313399
Tunisia,3688.64637468078
Turkey,10862.7253802906
Tuvalu,3295.72063488463
Tanzania,877.507612002733
Uganda,580.383533981828
Ukraine,2185.72803066435
Upper middle income,7864.50436476628
Uruguay,15298.3508918226
United States,57588.538070583
Uzbekistan,2105.87090478917
St. Vincent and the Grenadines,6982.25655587275
Venezuela, RB,
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,2170.64805431211
Vanuatu,2913.96723179505
World,10200.860600771
Samoa,4030.01314440882
Kosovo,3697.54802646389
Yemen, Rep.,660.280884991302
South Africa,5280.01763276491
Zambia,1262.98968188557
Zimbabwe,1029.07664856057
