Flavour,Calories,Total_Fat_g,Trans_Fat_g,Carbohydrates_g,Sugars_g,Protein_g,Size
Chocoholic’s Resolution,300,18.0,0.4,34,26,5.0,Reg114g
Chocolate,230,13.0,0.4,25,18,5.0,Reg114g
Chocolate Chip,240,15.0,0.5,23,18,5.0,Reg114g
Chocolate Chip Cookie Dough,280,15.0,0.4,32,24,5.0,Reg114g
Chocolate Fudge,250,15.0,0.5,27,19,5.0,Reg114g
Chocolate Hazelnut Truffle,320,20.0,0.3,31,23,5.0,Reg114g
Chocolate Mousse Royale,280,17.0,0.4,29,20,5.0,Reg114g
Citrus Twist Ice,100,0.0,0.0,25,18,0.0,Reg114g
Cookies 'n Cake,300,16.0,0.4,25,18,5.0,Reg114g
Cookies 'n Cream,270,17.0,0.4,25,18,5.0,Reg114g
Cotton Candy,240,12.0,0.4,31,20,4.0,Reg114g
Easter Egg Hunt,290,16.0,0.4,33,27,4.0,Reg114g
French Vanilla,280,18.0,0.5,26,25,4.0,Reg114g
Fudge Brownie,280,18.0,0.4,28,20,5.0,Reg114g
German Chocolate Cake,300,17.0,0.4,33,25,6.0,Reg114g
Gold Medal Ribbon,240,12.0,0.4,30,23,4.0,Reg114g
Green Tea,220,14.0,0.5,21,16,5.0,Reg114g
Icing on the Cake,320,18.0,0.4,36,28,4.0,Reg114g
Jamoca Almond Fudge,260,15.0,0.4,28,20,5.0,Reg114g
Love Potion #31,260,14.0,0.4,29,24,4.0,Reg114g
Lunar Cheesecake,280,17.0,0.5,28,21,5.0,Reg114g
Made with Snickers,280,14.0,0.4,33,26,5.0,Reg114g
Mango Mania,210,10.0,0.4,27,22,4.0,Reg114g
Mango Sorbet,110,0.0,0.0,26,19,0.0,Reg114g
Mango Tango,230,10.0,0.4,29,24,4.0,Reg114g
Maple Walnut,260,17.0,0.4,22,17,5.0,Reg114g
Maui Brownie Madness,230,10.0,0.2,32,23,6.0,Reg114g
Mint Chocolate Chip,240,15.0,0.5,23,18,5.0,Reg114g
Mom’s Makin Cookies,300,14.0,0.4,38,29,4.0,Reg114g
Nutty Coconut,300,19.0,0.4,28,24,6.0,Reg114g
Old Fashioned Butter Pecan,260,18.0,0.4,20,16,5.0,Reg114g
Peanut Butter 'n Banana,280,18.0,0.4,24,18,7.0,Reg114g
Peanut Butter 'n Chocolate,290,20.0,0.4,24,17,7.0,Reg114g
Peanut Butter 'n Jelly,300,20.0,0.4,26,20,7.0,Reg114g
Perils of Praline,250,10.0,0.2,33,32,5.0,Reg114g
Pineapple Coconut (No Sugar Added),160,6.0,0.2,30,8,5.0,Reg114g
Pink Bubble Gum,250,12.0,0.4,31,27,4.0,Reg114g
Pistachio Almond,270,18.0,0.5,21,15,7.0,Reg114g
Pralines 'n Cream,270,14.0,0.4,32,26,4.0,Reg114g
Pumpkin Cheesecake,250,12.0,0.4,34,27,4.0,Reg114g
Rainbow Sherbet,130,2.0,0.1,27,20,1.0,Reg114g
Raspberry Cheese Louise,220,9.0,0.3,30,24,5.0,Reg114g
Red Velvet,250,14.0,0.5,28,24,4.0,Reg114g
Reese Peanut Butter Cup,280,17.0,0.4,27,23,6.0,Reg114g
Rocky Road,250,14.0,0.4,29,20,5.0,Reg114g
Rum Raisin,230,11.0,0.4,30,25,4.0,Reg114g
Salty Caramel,250,13.0,0.5,28,24,5.0,Reg114g
Splish Splash,110,1.0,0.0,26,19,1.0,Reg114g
Strawberry Cheesecake,250,13.0,0.5,29,22,4.0,Reg114g
Strawberry Sorbet,110,0.0,0.0,27,21,0.1,Reg114g
Trio De Janeiro,140,2.0,0.1,28,21,1.0,Reg114g
Vanilla Yogurt (No Fat),130,0.4,0.0,27,26,6.0,Reg114g
Vanilla,220,14.0,0.5,20,16,5.0,Reg114g
Vanilla Pomegranate Parfait Frozen Yogurt,220,8.0,0.2,32,22,5.0,Reg114g
Very Berry Strawberry,200,10.0,0.4,24,21,4.0,Reg114g
Wild 'n Reckless,130,2.0,0.1,26,18,2.0,Reg114g
Winter White Chocolate,260,13.0,0.4,31,26,4.0,Reg114g
World Class Chocolate,260,16.0,0.4,25,18,5.0,Reg114g
