name,name_jp,dob,img_url
Anna Iriyama,入山 杏奈,1995-12-03,https://s.akb48.co.jp/members/profile/renew200410/51.jpg
Rin Okabe,岡部 麟,1996-11-07,https://s.akb48.co.jp/members/profile/renew200410/175.jpg
Hinano Okumoto,奥本 陽菜,2003-10-09,https://s.akb48.co.jp/members/profile/renew200410/1035.jpg
Yui Oguri,小栗 有以,2001-12-26,https://s.akb48.co.jp/members/profile/renew200410/180.jpg
Rena Kato,加藤 玲奈,1997-07-10,https://s.akb48.co.jp/members/profile/renew200410/61.jpg
Minami Sato,佐藤 美波,2003-08-03,https://s.akb48.co.jp/members/profile/renew200410/1011.jpg
Miu Shitao,下尾 みう,2001-04-03,https://s.akb48.co.jp/members/profile/renew200410/202.jpg
Ayana Shinozaki,篠崎 彩奈,1996-01-08,https://s.akb48.co.jp/members/profile/renew200410/106.jpg
Kurumi Suzuki,鈴木 くるみ,2004-09-02,https://s.akb48.co.jp/members/profile/renew200410/1013.jpg
Manaka Taguchi,田口 愛佳,2003-12-12,https://s.akb48.co.jp/members/profile/renew200410/1014.jpg
Erii Chiba,千葉 恵里,2003-10-27,https://s.akb48.co.jp/members/profile/renew200410/289.jpg
Rei Nishikawa,西川 怜,2003-10-25,https://s.akb48.co.jp/members/profile/renew200410/287.jpg
Ayaka Maeda,前田 彩佳,2000-12-18,https://s.akb48.co.jp/members/profile/renew200410/1020.jpg
Saki Michieda,道枝 咲,2003-12-20,https://s.akb48.co.jp/members/profile/renew200410/1021.jpg
Miho Miyazaki,宮崎 美穂,1993-07-30,https://s.akb48.co.jp/members/profile/renew200410/47.jpg
Mion Mukaichi,向井地 美音,1998-01-29,https://s.akb48.co.jp/members/profile/renew200410/153.jpg
Suzuha Yamane,山根 涼羽,2000-08-11,https://s.akb48.co.jp/members/profile/renew200410/1025.jpg
Yui Yokoyama,横山 由依,1992-12-08,https://s.akb48.co.jp/members/profile/renew200410/31.jpg
Karen Yoshida,吉田 華恋,2002-08-27,https://s.akb48.co.jp/members/profile/renew200410/278.jpg
Nazuna Furukawa,古川 夏凪,2003-08-21,https://s.akb48.co.jp/members/profile/renew200410/1039.jpg
Sora Honda,本田 そら,1999-02-26,https://s.akb48.co.jp/members/profile/renew200410/1040.jpg
