Rank,Username,Owner,Followers_mil,Profession,Country,as_of
1,@instagram,Instagram,321,Social media platform,USA,2019-12-18
2,@cristiano,Cristiano Ronaldo,193,Footballer,POR,2019-12-18
3,@arianagrande,Ariana Grande,168,Musician and actress,USA,2019-12-18
4,@therock,Dwayne Johnson,164,Actor and professional wrestler,USA,2019-12-18
5,@selenagomez,Selena Gomez,163,Musician and actress,USA,2019-12-18
6,@kimkardashian,Kim Kardashian,154,Reality TV personality and businesswoman,USA,2019-12-18
7,@kyliejenner,Kylie Jenner,153,Reality TV personality and businesswoman,USA,2019-12-18
8,@leomessi,Lionel Messi,138,Footballer,ARG,2019-12-18
9,@beyonce,Beyoncé,136,Musician,USA,2019-12-18
10,@neymarjr,Neymar,129,Footballer,BRA,2019-12-18
11,@natgeo,National Geographic,128,Magazine,USA,2019-12-18
12,@taylorswift,Taylor Swift,124,Musician,USA,2019-12-18
13,@justinbieber,Justin Bieber,122,Musician,CAN,2019-12-18
14,@kendalljenner,Kendall Jenner,119,Reality TV personality and Model,USA,2019-12-18
15,@nickiminaj,Nicki Minaj,108,Musician,TRI,2019-12-18
16,@jlo,Jennifer Lopez,107,Musician and actress,USA,2019-12-18
17,@mileycyrus,Miley Cyrus,102,Musician and actress,USA,2019-12-18
18,@khloekardashian,Khloé Kardashian,101,Reality TV personality and businesswoman,USA,2019-12-18
19,@nike,Nike,96,Sportswear multinational,USA,2019-12-18
20,@katyperry,Katy Perry,87,Musician,USA,2019-12-18
21,@kourtneykardash,Kourtney Kardashian,84,Reality TV personality,USA,2019-12-18
22,@kevinhart4real,Kevin Hart,82,Comedian and actor,USA,2019-12-18
23,@realmadrid,Real Madrid CF,81,Football club,ESP,2019-12-18
24,@theellenshow,Ellen DeGeneres,80,Comedian,USA,2019-12-18
25,@fcbarcelona,FC Barcelona,80,Football club,ESP,2019-12-18
26,@badgalriri,Rihanna,77,Musician,BAR,2019-12-18
27,@ddlovato,Demi Lovato,75,Musician and actress,USA,2019-12-18
28,@victoriassecret,Victoria's Secret,68,Lingerie brand,USA,2019-12-18
29,@zendaya,Zendaya,64,Actress and musician,USA,2019-12-18
30,@champagnepapi,Drake,62,Musician,CAN,2019-12-18
31,@shakira,Shakira,60,Musician,COL,2019-12-18
32,@davidbeckham,David Beckham,59,Footballer,UK,2019-12-18
33,@vindiesel,Vin Diesel,59,Actor,USA,2019-12-18
34,@chrisbrownofficial,Chris Brown,58,Musician,USA,2019-12-18
35,@justintimberlake,Justin Timberlake,56,Musician and actor,USA,2019-12-18
36,@iamcardib,Cardi B,55,Musician,USA,2019-12-18
37,@shawnmendes,Shawn Mendes,54,Musician,CAN,2019-12-18
38,@kingjames,LeBron James,53,Basketball player,USA,2019-12-18
39,@emmawatson,Emma Watson,52,Actress,UK,2019-12-18
40,@championsleague,UEFA Champions League,52,Club football competition,EUR,2019-12-18
41,@nasa,NASA,51,Space agency,USA,2019-12-18
42,@9gag,9GAG,51,Social media platform,HKG,2019-12-18
43,@gigihadid,Gigi Hadid,50,Model,USA,2019-12-18
44,@ronaldinho,Ronaldinho,50,Footballer,BRA,2019-12-18
45,@maluma,Maluma,48,Musician,COL,2019-12-18
46,@priyankachopra,Priyanka Chopra Jonas,47,Actress and musician,IND,2019-12-18
47,@virat.kohli,Virat Kohli,45,Cricketer,IND,2019-12-18
48,@billieeilish,Billie Eilish,44,Musician,USA,2019-12-18
49,@camila_cabello,Camila Cabello,44,Musician,CUB,2019-12-18
50,@jamesrodriguez10,James Rodríguez,44,Footballer,COL,2019-12-18
