Symbol,Company,Market,SET50,SET100,SETHD,Industry,Sector,Address,Zip code,Tel,Fax,Website
WHABT,WHA BUSINESS COMPLEX FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,False,False,False,Property & Construction,Property Fund & REITs,"1 Empire Tower, 32nd Fl., South Sathorn Rd., Yannawa, Sathorn Bangkok",10120,0-2686-6100,0-2670-0430,www.whabt.com
WHART,WHA PREMIUM GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,False,False,False,Property & Construction,Property Fund & REITs,"400/22 KASIKORN Bank Building, 6th Floor Phaholyothin Road, Samsen Nai Sub-District, Phayathai District Bangkok",10400,0-2673-3999,0-2673-3900,www.whareit.com
WHAUP,WHA UTILITIES AND POWER PUBLIC COMPANY LIMITED,SET,False,True,False,Resources,Energy & Utilities,"9/241-242, 24th Floor UM Tower, Ramkamhang Road, Suanluang district, Suanluang Sub-district Bangkok",10250,0-2719-9559,0-2717-2128,www.wha-up.com
WICE,WICE LOGISTICS PUBLIC COMPANY LIMITED,SET,False,False,False,Services,Transportation & Logistics,"WICE PLACE Building No.88/8 Nonsi Road, Chong Nonsi, Yan Nawa Bangkok",10120,0-2681-6181,0-2681-6173-75,www.wice.co.th
WIIK,WIIK & HOEGLUND PUBLIC COMPANY LIMITED,SET,False,False,False,Property & Construction,Construction Materials,"90 CW Tower A, 35th Floor, Ratchadapisek Rd., Huaykwang, Bangkok",10310,0-2612-8600,0-2645-2828-9,www.wiik-hoeglund.com
WIN,WYNCOAST INDUSTRIAL PARK PUBLIC COMPANY LIMITED,SET,False,False,False,Property & Construction,Property Development,"105 MOO 3, BANGNA-TRAD ROAD KM.52, THAKHAM, BANG PAKONG Chacherngsao",24130,0-3857-3162-3,0-3857-3218,www.wyncoast.com
WINNER,WINNER GROUP ENTERPRISE PUBLIC COMPANY LIMITED,mai,False,False,False,Services,-,"43 Thai CC Tower 21st Floor, Room 214-219, South Sathorn Road, Yannawa, Sathorn Bangkok",10120,0-2675-6525-31,0-2675-6544,www.winnergroup.co.th
WORK,WORKPOINT ENTERTAINMENT PUBLIC COMPANY LIMITED,SET,False,True,False,Services,Media & Publishing,"99 MOO 2, TAMBOL BANGPOON, AMPHOE MUEANG Pathum Thani",12000,0-2833-2000,0-2833-2999,http://www.workpoint.co.th
WORLD,WORLD CORPORATION PUBLIC COMPANY LIMITED,SET,False,False,False,-,Companies Under Rehabilitation,"4 Moo 11 Hathai Rat Road, Ladsawai Sub-district, Lam Luk Ka District Pathum Thani",12150,0-2563-4056,0-2563-4057,www.worldcorp.co.th
WP,WP ENERGY PUBLIC COMPANY LIMITED,SET,False,False,False,Resources,Energy & Utilities,"1 Eastwater Building, 15/F Vibhavadi Rangsit Soi 5, Vibhavadi Rangsit Road, Chom Pon Sub-district, Chatuchak District Bangkok",10900,0-2272-3322,0-2272-0655,www.wp-energy.co.th
WPH,WATTANAPAT HOSPITAL TRANG PUBLIC COMPANY LIMITED,SET,False,False,False,Services,Health Care Services,"247/2 Phatalung Road, Tambon Thap Thiang, Amphoe Muang Trang",92000,0-7520-5555,0-7520-5460,http://www.wattanapat.co.th/
WR,WE RETAIL PUBLIC COMPANY LIMITED,SET,False,False,False,-,Companies Under Rehabilitation,"100/1 Vorasombat Building,17th floor, Rama IX Road, Huai Khwang Bangkok",10310,0-2645-0128-31,0-2645-0024,-
XO,EXOTIC FOOD PUBLIC COMPANY LIMITED,mai,False,False,False,Agro & Food Industry,-,"No. 49/42 Moo 5, Tung Sukala Sub-district, Sriracha District Chonburi",20230,"0-3840-1492, 0-3849-3752 ¶Ö§ 3",0-3840-1493,www.exoticfoodthailand.com
YCI,YONG THAI PUBLIC COMPANY LIMITED,SET,False,False,False,Industrials,Petrochemicals & Chemicals,"633/14 SATHUPRADIT ROAD, YAN NAWA Bangkok",10120,0-2294-3364-8,0-2294-3373,www.yongthaipubliccompany.wordpress.com
YNP,YARNAPUND PUBLIC COMPANY LIMITED,SET,False,False,False,Industrials,Automotive,"No.70 Moo 1, Bangna-Trad Rd., T.Rachathawan, A.Bangplee Samut Prakarn",10540,0-2316-7777,0-2316-9146,WWW.YARNAPUND.COM
YUASA,YUASA BATTERY (THAILAND) PUBLIC COMPANY LIMITED,mai,False,False,False,Industrial,-,"164 Moo 5 Soi Thedsaban 55, Sukhumvit Road Tambol Taibanmai, Amphur Muangsamutprakan Samut Prakarn",10280,0-2769-7300,0-2769-7349,www.yuasathai.com
ZEN,ZEN CORPORATION GROUP PUBLIC COMPANY LIMITED,SET,False,False,False,Agro & Food Industry,Food & Beverage,"782/1 Soi Onnut 17 Suanluang, Suanluang Bangkok",10250,0-2019-5000,0-2019-5000 µèÍ 103,www.zengroup.co.th
ZIGA,ZIGA INNOVATION PUBLIC COMPANY LIMITED,mai,False,False,False,Industrial,-,"999/9, 10, 11 Moo 9 Nai Khlong Bang Pla Kot Sub-District, Phra Samut Chedi District, Samut Prakarn",10290,0-2816-9315-6,0-2816-9315-6 µèÍ 444,www.ziga.co.th
ZMICO,SEAMICO SECURITIES PUBLIC COMPANY LIMITED,SET,False,False,False,Financials,Finance & Securities,"18th Floor, Liberty Square Bldg, 287 Silom Road, Bangrak Bangkok",10500,0-2695-5000,0-2631-1709,www.seamico.com
