Symbol,Company,Market,SET50,SET100,SETHD,Industry,Sector,Address,Zip code,Tel,Fax,Website
TPIPL,TPI POLENE PUBLIC COMPANY LIMITED,SET,False,False,False,Property & Construction,Construction Materials,"26/56 NEW JUN ROAD, THUNGMAHAMEK, SATHON Bangkok",10120,"0-2213-1039-49, 0-2285-5090-9","0-2213-1035, 0-2213-1038",http://www.tpipolene.co.th
TPIPP,TPI POLENE POWER PUBLIC COMPANY LIMITED,SET,False,True,False,Resources,Energy & Utilities,"26/56 Chan Tat Mai Rd., Tungmahamek, Sathorn Bangkok",10120,"0-2285-5090-9, 0-2213-1039",0-2213-1035,www.tpipolenepower.co.th
TPLAS,THAI PLASTIC INDUSTRIAL (1994) PUBLIC COMPANY LIMITED,mai,False,False,False,Industrial,-,"53/1 Moo 4 Kanjanapisek Rd., Bang MaeNang Sub-District, Bangyai District Nonthaburi",11140,0-2191-8288-9,0-2191-8290,http://www.tpic.co.th
TPOLY,THAI POLYCONS PUBLIC COMPANY LIMITED,SET,False,False,False,Property & Construction,Construction Services,"2,4 Soi Prasoet Manukit 29 Yak 8, Prasoet Manukit Rd., Chorakhebua, Ladprao Bangkok",10230,"0-2942-6491-6, 0-2943-2930-8",0-2942-6497-8,www.thaipolycons.co.th
TPP,THAI PACKAGING & PRINTING PUBLIC COMPANY LIMITED,SET,False,False,False,Industrials,Packaging,"9/9 MOO 6, KINGKAEW ROAD, RAJADHEWA, BANG PLEE, Samut Prakarn",10540,"0-2175-2201-8, 0-2175-2210-6","0-2175-2209, 0-2175-2218",www.tpppack.com
TPRIME,THAILAND PRIME PROPERTY FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,False,False,False,Property & Construction,Property Fund & REITs,"388 Exchange Tower 17th Floor, Unit 1701-2, Sukhumvit Road, Khlongtoey, Klongtoey Bangkok",10110,0-2258-4515,0-2258-4519,www.tprimereit.com
TQM,TQM CORPORATION PUBLIC COMPANY LIMITED,SET,False,False,False,Financials,Insurance,"123 Lad Plakao Road, Chorakhe Bua, Latphrao Bangkok",10230,0-2119-8888,0-2119-9000,www.tqmcorp.co.th
TR,THAI RAYON PUBLIC COMPANY LIMITED,SET,False,False,False,Consumer Products,Fashion,"MAHATUN PLAZA BLDG, FLOOR 16,888/160-161 PLOENCHIT ROAD, PATHUMWAN, Bangkok",10330,0-2253-6745-54,"0-2254-3181, 0-2254-5472",www.thairayon.com
TRC,TRC CONSTRUCTION PUBLIC COMPANY LIMITED,SET,False,False,False,Property & Construction,Construction Services,"No.8 Soi Sukhapiban 5 soi 32, Tha Raeng, Bang Khen District Bangkok",10220,0-2022-7777,0-2022-7788,www.trc-con.com
TRITN,TRITON HOLDING PUBLIC COMPANY LIMITED,SET,False,False,False,Services,Media & Publishing,60 Soi Praditmanutham 19 Praditmanutham Road Kwang Ladprao Khet Ladprao Bangkok,10230,0-2553-5000,0-2553-5091,www.triton.co.th
