ID,Executed,Applied,Issued,Patent No.,Title,Primary Subject Matter
282,8/20/1881,11/15/1881,4/15/1890,425763,Commutator for Dynamo-Electric Machines,Electric Light and Power
283,8/24/1881,10/4/1881,8/22/1882,263142,Electrical Distribution System,Electric Light and Power
284,8/24/1881,10/4/1881,9/19/1882,264647,Dynamo or Magneto Electric Machine,Electric Light and Power
285,8/24/1881,10/4/1881,6/11/1889,404902,Electrical-Distribution System,Electric Light and Power
286,8/24/1881,11/11/1881,8/22/1882,263133,Dynamo or Magneto Electric Machine,Electric Light and Power
287,9/7/1881,10/17/1881,5/9/1882,257677,Telephone,Telegraph and Telephony
288,9/7/1881,10/17/1881,10/17/1882,266021,Telephone,Telegraph and Telephony
289,9/19/1881,11/11/1881,8/22/1882,263144,Mold for Carbonizing Incandescents,Electric Light and Power
290,9/21/1881,11/11/1881,10/10/1882,265774,Method of Maintaining Temperature in Webermeters,Electric Light and Power
291,9/23/1881,11/11/1881,9/19/1882,264648,Dynamo or Magneto Electric Machine,Electric Light and Power
292,9/27/1881,11/11/1881,10/10/1882,265776,Electric-Lighting System,Electric Light and Power
293,9/27/1881,11/11/1881,8/7/1894,524136,Regulator for Dynamo-Electric Machines,Electric Light and Power
294,10/4/1881,8/7/1882,3/13/1883,273715,Art of Malleableizing Iron,Mining and Ore Milling
295,10/5/1881,11/11/1881,7/17/1883,281352,Webermeter,Electric Light and Power
296,10/11/1881,8/7/1882,2/17/1891,446667,Locomotive for Electric Railways,Electric Light and Power
297,10/17/1881,11/11/1881,11/13/1883,288318,Regulator for Dynamo or Magneto Electric Machines,Electric Light and Power
298,10/25/1881,11/11/1881,12/27/1881,251559,Electrical Drop-Light,Electric Light and Power
299,10/25/1881,11/28/1881,8/22/1882,263148,Dynamo or Magneto Electric Machine,Electric Light and Power
300,10/25/1881,11/28/1881,9/19/1882,264646,Dynamo or Magneto Electric Machine,Electric Light and Power
301,10/25/1881,12/9/1881,10/31/1882,266793,Electric Distribution System,Electric Light and Power
302,10/29/1881,11/28/1881,3/1/1887,358599,Incandescent Electric Lamp,Electric Light and Power
303,11/3/1881,11/28/1881,9/19/1882,264673,Regulator for Dynamo-Electric Machines,Electric Light and Power
304,11/7/1881,11/28/1881,8/22/1882,263138,Electric-Arc Light,Electric Light and Power
305,11/7/1881,11/28/1881,10/10/1882,265775,Electric-Arc Light,Electric Light and Power
306,11/7/1881,11/28/1881,4/29/1884,297580,Electric-Arc Light,Electric Light and Power
307,11/22/1881,11/29/1881,8/22/1882,263146,Dynamo Magneto Electric Machine,Electric Light and Power
308,11/22/1881,11/29/1881,5/12/1885,317631,Incandescent Electric Lamp,Electric Light and Power
309,11/25/1881,12/6/1881,10/24/1882,266588,Vacuum Apparatus,Electric Light and Power
310,12/5/1881,12/7/1881,12/27/1881,251536,Vacuum-Pump,Electric Light and Power
311,12/5/1881,12/9/1881,9/19/1882,264650,Manufacture of Incandescing Electric Lamps,Electric Light and Power
312,12/5/1881,12/9/1881,3/20/1888,379770,Incandescent Electric Lamp,Electric Light and Power
313,12/5/1881,8/7/1882,9/19/1882,264660,Regulator for Dynamo-Electric Machines,Electric Light and Power
314,12/5/1881,8/7/1882,2/12/1884,293434,Incandescent Electric Lamp,Electric Light and Power
315,12/5/1881,8/7/1882,10/28/1890,439391,Junction-Box for Electric Wires,Electric Light and Power
316,12/5/1881,8/7/1882,6/23/1891,454558,Incandescent Electric Lamp,Electric Light and Power
317,12/13/1881,8/7/1882,9/19/1882,264653,Incandescent Electric Lamp,Electric Light and Power
318,12/13/1881,8/7/1882,3/1/1887,358600,Incandescing Electric Lamp,Electric Light and Power
319,12/15/1881,8/7/1882,9/19/1882,264652,Incandescent Electric Lamp,Electric Light and Power
320,12/15/1881,8/7/1882,5/29/1883,278419,Dynamo-Electric Machine,Electric Light and Power
321,1/17/1882,8/7/1882,10/10/1882,265779,Regulator for Dynamo-Electric Machines,Electric Light and Power
322,2/10/1882,8/7/1882,9/19/1882,264654,Incandescent Electric Lamp,Electric Light and Power
323,2/10/1882,8/7/1882,9/19/1882,264661,Regulator for Dynamo-Electric Machines,Electric Light and Power
324,2/10/1882,8/7/1882,9/19/1882,264664,Regulator for Dynamo-Electric Machines,Electric Light and Power
325,2/10/1882,8/7/1882,9/19/1882,264668,Regulator for Dynamo-Electric Machines,Electric Light and Power
326,2/10/1882,8/7/1882,9/19/1882,264669,Regulator for Dynamo-Electric Machines,Electric Light and Power
327,2/10/1882,8/7/1882,9/19/1882,264671,Regulator for Dynamo-Electric Machines,Electric Light and Power
328,2/10/1882,8/7/1882,4/10/1883,275613,Incandescing Electric Lamp,Electric Light and Power
329,2/10/1882,8/7/1882,4/16/1889,401646,Incandescing Electric Lamp,Electric Light and Power
330,2/28/1882,8/7/1882,9/19/1882,264658,Regulator for Dynamo-Electric Machines,Electric Light and Power
331,2/28/1882,8/7/1882,9/19/1882,264659,Regulator for Dynamo-Electric Machines,Electric Light and Power
332,2/28/1882,8/7/1882,10/10/1882,265780,Regulator for Dynamo-Electric Machines,Electric Light and Power
333,2/28/1882,8/7/1882,10/10/1882,265781,Regulator for Dynamo-Electric Machines,Electric Light and Power
334,2/28/1882,8/7/1882,5/29/1883,278416,Manufacture of Incandescing Electric Lamps,Electric Light and Power
335,2/28/1882,8/7/1882,3/20/1888,379771,Regulator for Dynamo-Electric Machines,Electric Light and Power
336,3/30/1882,10/6/1882,2/13/1883,272034,Telephone,Telegraph and Telephony
337,3/30/1882,10/6/1882,3/27/1883,274576,Transmitting-Telephone,Telegraph and Telephony
338,3/30/1882,10/6/1882,3/27/1883,274577,Telephone,Telegraph and Telephony
339,5/1/1882,5/17/1882,11/28/1882,268205,Dynamo or Magneto Electric Machine,Electric Light and Power
340,5/1/1882,8/7/1882,9/19/1882,264662,Regulator for Dynamo-Electric Machines,Electric Light and Power
341,5/1/1882,8/7/1882,9/19/1882,264663,Regulator for Dynamo-Electric Machines,Electric Light and Power
342,5/1/1882,8/7/1882,9/19/1882,264665,Regulator for Dynamo-Electric Machines,Electric Light and Power
343,5/1/1882,8/7/1882,9/19/1882,264666,Regulator for Dynamo-Electric Machines,Electric Light and Power
344,5/1/1882,8/7/1882,3/6/1883,273488,Regulator for Dynamo-Electric Machines,Electric Light and Power
345,5/19/1882,5/26/1882,9/29/1891,460122,Process of and Apparatus for Generating Electricity,Electric Light and Power
346,5/19/1882,5/26/1882,1/5/1892,466460,Art of Electrolytic Decomposition,Miscellaneous
347,5/19/1882,6/26/1882,3/6/1883,273492,Secondary Battery,Batteries
348,5/22/1882,8/7/1882,9/19/1882,264667,Regulator for Dynamo-Electric Machines,Electric Light and Power
349,5/22/1882,8/7/1882,9/19/1882,264672,Regulator for Dynamo-Electric Machines,Electric Light and Power
350,5/22/1882,8/7/1882,10/10/1882,265786,Apparatus for the Electrical Transmission of Power,Electric Light and Power
351,5/22/1882,8/7/1882,3/13/1883,273828,System of Underground  Conductors for Electrical  Distribution,Electric Light and Power
352,5/22/1882,8/7/1882,3/20/1888,379772,System of Electrical Distribution,Electric Light and Power
353,6/3/1882,8/7/1882,3/20/1883,274292,Secondary Battery,Batteries
354,6/3/1882,8/7/1882,6/28/1887,365509,Filament for Incandescent Electric Lamps,Electric Light and Power
355,6/3/1882,8/7/1882,2/17/1891,446668,Electric-Arc Light,Electric Light and Power
356,6/3/1882,8/7/1882,8/6/1895,543985,Incandescent Conductor for Electric Lamps,Electric Light and Power
357,6/3/1882,9/13/1882,7/17/1883,281353,Dynamo or Magneto Electric Machine,Electric Light and Power
358,6/3/1882,9/13/1882,10/30/1883,287523,Dynamo or Magneto Electric Machine,Electric Light and Power
359,6/9/1882,8/7/1882,9/19/1882,264651,Incandescent Electric Lamp,Electric Light and Power
360,6/9/1882,8/7/1882,9/19/1882,264655,Incandescing Electric Lamp,Electric Light and Power
361,6/9/1882,8/7/1882,9/19/1882,264670,Regulator for Dynamo-Electric Machines,Electric Light and Power
362,6/9/1882,8/7/1882,3/6/1883,273489,Turn-Table for Electric Railways,Electric Light and Power
363,6/9/1882,8/7/1882,3/6/1883,273490,Electro-Magnetic Railway System,Electric Light and Power
364,6/12/1882,8/7/1882,4/16/1889,401486,System of Electric Lighting,Electric Light and Power
365,6/12/1882,8/7/1882,6/7/1892,476527,System of Electric Lighting,Electric Light and Power
366,6/19/1882,6/26/1882,10/28/1890,439390,System of Electric Lighting,Electric Light and Power
367,6/19/1882,6/26/1882,2/17/1891,446666,System of Electric Lighting,Electric Light and Power
368,6/19/1882,6/28/1882,12/8/1891,464822,System of Distributing Electricity,Electric Light and Power
369,6/24/1882,8/14/1882,8/26/1884,304082,Electrical Meter,Electric Light and Power
370,7/5/1882,8/14/1882,3/20/1883,274296,Manufacture of Incandescents,Electric Light and Power
371,7/7/1882,8/14/1882,9/19/1882,264656,Incandescent Electric Lamp,Electric Light and Power
372,7/7/1882,8/14/1882,10/10/1882,265782,Regulator for Dynamo-Electric Machines,Electric Light and Power
373,7/7/1882,8/14/1882,10/10/1882,265783,Regulator for Dynamo-Electric Machines,Electric Light and Power
374,7/7/1882,8/14/1882,10/10/1882,265784,Regulator for Dynamo-Electric Machines,Electric Light and Power
375,7/7/1882,8/14/1882,10/10/1882,265785,Dynamo-Electric Machine,Electric Light and Power
376,7/7/1882,8/14/1882,3/6/1883,273494,Electrical Railroad,Electric Light and Power
377,7/7/1882,8/14/1882,5/29/1883,278418,Apparatus for Translating Electric Currents From High to Low Tension,Electric Light and Power
378,7/7/1882,8/14/1882,2/12/1884,293435,Electrical Meter,Electric Light and Power
379,7/7/1882,8/14/1882,1/26/1886,334853,Mold for Carbonizing,Electric Light and Power
380,7/7/1882,8/14/1882,4/6/1886,339278,Electric Railway,Electric Light and Power
381,8/5/1882,8/7/1882,3/13/1883,273714,Magneto-Electric Signaling Apparatus,Electric Light and Power
382,8/5/1882,8/7/1882,7/31/1883,282287,Magneto-Electric Signaling Apparatus,Electric Light and Power
383,8/5/1882,8/7/1882,3/24/1891,448778,Electric Railway,Electric Light and Power
384,8/12/1882,8/22/1882,10/28/1890,439392,Electric-Lighting System,Electric Light and Power
385,8/25/1882,9/13/1882,2/6/1883,271613,Manufacture of Incandescing Electric Lamps,Electric Light and Power
386,8/25/1882,9/13/1882,10/30/1883,287518,Method of Manufacturing Incandescing Electric Lamps,Electric Light and Power
387,8/25/1882,9/13/1882,7/9/1889,406825,Electric Meter,Electric Light and Power
388,8/25/1882,9/13/1882,10/28/1890,439393,Carbonizing-Chamber,Electric Light and Power
389,9/12/1882,9/22/1882,3/6/1883,273487,Regulator for Dynamo-Electric Machines,Electric Light and Power
390,9/12/1882,9/22/1882,4/29/1884,297581,Incandescent Electric Lamp,Electric Light and Power
391,9/16/1882,9/22/1882,1/8/1889,395962,Method of Manufacturing Electric Lamps,Electric Light and Power
392,10/4/1882,10/20/1882,10/30/1883,287525,Regulator for Systems of Electrical Distribution,Electric Light and Power
393,10/5/1882,10/12/1882,6/28/1887,365465,Valve-Gear,Electric Light and Power
394,10/9/1882,10/12/1882,10/21/1884,307029,Filament for Incandescent Lamps,Electric Light and Power
395,10/10/1882,10/12/1882,11/28/1882,268206,Incandescing Electric Lamp,Electric Light and Power
396,10/12/1882,10/20/1882,3/6/1883,273486,Incandescing Electric Lamp,Electric Light and Power
397,10/14/1882,10/20/1882,3/20/1883,274293,Electric Lamp,Electric Light and Power
398,10/14/1882,10/20/1882,4/10/1883,275612,Manufacture of Incandescing Electric Lamps,Electric Light and Power
399,10/14/1882,10/20/1882,6/24/1890,430932,Manufacture of Incandescent Lamps,Electric Light and Power
400,10/16/1882,10/20/1882,2/6/1883,271616,Regulator for Dynamo-Electric Machines,Electric Light and Power
401,10/17/1882,10/20/1882,8/6/1895,543986,Process of Treating and Products Derived from Vegetable Fibers,Electric Light and Power
402,10/17/1882,10/20/1882,8/6/1895,543987,Filament for Incandescent Lamps,Electric Light and Power
403,10/19/1882,10/20/1882,2/6/1883,271614,Shafting,Electric Light and Power
404,10/19/1882,10/20/1882,9/17/1889,411016,Manufacture of Carbon Filaments,Electric Light and Power
405,10/19/1882,10/26/1882,3/6/1883,273491,Regulator for Driving Engines of Electrical Generators,Electric Light and Power
406,10/19/1882,10/26/1882,3/6/1883,273493,Valve-Gear for Electrical Generator-Engines,Electric Light and Power
407,10/19/1882,10/26/1882,2/21/1893,492150,Process of Coating Conductors for Incandescent Lamps,Electric Light and Power
408,10/19/1882,11/9/1882,2/6/1883,271615,Governor for Dynamo-Electric Machines,Electric Light and Power
409,10/26/1882,11/9/1882,3/6/1883,273485,Incandescing Electric Lamp,Electric Light and Power
410,10/26/1882,11/9/1882,5/12/1885,317632,Incandescent Electric Lamp,Electric Light and Power
411,10/26/1882,11/9/1882,5/12/1885,317633,Incandescent Electric Lamp,Electric Light and Power
412,11/3/1882,11/9/1882,10/30/1883,287520,Incandescing Conductor for Electric Lamps,Electric Light and Power
413,11/3/1882,11/9/1882,12/7/1886,353783,Incandescent Electric Lamp,Electric Light and Power
414,11/3/1882,11/9/1882,6/24/1890,430933,Filament for Incandescent Lamps,Electric Light and Power
415,11/13/1882,11/23/1882,3/20/1883,274294,Incandescing Electric Lamp,Electric Light and Power
416,11/13/1882,11/23/1882,7/17/1883,281350,Regulator for Dynamo-Electric Machines,Electric Light and Power
417,11/14/1882,11/23/1882,3/20/1883,274295,Incandescent Electric Lamp,Electric Light and Power
418,11/14/1882,11/23/1882,4/24/1883,276233,Electrical Generator and Motor,Electric Light and Power
419,11/20/1882,11/27/1882,3/20/1883,274290,System of Electrical Distribution,Electric Light and Power
420,11/28/1882,12/8/1882,3/20/1883,274291,Mold for Carbonizing,Electric Light and Power
421,11/28/1882,12/8/1882,5/29/1883,278413,Regulator for Dynamo-Electric Machines,Electric Light and Power
422,11/28/1882,12/8/1882,5/29/1883,278414,Regulator for Dynamo-Electric Machines,Electric Light and Power
423,11/28/1882,12/8/1882,10/30/1883,287519,Incandescing Electric Lamp,Electric Light and Power
424,11/28/1882,12/8/1882,10/30/1883,287524,Regulator for Dynamo-Electric Machines,Electric Light and Power
425,11/28/1882,12/8/1882,10/14/1890,438298,Manufacture of Incandescent Electric Lamps,Electric Light and Power
426,12/20/1882,1/8/1883,4/24/1883,276232,Means for Operating and Regulating Electrical Generators,Electric Light and Power
427,1/13/1883,1/22/1883,5/29/1883,278415,Manufacture of Incandescing Electric Lamps,Electric Light and Power
428,1/13/1883,1/22/1883,5/29/1883,278417,Manufacture of Incandescing Electric Lamps,Electric Light and Power
429,1/13/1883,1/22/1883,7/17/1883,281349,Regulator for Dynamo-Electric Machines,Electric Light and Power
430,1/13/1883,1/22/1883,8/28/1883,283985,System of Electrical Distribution,Electric Light and Power
431,1/13/1883,1/22/1883,8/28/1883,283986,System of Electrical Distribution,Electric Light and Power
432,1/13/1883,1/22/1883,9/22/1891,459835,Manufacture of Incandescent Electric Lamps,Electric Light and Power
433,2/13/1883,3/16/1883,5/29/1883,13940,Design for Incandescing Electric Lamp,Electric Light and Power
434,2/13/1883,3/16/1883,7/3/1883,280727,System of Electrical Distribution,Electric Light and Power
435,2/13/1883,3/16/1883,12/25/1888,395123,Circuit-Controller for Dynamo-Electric Machines,Electric Light and Power
436,2/17/1883,3/16/1883,10/30/1883,287521,Dynamo or Magneto Electric Machine,Electric Light and Power
437,2/17/1883,3/16/1883,10/30/1883,287522,Mold for Carbonizing,Electric Light and Power
438,2/17/1883,3/16/1883,10/14/1890,438299,Manufacture of Carbon Filaments,Electric Light and Power
439,2/17/1883,3/16/1883,2/17/1891,446669,Manufacture of Filaments for Incandescent Electric Lamps,Electric Light and Power
440,2/17/1883,3/16/1883,6/7/1892,476528,Incandescent Electric Lamp,Electric Light and Power
441,3/5/1883,3/16/1883,7/17/1883,281351,Electrical Generator,Electric Light and Power
442,3/5/1883,3/16/1883,8/28/1883,283984,System of Electrical Distribution,Electric Light and Power
443,3/14/1883,3/16/1883,10/30/1883,287517,System of Electrical Distribution,Electric Light and Power
444,4/5/1883,4/17/1883,8/28/1883,283983,System of Electrical Distribution,Electric Light and Power
445,4/6/1883,4/17/1883,12/14/1886,354310,Manufacture of Carbon Conductors,Electric Light and Power
446,4/6/1883,4/17/1883,9/20/1887,370123,Electric Meter,Electric Light and Power
447,4/6/1883,4/17/1883,9/17/1889,411017,Carbonizing-Flask,Electric Light and Power
448,4/12/1883,4/20/1883,9/20/1887,370124,Manufacture of Filaments for Incandescing Electric Lights,Electric Light and Power
449,5/8/1883,5/14/1883,10/30/1883,287516,System of Electrical Distribution,Electric Light and Power
450,5/8/1883,5/14/1883,5/11/1886,341839,Incandescing Electric Lamp,Electric Light and Power
451,5/8/1883,5/14/1883,2/26/1889,398774,Incandescent Electric Lamp,Electric Light and Power
452,6/1/1883,6/7/1883,9/20/1887,370125,Electrical Transmission of Power,Electric Light and Power
453,6/1/1883,6/7/1883,9/20/1887,370126,Electrical Transmission of Power,Electric Light and Power
454,6/1/1883,6/7/1883,9/20/1887,370127,Electrical Transmission of Power,Electric Light and Power
455,6/1/1883,6/7/1883,9/20/1887,370128,Electrical Transmission of Power,Electric Light and Power
456,6/1/1883,6/7/1883,9/20/1887,370129,Electrical Transmission of Power,Electric Light and Power
457,6/1/1883,6/7/1883,9/20/1887,370130,Electrical Transmission of Power,Electric Light and Power
458,6/1/1883,6/7/1883,9/20/1887,370131,Electrical Transmission of Power,Electric Light and Power
459,6/1/1883,6/7/1883,10/14/1890,438300,Gage for Testing Fibers for Incandescent-Lamp Carbons,Electric Light and Power
460,6/25/1883,6/29/1883,10/30/1883,287511,Electric Regulator,Electric Light and Power
461,6/25/1883,6/29/1883,10/30/1883,287512,Dynamo-Electric Machine,Electric Light and Power
462,6/25/1883,6/29/1883,10/30/1883,287513,Dynamo-Electric Machine,Electric Light and Power
463,6/25/1883,6/29/1883,10/30/1883,287514,Dynamo-Electric Machine,Electric Light and Power
464,6/25/1883,6/29/1883,10/30/1883,287515,System of Electrical Distribution,Electric Light and Power
465,6/25/1883,6/29/1883,4/29/1884,297582,Dynamo-Electric Machine,Electric Light and Power
466,6/25/1883,6/29/1883,10/20/1885,328572,Commutator for Dynamo-Electric Machines,Electric Light and Power
467,6/25/1883,6/29/1883,6/24/1890,430934,Electric-Lighting System,Electric Light and Power
468,6/25/1883,6/29/1883,10/14/1890,438301,System of Electric Lighting,Electric Light and Power
469,7/27/1883,10/10/1883,4/29/1884,297583,Dynamo-Electric Machine,Electric Light and Power
470,7/27/1883,10/10/1883,8/26/1884,304083,Dynamo-Electric Machine,Electric Light and Power
471,7/27/1883,10/10/1883,8/26/1884,304084,Device for Protecting Electric-Light Systems from Lightning,Electric Light and Power
472,7/27/1883,10/10/1883,10/14/1890,438302,Commutator for Dynamo-Electric Machines,Electric Light and Power
473,7/27/1883,10/10/1883,6/7/1892,476529,System of Electrical Distribution,Electric Light and Power
474,8/8/1883,10/10/1883,4/29/1884,297584,Dynamo-Electric Machine,Electric Light and Power
475,8/8/1883,10/10/1883,10/21/1884,307030,Electrical Meter,Electric Light and Power
476,9/14/1883,9/19/1883,9/2/1890,435688,Process of and Apparatus for Generating Electricity,Electric Light and Power
477,9/14/1883,10/10/1883,4/29/1884,297585,Incandescing Conductor for Electric Lamps,Electric Light and Power
478,9/14/1883,10/10/1883,4/29/1884,297586,Electrical Conductor,Electric Light and Power
479,9/14/1883,10/10/1883,3/15/1892,470922,Manufacture of Filaments for Incandescent Lamps,Electric Light and Power
480,10/9/1883,11/1/1883,1/31/1893,490953,Art of Generating Electricity,Electric Light and Power
481,10/17/1883,10/18/1883,2/12/1884,293432,Electrical Generator or Motor,Electric Light and Power
482,11/2/1883,11/15/1883,10/21/1884,307031,Electrical Indicator,Electric Light and Power
483,11/10/1883,11/13/1883,3/2/1886,337254,Telephone,Telegraph and Telephony
484,11/15/1883,12/12/1883,4/29/1884,297587,Dynamo-Electric Machine,Electric Light and Power
485,11/15/1883,12/12/1883,5/20/1884,298954,Dynamo-Electric Machine,Electric Light and Power
486,11/15/1883,12/12/1883,5/20/1884,298955,Dynamo-Electric Machine,Electric Light and Power
487,11/15/1883,12/12/1883,8/26/1884,304085,System of Electrical Distribution,Electric Light and Power
488,11/15/1883,12/12/1883,11/28/1893,509517,System of Electrical Distribution,Electric Light and Power
489,11/20/1883,11/22/1883,4/15/1890,425761,Incandescent Lamp,Electric Light and Power
490,12/15/1883,1/4/1884,2/12/1895,534206,Filament for Incandescent Lamps,Electric Light and Power
491,12/15/1883,1/24/1884,8/26/1884,304086,Incandescent Electric Lamp,Electric Light and Power
492,1/5/1884,1/24/1884,5/20/1884,298956,Mode of Operating Dynamo-Electric Machines,Electric Light and Power
493,1/12/1884,1/24/1884,8/26/1884,304087,Electrical Conductor,Electric Light and Power
494,1/22/1884,1/28/1884,9/18/1894,526147,Art of Plating One Material with Another,Miscellaneous
495,1/22/1884,4/5/1884,1/8/1889,395963,Incandescent-Lamp Filament,Electric Light and Power
496,2/8/1884,4/5/1884,4/6/1886,339279,System of Electrical Distribution,Electric Light and Power
497,2/9/1884,3/19/1884,3/17/1885,314115,Chemical Stock Quotation Telegraph,Telegraph and Telephony
498,6/2/1884,6/10/1884,9/23/1890,436968,Method of and Apparatus for Drawing Wire,Electric Light and Power
499,6/2/1884,6/10/1884,9/23/1890,436969,Method of and Apparatus for Drawing Wire,Electric Light and Power
500,6/2/1884,6/10/1884,10/14/1890,438303,Arc Lamp,Electric Light and Power
501,6/27/1884,8/7/1884,6/1/1886,343017,System of Electrical Distribution,Electric Light and Power
502,7/16/1884,8/7/1884,10/23/1888,391595,System of Electric Lighting,Electric Light and Power
503,9/12/1884,10/2/1884,10/20/1885,328573,System of Electric Lighting,Electric Light and Power
504,9/12/1884,10/2/1884,10/20/1885,328574,System of Electric Lighting,Electric Light and Power
505,9/12/1884,10/2/1884,10/20/1885,328575,System of Electric Lighting,Electric Light and Power
506,9/24/1884,10/2/1884,10/23/1888,391596,Incandescent Electric Lamp,Electric Light and Power
507,9/24/1884,12/15/1884,10/14/1890,438304,Electric Signaling Apparatus,Telegraph and Telephony
508,10/21/1884,12/1/1884,3/4/1890,422577,Apparatus for Speaking-Telephones,Telegraph and Telephony
509,12/3/1884,12/15/1884,10/27/1885,329030,Telephone,Telegraph and Telephony
510,12/9/1884,12/15/1884,4/27/1886,340707,Telephonic Repeater,Telegraph and Telephony
511,12/9/1884,12/15/1884,3/4/1890,422578,Telephonic Repeater,Telegraph and Telephony
512,12/9/1884,12/15/1884,3/4/1890,422579,Telephonic Repeater,Telegraph and Telephony
513,12/19/1884,1/12/1885,4/27/1886,340708,Electrical Signaling Apparatus,Telegraph and Telephony
514,12/19/1884,1/12/1885,8/10/1886,347097,Electrical Signaling Apparatus,Telegraph and Telephony
515,12/31/1884,10/14/1885,7/12/1892,478743,Telephone-Repeater,Telegraph and Telephony
516,1/2/1885,10/14/1885,4/27/1886,340709,Telephone-Circuit,Telegraph and Telephony
517,1/9/1885,10/14/1885,2/14/1888,378044,Telephone-Transmitter,Telegraph and Telephony
518,1/12/1885,10/14/1885,8/24/1886,348114,Electrode for Telephone-Transmitters,Telegraph and Telephony
519,1/14/1885,10/14/1885,10/14/1890,438305,Fuse-Block,Electric Light and Power
520,3/27/1885,4/7/1885,10/5/1886,350234,System of Railway Signaling,Telegraph and Telephony
521,3/27/1885,4/7/1885,11/22/1892,486634,System of Railway Signaling,Telegraph and Telephony
522,4/27/1885,5/8/1885,12/29/1885,333289,Telegraphy,Telegraph and Telephony
523,4/30/1885,5/8/1885,12/29/1885,333290,Duplex Telegraphy,Telegraph and Telephony
524,5/6/1885,5/16/1885,12/29/1885,333291,Way-Station Quadruplex Telegraphy,Telegraph and Telephony
525,5/14/1885,5/23/1885,12/29/1891,465971,Means for Transmitting Signals Electrically,Telegraph and Telephony
526,10/7/1885,10/23/1885,2/25/1890,422072,Telegraphy,Telegraph and Telephony
527,10/7/1885,10/23/1885,9/30/1890,437422,Telegraphy,Telegraph and Telephony
528,11/12/1885,11/24/1885,2/25/1890,422073,Telegraphy,Telegraph and Telephony
529,11/24/1885,2/19/1886,2/25/1890,422074,Telegraphy,Telegraph and Telephony
530,11/30/1885,2/19/1886,9/2/1890,435689,Telegraphy,Telegraph and Telephony
531,12/22/1885,2/19/1886,10/14/1890,438306,Telephone,Telegraph and Telephony
532,12/28/1885,1/13/1886,10/5/1886,350235,Railway-Telegraphy,Telegraph and Telephony
533,1/28/1886,2/19/1886,7/9/1889,406567,Telephone,Telegraph and Telephony
534,2/17/1886,2/18/1886,5/3/1892,474232,Speaking-Telegraph,Telegraph and Telephony
535,5/11/1886,5/15/1886,9/20/1887,370132,Telegraphy,Telegraph and Telephony
536,7/15/1886,7/17/1886,9/17/1889,411018,Manufacture of Incandescent Electric Lamps,Electric Light and Power
537,7/15/1886,7/17/1886,10/14/1890,438307,Manufacture of Incandescent Electric Lamps,Electric Light and Power
538,7/15/1886,7/19/1886,3/24/1891,448779,Telegraph,Telegraph and Telephony
539,7/20/1886,7/29/1886,9/17/1889,411019,Manufacture of Incandescent Electric Lamps,Electric Light and Power
540,8/6/1886,8/11/1886,7/2/1889,406130,Manufacture of Incandescent Electric Lamps,Electric Light and Power
541,9/30/1886,10/5/1886,11/2/1886,351856,Incandescent Electric Lamp,Electric Light and Power
542,10/26/1886,10/27/1886,6/16/1891,454262,Incandescent-Lamp Filament,Electric Light and Power
543,10/26/1886,10/27/1886,1/5/1892,466400,Cut-Out for Incandescent Lamps,Electric Light and Power
544,10/26/1886,10/27/1886,10/11/1892,484184,Manufacture of Carbon Filaments,Electric Light and Power
545,11/2/1886,11/6/1886,1/31/1893,490954,Manufacture of Carbon Filaments for Electric Lamps,Electric Light and Power
546,11/9/1886,12/6/1886,10/14/1890,438308,System of Electrical Distribution,Electric Light and Power
547,11/9/1886,12/6/1886,8/14/1894,524378,System of Electrical Distribution,Electric Light and Power
548,11/22/1886,11/29/1886,7/5/1887,365978,System of Electrical Distribution,Electric Light and Power
549,11/22/1886,12/6/1886,9/6/1887,369439,System of Electrical Distribution,Electric Light and Power
550,11/24/1886,11/29/1886,6/19/1888,384830,Railway Signaling,Telegraph and Telephony
551,11/26/1886,12/6/1886,3/27/1888,379944,Commutator for Dynamo-Electric Machines,Electric Light and Power
552,11/26/1886,12/6/1886,9/17/1889,411020,Manufacture of Carbon Filaments,Electric Light and Power
553,12/6/1886,12/15/1886,11/8/1892,485615,Manufacture of Carbon Filaments,Electric Light and Power
554,12/6/1886,12/15/1886,11/8/1892,485616,Manufacture of Carbon Filaments,Electric Light and Power
555,12/6/1886,12/15/1886,8/28/1894,525007,Manufacture of Carbon Filaments,Electric Light and Power
556,12/10/1886,12/16/1886,9/6/1887,369441,System of Electrical Distribution,Electric Light and Power
557,12/16/1886,12/22/1886,9/6/1887,369442,System of Electrical Distribution,Electric Light and Power
558,12/16/1886,12/27/1886,9/6/1887,369443,System of Electrical Distribution,Electric Light and Power
559,12/20/1886,12/27/1886,10/11/1892,484185,Manufacture of Carbon Filaments,Electric Light and Power
560,12/20/1886,12/27/1886,2/12/1895,534207,Manufacture of Carbon Filaments,Electric Light and Power
561,12/21/1886,12/28/1886,11/22/1887,373584,Dynamo-Electric Machine,Electric Light and Power
562,2/7/1887,3/8/1887,2/16/1892,468949,Converter System for Electric Railways,Electric Light and Power
563,5/24/1887,6/13/1887,3/27/1888,380100,Pyromagnetic Motor,Electric Light and Power
564,5/24/1887,6/13/1887,6/14/1892,476983,Pyromagnetic Generator,Electric Light and Power
565,6/1/1887,6/4/1887,6/7/1892,476530,Incandescent Electric Lamp,Electric Light and Power
566,6/30/1887,7/6/1887,2/7/1888,377518,Magnetic Separator,Mining and Ore Milling
