Menu,Serving Size (G),Calories,Protein (g),Total Carbs (g),Sodium (mg),Sugars (g),Weight Watchers,Category
Berry Waffle Crunch 31º Below® – Large,24 oz,1030,28,157,450,120,28,31º Below Mix
Berry Waffle Crunch 31º Below® – Medium,16 oz,680,19,104,320,84,19,31º Below Mix
Berry Waffle Crunch 31º Below® – Mini,9 oz,380,11,57,180,46,11,31º Below Mix
Berry Waffle Crunch 31º Below® – Small,12 oz,530,15,81,240,62,15,31º Below Mix
Butterfinger® 31º Below® – Large,24 oz,1150,30,173,640,141,33,31º Below Mix
Butterfinger® 31º Below® – Medium,16 oz,840,21,127,470,103,24,31º Below Mix
Butterfinger® 31º Below® – Mini,9 oz,430,12,64,240,54,12,31º Below Mix
Butterfinger® 31º Below® – Small,12 oz,620,16,92,340,75,17,31º Below Mix
Chocolate Chip Cookie Dough 31º Below® – Large,24 oz,1180,28,180,650,141,33,31º Below Mix
Chocolate Chip Cookie Dough 31º Below® – Medium,16 oz,860,20,132,470,102,24,31º Below Mix
Chocolate Chip Cookie Dough 31º Below® – Mini,9 oz,440,11,66,240,54,12,31º Below Mix
Chocolate Chip Cookie Dough 31º Below® – Small,12 oz,630,15,96,340,75,17,31º Below Mix
Heath® 31º Below® – Large,24 oz,1280,27,166,790,158,36,31º Below Mix
Heath® 31º Below® – Medium,16 oz,940,19,121,580,116,26,31º Below Mix
Heath® 31º Below® – Mini,9 oz,470,11,62,290,59,13,31º Below Mix
Heath® 31º Below® – Small,12 oz,680,14,88,420,84,19,31º Below Mix
OREO® ‘n Caramel 31 Below – Large,24 oz,1170,28,176,970,138,32,31º Below Mix
OREO® ‘n Caramel 31 Below – Medium,16 oz,840,20,130,700,103,23,31º Below Mix
OREO® ‘n Caramel 31 Below – Mini,9 oz,470,11,72,390,57,13,31º Below Mix
OREO® ‘n Caramel 31 Below – Small,12 oz,620,15,93,510,72,17,31º Below Mix
OREO® ‘n Chocolate 31º Below® – Large,24 oz,1220,29,174,860,137,34,31º Below Mix
OREO® ‘n Chocolate 31º Below® – Large,24 oz,1220,29,174,860,137,34,31º Below Mix
OREO® ‘n Chocolate 31º Below® – Medium,16 oz,890,21,128,590,102,25,31º Below Mix
OREO® ‘n Chocolate 31º Below® – Medium,16 oz,890,21,128,590,102,25,31º Below Mix
OREO® ‘n Chocolate 31º Below® – Mini,9 oz,500,12,71,340,57,14,31º Below Mix
OREO® ‘n Chocolate 31º Below® – Mini,9 oz,500,12,71,340,57,14,31º Below Mix
OREO® ‘n Chocolate 31º Below® – Small,12 oz,640,15,92,460,72,18,31º Below Mix
OREO® ‘n Chocolate 31º Below® – Small,12 oz,640,15,92,460,72,18,31º Below Mix
OREO® 31º Below® – Large,24 oz,1030,27,151,740,125,29,31º Below Mix
OREO® 31º Below® – Medium,16 oz,750,19,110,580,90,21,31º Below Mix
OREO® 31º Below® – Mini,9 oz,400,11,58,290,49,11,31º Below Mix
