Transaction,date_time,period_day,weekday_weekend,items
1,2016-10-30 09:58:00,morning,weekend,bread
2,2016-10-30 10:05:00,morning,weekend,scandinavian
3,2016-10-30 10:07:00,morning,weekend,"cookies,hot chocolate,jam"
4,2016-10-30 10:08:00,morning,weekend,muffin
5,2016-10-30 10:13:00,morning,weekend,"bread,coffee,pastry"
6,2016-10-30 10:16:00,morning,weekend,"medialuna,muffin,pastry"
7,2016-10-30 10:19:00,morning,weekend,"coffee,medialuna,pastry,tea"
8,2016-10-30 10:20:00,morning,weekend,"bread,pastry"
9,2016-10-30 10:21:00,morning,weekend,"bread,muffin"
10,2016-10-30 10:25:00,morning,weekend,"medialuna,scandinavian"
11,2016-10-30 10:27:00,morning,weekend,"bread,medialuna"
12,2016-10-30 10:30:00,morning,weekend,"coffee,jam,pastry,tartine,tea"
13,2016-10-30 10:31:00,morning,weekend,"basket,bread,coffee"
14,2016-10-30 10:32:00,morning,weekend,"bread,medialuna,pastry"
15,2016-10-30 10:34:00,morning,weekend,"mineral water,scandinavian"
16,2016-10-30 10:37:00,morning,weekend,"bread,coffee,medialuna"
17,2016-10-30 10:38:00,morning,weekend,hot chocolate
18,2016-10-30 10:41:00,morning,weekend,farm house
19,2016-10-30 10:43:00,morning,weekend,"bread,farm house"
20,2016-10-30 10:45:00,morning,weekend,"bread,medialuna"
21,2016-10-30 10:49:00,morning,weekend,"bread,coffee,medialuna"
22,2016-10-30 10:52:00,morning,weekend,jam
23,2016-10-30 10:53:00,morning,weekend,"muffin,scandinavian"
24,2016-10-30 10:54:00,morning,weekend,bread
25,2016-10-30 10:55:00,morning,weekend,scandinavian
26,2016-10-30 10:56:00,morning,weekend,fudge
27,2016-10-30 11:02:00,morning,weekend,scandinavian
28,2016-10-30 11:03:00,morning,weekend,"bread,coffee"
29,2016-10-30 11:05:00,morning,weekend,"bread,jam"
30,2016-10-30 11:07:00,morning,weekend,bread
31,2016-10-30 11:12:00,morning,weekend,basket
32,2016-10-30 11:16:00,morning,weekend,"muffin,scandinavian"
33,2016-10-30 11:22:00,morning,weekend,coffee
34,2016-10-30 11:25:00,morning,weekend,"coffee,muffin"
35,2016-10-30 11:27:00,morning,weekend,"muffin,scandinavian"
36,2016-10-30 11:33:00,morning,weekend,"bread,tea"
37,2016-10-30 11:37:00,morning,weekend,"bread,coffee"
38,2016-10-30 11:42:00,morning,weekend,"bread,tea"
39,2016-10-30 11:44:00,morning,weekend,scandinavian
40,2016-10-30 11:55:00,morning,weekend,"coffee,juice,muffin,tartine"
41,2016-10-30 11:57:00,morning,weekend,scandinavian
42,2016-10-30 11:57:00,morning,weekend,"bread,tea"
43,2016-10-30 12:00:00,afternoon,weekend,"fudge,scandinavian"
44,2016-10-30 12:05:00,afternoon,weekend,"coffee,medialuna"
45,2016-10-30 12:08:00,afternoon,weekend,"coffee,hot chocolate,medialuna"
46,2016-10-30 12:09:00,afternoon,weekend,coffee
47,2016-10-30 12:15:00,afternoon,weekend,"bread,ella's kitchen pouches,jam,juice,muffin"
48,2016-10-30 12:17:00,afternoon,weekend,coffee
49,2016-10-30 12:23:00,afternoon,weekend,"coffee,medialuna"
50,2016-10-30 12:25:00,afternoon,weekend,"bread,victorian sponge"
51,2016-10-30 12:26:00,afternoon,weekend,bread
52,2016-10-30 12:28:00,afternoon,weekend,scandinavian
54,2016-10-30 12:33:00,afternoon,weekend,bread
55,2016-10-30 12:38:00,afternoon,weekend,"coffee,frittata,hearty & seasonal,tea"
56,2016-10-30 12:39:00,afternoon,weekend,"coffee,frittata"
57,2016-10-30 12:45:00,afternoon,weekend,scandinavian
58,2016-10-30 12:59:00,afternoon,weekend,"hot chocolate,soup,tea,victorian sponge"
59,2016-10-30 13:02:00,afternoon,weekend,tea
60,2016-10-30 13:14:00,afternoon,weekend,"coffee,cookies,juice"
61,2016-10-30 13:15:00,afternoon,weekend,coffee
62,2016-10-30 13:24:00,afternoon,weekend,"coffee,hearty & seasonal,pick and mix bowls,smoothies"
63,2016-10-30 13:33:00,afternoon,weekend,coffee
64,2016-10-30 13:34:00,afternoon,weekend,cake
65,2016-10-30 13:37:00,afternoon,weekend,"coffee,mighty protein,tartine,tea"
66,2016-10-30 13:40:00,afternoon,weekend,"frittata,hearty & seasonal,mineral water"
67,2016-10-30 13:46:00,afternoon,weekend,"hearty & seasonal,mineral water,muffin"
68,2016-10-30 13:49:00,afternoon,weekend,"chicken sand,coffee,frittata,scandinavian,tea"
69,2016-10-30 13:51:00,afternoon,weekend,"bread,tea,victorian sponge"
70,2016-10-30 13:54:00,afternoon,weekend,fudge
71,2016-10-30 13:56:00,afternoon,weekend,muffin
72,2016-10-30 14:21:00,afternoon,weekend,"bread,coffee"
73,2016-10-30 14:22:00,afternoon,weekend,bread
74,2016-10-30 14:24:00,afternoon,weekend,"bread,coffee"
75,2016-10-30 14:32:00,afternoon,weekend,"frittata,jam"
76,2016-10-30 14:32:00,afternoon,weekend,coffee
77,2016-10-30 14:35:00,afternoon,weekend,scandinavian
78,2016-10-30 14:42:00,afternoon,weekend,fudge
