title,year,genres,rank_in_year,imdb_rating,rt_score,rt_audience_score,worldwide_gross,2015_inflation,adjusted,rt_freshness,audience_freshness,length,rating,release_date,studio,poster_url,poster_img
Aladdin,1992,Comedy|Animation|Adventure,1,8.0,8.1,3.7,504050219.0,68.30%,848295321.88,94.0,92.0,90.0,G,1992-11-25,Walt Disney Pictures,http://resizing.flixster.com/PFEXNhpBUHom6A9yG3wg_W0Zt98=/180x268/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/64/10936428_ori.jpg,<img src=http://resizing.flixster.com/PFEXNhpBUHom6A9yG3wg_W0Zt98=/180x268/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/64/10936428_ori.jpg width=100>
Basic Instinct,1992,Thriller|Mystery|Drama,4,6.9,5.9,3.1,352927224.0,68.30%,593961676.43,54.0,64.0,127.0,R,1992-03-20,TriStar Pictures|Carolco Pictures,http://resizing.flixster.com/lRQ8GHTcvMv_3ysr2uwWkIrdHZ8=/180x247/dkpu1ddg7pbsk.cloudfront.net/movie/28/33/283309_ori.jpg,<img src=http://resizing.flixster.com/lRQ8GHTcvMv_3ysr2uwWkIrdHZ8=/180x247/dkpu1ddg7pbsk.cloudfront.net/movie/28/33/283309_ori.jpg width=100>
Batman Returns,1992,Action,6,7.0,6.7,3.3,266822354.0,68.30%,449050801.17,80.0,73.0,126.0,PG-13,1992-06-19,Warner Bros.|PolyGram,http://resizing.flixster.com/eyIQdyoRhF9tyZv4-7T_gYpraUQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/56/82/90/5682901_ori.jpg,<img src=http://resizing.flixster.com/eyIQdyoRhF9tyZv4-7T_gYpraUQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/56/82/90/5682901_ori.jpg width=100>
Bram Stoker's Dracula,1992,Romance|Horror,9,7.5,6.5,3.6,215862692.0,68.30%,363287833.02,79.0,80.0,128.0,R,1992-11-13,Columbia Pictures,http://resizing.flixster.com/x3cAqTql6HPipavjw_OkSCaDpm8=/180x260/dkpu1ddg7pbsk.cloudfront.net/movie/59/64/98/5964985_ori.jpg,<img src=http://resizing.flixster.com/x3cAqTql6HPipavjw_OkSCaDpm8=/180x260/dkpu1ddg7pbsk.cloudfront.net/movie/59/64/98/5964985_ori.jpg width=100>
Home Alone 2: Lost in New York,1992,Family|Comedy|Adventure,3,6.5,3.6,3.0,358994850.0,68.30%,604173235.83,24.0,61.0,120.0,PG,1992-11-20,20th Century Fox,http://resizing.flixster.com/xT4YXaNwgJtK3EDk4He0uUuaUrw=/180x255/dkpu1ddg7pbsk.cloudfront.net/movie/25/40/254003_ori.jpg,<img src=http://resizing.flixster.com/xT4YXaNwgJtK3EDk4He0uUuaUrw=/180x255/dkpu1ddg7pbsk.cloudfront.net/movie/25/40/254003_ori.jpg width=100>
Lethal Weapon 3,1992,Thriller|Crime|Action,5,6.7,5.5,3.2,321731527.0,68.30%,541460630.25,56.0,62.0,118.0,R,1992-05-15,Warner Bros.,http://resizing.flixster.com/X8uBur__gienB-0mAjgC0hfF7CM=/178x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/12/88/11128831_ori.jpg,<img src=http://resizing.flixster.com/X8uBur__gienB-0mAjgC0hfF7CM=/178x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/12/88/11128831_ori.jpg width=100>
Sister Act,1992,Music|Comedy,8,6.2,5.7,3.1,231605150.0,68.30%,389781727.82,71.0,65.0,100.0,PG,1992-05-29,Touchstone Pictures,http://resizing.flixster.com/blxl_bQQDX1grNM-uVerO3oZAaI=/180x260/dkpu1ddg7pbsk.cloudfront.net/movie/25/51/255121_ori.jpg,<img src=http://resizing.flixster.com/blxl_bQQDX1grNM-uVerO3oZAaI=/180x260/dkpu1ddg7pbsk.cloudfront.net/movie/25/51/255121_ori.jpg width=100>
The Bodyguard,1992,Music|Drama|Action,2,6.1,4.8,3.0,411006740.0,68.30%,691707059.46,32.0,64.0,129.0,R,1992-11-25,Warner Bros.,http://resizing.flixster.com/QGjRr5Lf9dMQdKQhczqt58OqeSA=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/79/11167935_ori.jpg,<img src=http://resizing.flixster.com/QGjRr5Lf9dMQdKQhczqt58OqeSA=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/79/11167935_ori.jpg width=100>
Wayne's World,1992,Music|Comedy,10,7.0,6.8,3.4,183097323.0,68.30%,308145094.86,85.0,85.0,94.0,PG-13,1992-02-14,Paramount Pictures,http://resizing.flixster.com/5zIUNziYaR486W5JZy8eWVrvGow=/180x269/dkpu1ddg7pbsk.cloudfront.net/movie/59/51/42/5951425_ori.jpg,<img src=http://resizing.flixster.com/5zIUNziYaR486W5JZy8eWVrvGow=/180x269/dkpu1ddg7pbsk.cloudfront.net/movie/59/51/42/5951425_ori.jpg width=100>
Beauty and the Beast,1991,Fantasy|Family|Animation,3,8.0,8.4,3.7,351863363.0,73.36%,609997249.69,93.0,92.0,84.0,G,1991-11-22,Walt Disney Pictures,http://resizing.flixster.com/O7KjuYoKyOa7bBFVEMqnM_ZGN78=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/29/11162903_ori.jpg,<img src=http://resizing.flixster.com/O7KjuYoKyOa7bBFVEMqnM_ZGN78=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/29/11162903_ori.jpg width=100>
