title,year,genres,rank_in_year,imdb_rating,rt_score,rt_audience_score,worldwide_gross,2015_inflation,adjusted,rt_freshness,audience_freshness,length,rating,release_date,studio,poster_url,poster_img
Batman,1989,Adventure|Action,2,7.6,6.6,3.5,411348924.0,90.42%,783284649.89,72.0,84.0,126.0,PG-13,1989-06-23,Warner Bros.|PolyGram,http://resizing.flixster.com/GYJFshcSEmFUiwMilVYAyMIs4CQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/80/11168088_ori.jpg,<img src=http://resizing.flixster.com/GYJFshcSEmFUiwMilVYAyMIs4CQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/80/11168088_ori.jpg width=100>
Born on the Fourth of July,1989,War|Drama|Biography,10,7.2,7.4,3.4,161001698.0,90.42%,306577096.21,90.0,76.0,145.0,R,1990-01-05,Universal Pictures,http://resizing.flixster.com/uORJJKgy_lsdJT2bkQmStA3V2qI=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/58/11175872_ori.jpg,<img src=http://resizing.flixster.com/uORJJKgy_lsdJT2bkQmStA3V2qI=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/58/11175872_ori.jpg width=100>
Dead Poets Society,1989,Drama,5,8.0,7.2,3.8,235860116.0,90.42%,449121409.11,85.0,92.0,128.0,PG,1989-06-09,Touchstone Pictures,http://resizing.flixster.com/o40G4KNC9kqYHF2W_Ns0RG449BM=/180x269/dkpu1ddg7pbsk.cloudfront.net/movie/10/58/40/10584083_ori.jpg,<img src=http://resizing.flixster.com/o40G4KNC9kqYHF2W_Ns0RG449BM=/180x269/dkpu1ddg7pbsk.cloudfront.net/movie/10/58/40/10584083_ori.jpg width=100>
Ghostbusters II,1989,Horror|Fantasy|Comedy,8,6.5,5.2,3.2,215394738.0,90.42%,410151533.4,51.0,61.0,108.0,PG,1989-06-16,Columbia Pictures,http://resizing.flixster.com/dcW7DWqYbQt25cexo1WNvrzm-O8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/44/11174416_ori.jpg,<img src=http://resizing.flixster.com/dcW7DWqYbQt25cexo1WNvrzm-O8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/44/11174416_ori.jpg width=100>
"Honey, I Shrunk the Kids",1989,Family|Comedy|Adventure,7,6.2,6.2,2.9,222724172.0,90.42%,424108135.23,75.0,53.0,93.0,PG,1989-06-23,Walt Disney Pictures,http://resizing.flixster.com/5mEUZK0kuxucMPC5Ycg0MIwPSFI=/180x254/dkpu1ddg7pbsk.cloudfront.net/movie/10/87/98/10879840_ori.jpg,<img src=http://resizing.flixster.com/5mEUZK0kuxucMPC5Ycg0MIwPSFI=/180x254/dkpu1ddg7pbsk.cloudfront.net/movie/10/87/98/10879840_ori.jpg width=100>
Indiana Jones and the Last Crusade,1989,Adventure|Action,1,8.3,7.9,4.0,474171806.0,90.42%,902911069.85,88.0,94.0,127.0,PG-13,1989-05-24,Paramount Pictures|Lucasfilm,http://resizing.flixster.com/qaoiZqYHDMj6G5jqCdlEtuaumgA=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/10/91/96/10919621_ori.jpg,<img src=http://resizing.flixster.com/qaoiZqYHDMj6G5jqCdlEtuaumgA=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/10/91/96/10919621_ori.jpg width=100>
Lethal Weapon 2,1989,Thriller|Crime|Action,6,7.2,6.6,3.3,227853986.0,90.42%,433876252.58,83.0,77.0,114.0,R,1989-07-07,Warner Bros.,http://resizing.flixster.com/RFQcK-L53KhuubGeaJKOomMbg9k=/180x268/dkpu1ddg7pbsk.cloudfront.net/movie/11/12/88/11128832_ori.jpg,<img src=http://resizing.flixster.com/RFQcK-L53KhuubGeaJKOomMbg9k=/180x268/dkpu1ddg7pbsk.cloudfront.net/movie/11/12/88/11128832_ori.jpg width=100>
Look Who's Talking,1989,Romance|Comedy,4,5.8,5.0,2.9,296999813.0,90.42%,565542732.63,58.0,47.0,93.0,PG-13,1989-10-13,TriStar Pictures,http://resizing.flixster.com/H3iCz9YretFAYbty_QAUGdp2-4U=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/81/11178142_ori.jpg,<img src=http://resizing.flixster.com/H3iCz9YretFAYbty_QAUGdp2-4U=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/81/11178142_ori.jpg width=100>
The Little Mermaid,1989,Fantasy|Family|Animation,9,7.6,8.1,3.6,184155863.0,90.42%,350666921.09,92.0,88.0,83.0,G,1989-11-17,Walt Disney Pictures,http://resizing.flixster.com/i9JPNUh70xuDNhRGYPg4U8L_PHo=/180x258/dkpu1ddg7pbsk.cloudfront.net/movie/25/06/250622_ori.jpg,<img src=http://resizing.flixster.com/i9JPNUh70xuDNhRGYPg4U8L_PHo=/180x258/dkpu1ddg7pbsk.cloudfront.net/movie/25/06/250622_ori.jpg width=100>
"""Crocodile"" Dundee II",1988,Comedy|Adventure|Action,6,5.5,3.5,2.7,109306210.0,99.59%,218167988.16,11.0,38.0,108.0,PG,1988-05-25,Paramount Pictures,http://resizing.flixster.com/7Kx0TvzMcvpqHNAE-yqb4pGPk7w=/180x255/dkpu1ddg7pbsk.cloudfront.net/movie/25/68/256818_ori.jpg,<img src=http://resizing.flixster.com/7Kx0TvzMcvpqHNAE-yqb4pGPk7w=/180x255/dkpu1ddg7pbsk.cloudfront.net/movie/25/68/256818_ori.jpg width=100>
Beetlejuice,1988,Comedy,10,7.4,7.0,3.5,73707461.0,99.59%,147115232.32,81.0,82.0,92.0,PG,1988-03-30,Warner Bros.|Geffen Pictures,http://resizing.flixster.com/WwfRe5-FR6NpqXyNT6vsLgvHXPI=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/68/11166863_ori.jpg,<img src=http://resizing.flixster.com/WwfRe5-FR6NpqXyNT6vsLgvHXPI=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/68/11166863_ori.jpg width=100>
Big,1988,Fantasy|Drama|Comedy,4,7.3,7.9,3.5,114968774.0,99.59%,229470092.55,97.0,81.0,104.0,PG,1988-06-03,20th Century Fox|Gracie Films,http://resizing.flixster.com/lvE3FiWgRk78wlgoK8AOg0Ao_d8=/179x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/44/11164479_ori.jpg,<img src=http://resizing.flixster.com/lvE3FiWgRk78wlgoK8AOg0Ao_d8=/179x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/44/11164479_ori.jpg width=100>
Cocktail,1988,Romance|Drama|Comedy,9,5.8,3.8,3.0,78222753.0,99.59%,156127457.44,5.0,59.0,104.0,R,1988-07-29,Touchstone Pictures,http://resizing.flixster.com/mBKethr9jeA6EMJGizVw16i323Q=/180x254/dkpu1ddg7pbsk.cloudfront.net/movie/26/88/268891_ori.jpg,<img src=http://resizing.flixster.com/mBKethr9jeA6EMJGizVw16i323Q=/180x254/dkpu1ddg7pbsk.cloudfront.net/movie/26/88/268891_ori.jpg width=100>
Coming to America,1988,Romance|Comedy,3,6.9,5.8,3.4,128152301.0,99.59%,255783543.19,68.0,85.0,116.0,R,1988-06-29,Paramount Pictures,http://resizing.flixster.com/SpFvVmXJooaMPr5Q_jCIsgyABY0=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/89/11168930_ori.jpg,<img src=http://resizing.flixster.com/SpFvVmXJooaMPr5Q_jCIsgyABY0=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/89/11168930_ori.jpg width=100>
Die Hard,1988,Thriller|Action,7,8.3,8.4,3.9,83008852.0,99.59%,165680195.48,92.0,94.0,131.0,R,1988-07-20,20th Century Fox|Silver Pictures,http://resizing.flixster.com/jPElLfrOhdvB_ZCJ4fWabLw9TSQ=/179x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/47/11164776_ori.jpg,<img src=http://resizing.flixster.com/jPElLfrOhdvB_ZCJ4fWabLw9TSQ=/179x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/47/11164776_ori.jpg width=100>
Rain Man,1988,Drama,1,8.0,7.9,3.8,172825435.0,99.59%,344948173.18,90.0,90.0,133.0,R,1988-12-16,United Artists,http://resizing.flixster.com/QOETj26bjQ-V44TXF6efQW3eAPo=/174x270/dkpu1ddg7pbsk.cloudfront.net/movie/10/85/35/10853584_ori.jpg,<img src=http://resizing.flixster.com/QOETj26bjQ-V44TXF6efQW3eAPo=/174x270/dkpu1ddg7pbsk.cloudfront.net/movie/10/85/35/10853584_ori.jpg width=100>
The Naked Gun: From the Files of Police Squad!,1988,Crime|Comedy,8,7.6,7.3,3.3,78756177.0,99.59%,157192136.58,86.0,84.0,85.0,PG-13,1988-12-02,Paramount Pictures,http://resizing.flixster.com/J5Rc7uF3aMumJoVlcjnFbL6GTgk=/110x148/dkpu1ddg7pbsk.cloudfront.net/movie/10/88/60/10886069_ori.jpg,<img src=http://resizing.flixster.com/J5Rc7uF3aMumJoVlcjnFbL6GTgk=/110x148/dkpu1ddg7pbsk.cloudfront.net/movie/10/88/60/10886069_ori.jpg width=100>
Twins,1988,Comedy,5,5.9,4.8,2.7,111938388.0,99.59%,223421641.89,36.0,38.0,107.0,PG,1988-12-09,Universal Pictures,http://resizing.flixster.com/H2mQs9HYLM6dPIe31Ak2ipfj1_s=/178x270/dkpu1ddg7pbsk.cloudfront.net/movie/10/88/47/10884784_ori.jpg,<img src=http://resizing.flixster.com/H2mQs9HYLM6dPIe31Ak2ipfj1_s=/178x270/dkpu1ddg7pbsk.cloudfront.net/movie/10/88/47/10884784_ori.jpg width=100>
Who Framed Roger Rabbit,1988,Crime|Comedy|Animation,2,7.7,8.4,3.5,156452370.0,99.59%,312268614.98,98.0,84.0,104.0,PG,1988-06-22,Touchstone Pictures|Amblin Entertainment,http://resizing.flixster.com/ER2EiHJ2eXX7acnA6_E4aFhIhBo=/168x268/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/55/11155547_ori.jpg,<img src=http://resizing.flixster.com/ER2EiHJ2eXX7acnA6_E4aFhIhBo=/168x268/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/55/11155547_ori.jpg width=100>
Beverly Hills Cop II,1987,Crime|Comedy|Action,3,6.4,4.9,3.1,153665036.0,107.85%,319394671.09,46.0,58.0,100.0,R,1987-05-20,Paramount,http://resizing.flixster.com/hAbluJoNCoLzqbORzEG8k4IJ7YE=/180x269/dkpu1ddg7pbsk.cloudfront.net/movie/10/84/44/10844413_ori.jpg,<img src=http://resizing.flixster.com/hAbluJoNCoLzqbORzEG8k4IJ7YE=/180x269/dkpu1ddg7pbsk.cloudfront.net/movie/10/84/44/10844413_ori.jpg width=100>
Fatal Attraction,1987,Thriller|Drama,2,6.9,6.7,3.3,156645693.0,107.85%,325590003.39,78.0,71.0,119.0,R,1987-09-18,Paramount Pictures,http://resizing.flixster.com/hWiV1-iFoJADbPT61IDD7Z2H4Xs=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/10/84/99/10849901_ori.jpg,<img src=http://resizing.flixster.com/hWiV1-iFoJADbPT61IDD7Z2H4Xs=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/10/84/99/10849901_ori.jpg width=100>
"Good Morning, Vietnam",1987,War|Drama|Comedy,4,7.3,7.4,3.5,123922370.0,107.85%,257574173.26,89.0,82.0,121.0,R,1988-01-15,Touchstone,http://resizing.flixster.com/LeKFp61qZoa_i5Q_6x_4nYkg1Ww=/180x256/dkpu1ddg7pbsk.cloudfront.net/movie/26/89/268995_ori.jpg,<img src=http://resizing.flixster.com/LeKFp61qZoa_i5Q_6x_4nYkg1Ww=/180x256/dkpu1ddg7pbsk.cloudfront.net/movie/26/89/268995_ori.jpg width=100>
Lethal Weapon,1987,Thriller|Crime|Action,9,7.6,7.1,3.6,65207127.0,107.85%,135533817.08,84.0,85.0,110.0,R,1987-03-06,Warner Bros.,http://resizing.flixster.com/3aDtygNQOYu5zppr1AvV8jIu_H0=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/79/11167924_ori.jpg,<img src=http://resizing.flixster.com/3aDtygNQOYu5zppr1AvV8jIu_H0=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/79/11167924_ori.jpg width=100>
Moonstruck,1987,Romance|Drama|Comedy,5,7.1,7.8,3.4,80640528.0,107.85%,167612331.26,92.0,81.0,102.0,PG,1988-01-15,Metro-Goldwyn-Mayer,http://resizing.flixster.com/N7exSCLxOgtB-aPi60FeW5bXS5w=/180x264/dkpu1ddg7pbsk.cloudfront.net/movie/10/85/77/10857754_ori.jpg,<img src=http://resizing.flixster.com/N7exSCLxOgtB-aPi60FeW5bXS5w=/180x264/dkpu1ddg7pbsk.cloudfront.net/movie/10/85/77/10857754_ori.jpg width=100>
Stakeout,1987,Thriller|Comedy,8,6.6,6.5,2.9,65673230.0,107.85%,136502617.91,87.0,56.0,117.0,R,1987-08-05,Touchstone,http://resizing.flixster.com/yBPupKo8Rg2P0Xk7oSb3kKgkeaM=/180x255/dkpu1ddg7pbsk.cloudfront.net/movie/27/16/271625_ori.jpg,<img src=http://resizing.flixster.com/yBPupKo8Rg2P0Xk7oSb3kKgkeaM=/180x255/dkpu1ddg7pbsk.cloudfront.net/movie/27/16/271625_ori.jpg width=100>
The Secret of My Success,1987,Comedy,7,6.4,5.4,3.0,66995000.0,107.85%,139249933.14,58.0,58.0,111.0,PG-13,1987-04-10,Universal Pictures,http://resizing.flixster.com/bCumGM3LISFAFqsAbv3V0o7fPKw=/177x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/78/11157863_ori.jpg,<img src=http://resizing.flixster.com/bCumGM3LISFAFqsAbv3V0o7fPKw=/177x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/78/11157863_ori.jpg width=100>
The Untouchables,1987,Thriller|Drama|Crime,6,8.0,7.4,3.9,76270454.0,107.85%,158529078.59,80.0,89.0,119.0,R,1987-06-03,Paramount,http://resizing.flixster.com/1EFQuvj5llA_m61tMCqDVudwUpc=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/13/11171335_ori.jpg,<img src=http://resizing.flixster.com/1EFQuvj5llA_m61tMCqDVudwUpc=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/13/11171335_ori.jpg width=100>
The Witches of Eastwick,1987,Horror|Fantasy|Comedy,10,6.5,6.2,3.2,63766510.0,107.85%,132539476.89,73.0,62.0,118.0,R,1987-06-12,Warner Bros.,http://resizing.flixster.com/kU0L2LKZtLzoi4ZomVbNdWVZ6qk=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/13/11161319_ori.jpg,<img src=http://resizing.flixster.com/kU0L2LKZtLzoi4ZomVbNdWVZ6qk=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/13/11161319_ori.jpg width=100>
Three Men and a Baby,1987,Family|Drama|Comedy,1,5.8,5.9,2.9,167780960.0,107.85%,348734793.08,74.0,47.0,102.0,PG,1987-11-25,Touchstone Pictures,http://resizing.flixster.com/fxMTXOi2o24T_ZK0zoraIm9n6cM=/180x259/dkpu1ddg7pbsk.cloudfront.net/movie/25/71/257115_ori.jpg,<img src=http://resizing.flixster.com/fxMTXOi2o24T_ZK0zoraIm9n6cM=/180x259/dkpu1ddg7pbsk.cloudfront.net/movie/25/71/257115_ori.jpg width=100>
"""Crocodile"" Dundee",1986,Adventure|Comedy|Crime,2,6.5,6.7,3.0,174803506.0,115.44%,376591505.78,89.0,58.0,97.0,PG-13,1986-09-26,Paramount Pictures|20th Century Fox,http://resizing.flixster.com/djJ50pyIgZZoFYdXO3HcLjlnGzg=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/97/11169779_ori.jpg,<img src=http://resizing.flixster.com/djJ50pyIgZZoFYdXO3HcLjlnGzg=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/97/11169779_ori.jpg width=100>
Aliens,1986,Sci-Fi|Adventure|Action,7,8.4,9.0,3.8,86160248.0,115.44%,185621091.22,98.0,94.0,137.0,R,1986-07-18,20th Century Fox,http://resizing.flixster.com/xYugVntiVJbVz5x_bQq5-Pjg5aU=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/07/11180796_ori.jpg,<img src=http://resizing.flixster.com/xYugVntiVJbVz5x_bQq5-Pjg5aU=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/07/11180796_ori.jpg width=100>
An American Tail,1986,Drama|Comedy|Animation,8,6.9,6.3,3.3,84542002.0,115.44%,182134789.87,68.0,71.0,80.0,G,1986-11-21,Universal Studios,http://resizing.flixster.com/w0uF4v8jUe1x3ZErtvyPWfe1Nzc=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/66/11176623_ori.jpg,<img src=http://resizing.flixster.com/w0uF4v8jUe1x3ZErtvyPWfe1Nzc=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/66/11176623_ori.jpg width=100>
Back to School,1986,Sport|Romance|Comedy,6,6.5,7.0,3.0,91258000.0,115.44%,196603537.43,84.0,68.0,96.0,PG-13,1986-06-13,Orion Pictures,http://resizing.flixster.com/JQn3vediYVmfbxQO3an5Mh_mA1s=/176x270/dkpu1ddg7pbsk.cloudfront.net/movie/74/28/48/7428484_ori.jpg,<img src=http://resizing.flixster.com/JQn3vediYVmfbxQO3an5Mh_mA1s=/176x270/dkpu1ddg7pbsk.cloudfront.net/movie/74/28/48/7428484_ori.jpg width=100>
Platoon,1986,War|Drama,3,8.1,8.1,3.9,138530565.0,115.44%,298446153.99,88.0,93.0,120.0,R,1987-02-06,Orion Pictures,http://resizing.flixster.com/d83olRDH-G34i6EP7QVdyF3HyaU=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/10/86/50/10865025_ori.jpg,<img src=http://resizing.flixster.com/d83olRDH-G34i6EP7QVdyF3HyaU=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/10/86/50/10865025_ori.jpg width=100>
Ruthless People,1986,Crime|Comedy,10,6.8,7.0,3.2,71624879.0,115.44%,154306521.94,94.0,70.0,93.0,R,1986-06-27,Buena Vista Pictures Distribution,http://resizing.flixster.com/IfJutHqmgKfI235a-AsTBLm_bp0=/180x254/dkpu1ddg7pbsk.cloudfront.net/movie/26/87/268720_ori.jpg,<img src=http://resizing.flixster.com/IfJutHqmgKfI235a-AsTBLm_bp0=/180x254/dkpu1ddg7pbsk.cloudfront.net/movie/26/87/268720_ori.jpg width=100>
Star Trek IV: The Voyage Home,1986,Comedy|Adventure|Action,5,7.3,6.9,3.5,109713132.0,115.44%,236362728.24,85.0,81.0,119.0,PG,1986-11-26,Paramount Pictures,http://resizing.flixster.com/53VKc9-hpRF9QNzuLQzQaspdAug=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/07/11180717_ori.jpg,<img src=http://resizing.flixster.com/53VKc9-hpRF9QNzuLQzQaspdAug=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/07/11180717_ori.jpg width=100>
The Golden Child,1986,Comedy|Adventure|Action,9,5.8,3.9,2.9,79817937.0,115.44%,171957403.89,26.0,47.0,94.0,PG-13,1986-12-12,Paramount Pictures,http://resizing.flixster.com/7KO5uu2ZPehnVfcsKggTXZjtefM=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/36/11173678_ori.jpg,<img src=http://resizing.flixster.com/7KO5uu2ZPehnVfcsKggTXZjtefM=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/36/11173678_ori.jpg width=100>
"The Karate Kid, Part II",1986,Romance|Family|Action,4,5.8,4.9,3.0,115103979.0,115.44%,247976609.65,43.0,52.0,113.0,PG,1986-06-20,Columbia Pictures,http://resizing.flixster.com/_ByjiJUAmxiXl6oAHPF8l4gOOVc=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/81/11178156_ori.jpg,<img src=http://resizing.flixster.com/_ByjiJUAmxiXl6oAHPF8l4gOOVc=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/81/11178156_ori.jpg width=100>
Top Gun,1986,Romance|Drama|Action,1,6.8,5.8,3.5,176781728.0,115.44%,380853328.77,54.0,84.0,110.0,PG,1986-05-16,Paramount Pictures,http://resizing.flixster.com/TuoFvLZpHzh4RPlzFOHUdo_wJf4=/180x231/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/92/11169265_ori.jpg,<img src=http://resizing.flixster.com/TuoFvLZpHzh4RPlzFOHUdo_wJf4=/180x231/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/92/11169265_ori.jpg width=100>
Back to the Future,1985,Romance|Comedy|Adventure,1,8.5,8.6,3.8,210609762.0,119.44%,462165115.18,96.0,94.0,116.0,PG,1985-07-03,Universal Pictures|Amblin Entertainment,http://resizing.flixster.com/por4iOTnpL-nsH4QNjvWqwBF-DA=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/38/11173852_ori.jpg,<img src=http://resizing.flixster.com/por4iOTnpL-nsH4QNjvWqwBF-DA=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/38/11173852_ori.jpg width=100>
Cocoon,1985,Sci-Fi,6,6.6,6.2,3.1,85313124.0,119.44%,187212356.19,80.0,60.0,117.0,PG-13,1985-06-21,20th Century Fox,http://resizing.flixster.com/xmmiZa3fc0i16-NkvydGxUA0ubw=/180x258/dkpu1ddg7pbsk.cloudfront.net/movie/25/91/259100_ori.jpg,<img src=http://resizing.flixster.com/xmmiZa3fc0i16-NkvydGxUA0ubw=/180x258/dkpu1ddg7pbsk.cloudfront.net/movie/25/91/259100_ori.jpg width=100>
Out Of Africa,1985,Romance|Drama|Biography,5,7.2,6.5,3.7,87071205.0,119.44%,191070314.62,53.0,84.0,161.0,PG,1985-12-20,Universal Pictures,http://resizing.flixster.com/QHwc8jY1d-8Sc0qxbRpzlxkbwC8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/17/11171703_ori.jpg,<img src=http://resizing.flixster.com/QHwc8jY1d-8Sc0qxbRpzlxkbwC8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/17/11171703_ori.jpg width=100>
Rambo: First Blood Part II,1985,Thriller|Adventure|Action,2,6.4,4.1,3.1,150415432.0,119.44%,330073804.72,28.0,60.0,96.0,R,1985-05-22,TriStar Pictures|Carolco,http://resizing.flixster.com/f3qkehG-FJEa88CWySM_d4dKd84=/180x253/dkpu1ddg7pbsk.cloudfront.net/movie/11/13/69/11136978_ori.jpg,<img src=http://resizing.flixster.com/f3qkehG-FJEa88CWySM_d4dKd84=/180x253/dkpu1ddg7pbsk.cloudfront.net/movie/11/13/69/11136978_ori.jpg width=100>
Rocky IV,1985,Sport|Drama,3,6.7,4.8,3.4,127873716.0,119.44%,280607936.32,38.0,80.0,91.0,PG,1985-11-27,United Artists,http://resizing.flixster.com/gLnfMQMcsLo-npqSh5PBXVUhNH4=/180x246/dkpu1ddg7pbsk.cloudfront.net/movie/26/13/261393_ori.jpg,<img src=http://resizing.flixster.com/gLnfMQMcsLo-npqSh5PBXVUhNH4=/180x246/dkpu1ddg7pbsk.cloudfront.net/movie/26/13/261393_ori.jpg width=100>
Spies Like Us,1985,Comedy|Adventure,10,6.3,4.4,3.1,60088980.0,119.44%,131860128.89,35.0,57.0,102.0,PG,1985-12-06,Warner Bros.,http://resizing.flixster.com/m4ljoIkVfStpMpCRQPelXFo11ck=/180x248/dkpu1ddg7pbsk.cloudfront.net/movie/25/80/258000_ori.jpg,<img src=http://resizing.flixster.com/m4ljoIkVfStpMpCRQPelXFo11ck=/180x248/dkpu1ddg7pbsk.cloudfront.net/movie/25/80/258000_ori.jpg width=100>
The Color Purple,1985,Drama,4,7.8,6.9,3.9,94175854.0,119.44%,206660859.39,88.0,94.0,154.0,PG-13,1986-02-07,Warner Bros.,http://resizing.flixster.com/8cUjrP4uzSIBK9XTbV2l8fW7_G0=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/80/11168034_ori.jpg,<img src=http://resizing.flixster.com/8cUjrP4uzSIBK9XTbV2l8fW7_G0=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/80/11168034_ori.jpg width=100>
The Goonies,1985,Family|Comedy|Adventure,9,7.8,6.1,3.8,61389680.0,119.44%,134714403.83,68.0,91.0,114.0,PG,1985-06-07,Warner Bros.,http://resizing.flixster.com/zEGbl7xvlrrxuJUs97YL-sJAEaA=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/67/11166730_ori.jpg,<img src=http://resizing.flixster.com/zEGbl7xvlrrxuJUs97YL-sJAEaA=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/67/11166730_ori.jpg width=100>
The Jewel of the Nile,1985,Comedy|Adventure|Action,7,6.0,4.8,3.0,75973200.0,119.44%,166716691.55,48.0,38.0,106.0,PG,1985-12-11,20th Century Fox,http://resizing.flixster.com/AnbVvE9r4Tmx3ZHIxPPbFSJ2EOg=/179x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/50/11165073_ori.jpg,<img src=http://resizing.flixster.com/AnbVvE9r4Tmx3ZHIxPPbFSJ2EOg=/179x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/50/11165073_ori.jpg width=100>
Witness,1985,Romance|Drama|Crime,8,7.5,8.1,3.5,68706993.0,119.44%,150771621.56,91.0,80.0,112.0,R,1985-02-08,Paramount Pictures,http://resizing.flixster.com/PPod2vP4QjRVXLfdKUdyV0qo3YA=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/89/11168980_ori.jpg,<img src=http://resizing.flixster.com/PPod2vP4QjRVXLfdKUdyV0qo3YA=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/89/11168980_ori.jpg width=100>
Beverly Hills Cop,1984,Comedy|Action,2,7.3,7.1,3.4,234760478.0,127.26%,533507308.04,83.0,81.0,105.0,R,1984-12-05,Paramount Pictures,http://resizing.flixster.com/Rje0CY8py13zZipgCWG21rEB3jk=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/97/11169777_ori.jpg,<img src=http://resizing.flixster.com/Rje0CY8py13zZipgCWG21rEB3jk=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/97/11169777_ori.jpg width=100>
Footloose,1984,Romance|Music|Drama,7,6.4,5.7,3.3,80035402.0,127.26%,181885265.49,56.0,72.0,107.0,R,1984-02-17,Paramount Pictures,http://resizing.flixster.com/-BS99IniaWgjUugv8sMTKuk6tbQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/89/11168940_ori.jpg,<img src=http://resizing.flixster.com/-BS99IniaWgjUugv8sMTKuk6tbQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/89/11168940_ori.jpg width=100>
Ghostbusters,1984,Fantasy|Comedy,1,7.8,8.2,3.6,238632124.0,127.26%,542305856.47,97.0,88.0,105.0,PG,1984-06-08,Columbia Pictures,http://resizing.flixster.com/BoiId1MnF0Y_NsF4rbMyCTC4TRo=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/74/11167403_ori.jpg,<img src=http://resizing.flixster.com/BoiId1MnF0Y_NsF4rbMyCTC4TRo=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/74/11167403_ori.jpg width=100>
