name_th	name_en	region	destination	household	population	male	female
กระบี่	Krabi	ใต้	เมืองหลัก	189510	476739	236790	239949
กรุงเทพมหานคร	Bangkok	กลาง	เมืองหลัก	3041115	5666264	2669316	2996948
กาญจนบุรี	Kanchanaburi	ตะวันตก	เมืองหลัก	343345	895525	450262	445263
กาฬสินธุ์	Kalasin	ตะวันออกเฉียงเหนือ	เมืองรอง	305844	983418	487451	495967
กำแพงเพชร	Kamphaeng Phet	กลาง	เมืองรอง	274543	725867	359205	366662
ขอนแก่น	Khon Kaen	ตะวันออกเฉียงเหนือ	เมืองหลัก	628656	1802872	887501	915371
จันทบุรี	Chanthaburi	ตะวันออก	เมืองรอง	239184	537698	263485	274213
ฉะเชิงเทรา	Chachoengsao	ตะวันออก	เมืองหลัก	305121	720113	353368	366745
ชลบุรี	Chon Buri	ตะวันออก	เมืองหลัก	1047473	1558301	762141	796160
ชัยนาท	Chai Nat	กลาง	เมืองรอง	125029	326611	157132	169479
ชัยภูมิ	Chaiyaphum	ตะวันออกเฉียงเหนือ	เมืองรอง	394064	1137357	562900	574457
ชุมพร	Chumphon	ใต้	เมืองรอง	236156	511304	252854	258450
เชียงราย	Chiang Rai	เหนือ	เมืองรอง	548617	1298304	632413	665891
เชียงใหม่	Chiang Mai	เหนือ	เมืองหลัก	817820	1779254	861692	917562
ตรัง	Trang	ใต้	เมืองรอง	231924	643164	314793	328371
ตราด	Trat	ตะวันออก	เมืองรอง	106685	229958	113973	115985
ตาก	Tak	ตะวันตก	เมืองรอง	220501	665620	336893	328727
นครนายก	Nakhon Nayok	กลาง	เมืองรอง	99423	260751	129046	131705
นครปฐม	Nakhon Pathom	กลาง	เมืองหลัก	404004	920030	441351	478679
นครพนม	Nakhon Phanom	ตะวันออกเฉียงเหนือ	เมืองรอง	227396	719136	358720	360416
นครราชสีมา	Nakhon Ratchasima	ตะวันออกเฉียงเหนือ	เมืองหลัก	983771	2648927	1303944	1344983
นครศรีธรรมราช	Nakhon Si Thammarat	ใต้	เมืองรอง	573215	1561927	771735	790192
นครสวรรค์	Nakhon Sawan	กลาง	เมืองรอง	415420	1059887	517723	542164
นนทบุรี	Nonthaburi	กลาง	เมืองหลัก	701932	1265387	589949	675438
นราธิวาส	Narathiwat	ใต้	เมืองรอง	215728	808020	400017	408003
น่าน	Nan	เหนือ	เมืองรอง	168476	478227	239661	238566
บึงกาฬ	Bueng Kan	ตะวันออกเฉียงเหนือ	เมืองรอง	135143	424091	212859	211232
บุรีรัมย์	Buri Ram	ตะวันออกเฉียงเหนือ	เมืองรอง	468483	1595747	793262	802485
ปทุมธานี	Pathum Thani	กลาง	เมืองหลัก	624930	1163604	552156	611448
ประจวบคีรีขันธ์	Prachuap Khiri Khan	ตะวันตก	เมืองหลัก	265229	554116	275598	278518
ปราจีนบุรี	Prachin Buri	ตะวันออก	เมืองรอง	214024	494680	245180	249500
ปัตตานี	Pattani	ใต้	เมืองรอง	191409	725104	358661	366443
พระนครศรีอยุธยา	Phra Nakhon Si Ayutthaya	กลาง	เมืองหลัก	329102	820188	394901	425287
พะเยา	Phayao	เหนือ	เมืองรอง	192755	472356	230476	241880
พังงา	Phangnga	ใต้	เมืองหลัก	116485	268788	134192	134596
พัทลุง	Phatthalung	ใต้	เมืองรอง	194209	524865	255838	269027
พิจิตร	Phichit	กลาง	เมืองรอง	195825	536311	261765	274546
พิษณุโลก	Phitsanulok	กลาง	เมืองรอง	347266	865247	423304	441943
เพชรบุรี	Phetchaburi	ตะวันตก	เมืองหลัก	216571	485191	234965	250226
เพชรบูรณ์	Phetchabun	กลาง	เมืองรอง	358762	992451	490810	501641
แพร่	Phrae	เหนือ	เมืองรอง	177308	441726	213494	228232
ภูเก็ต	Phuket	ใต้	เมืองหลัก	266093	416582	197036	219546
มหาสารคาม	Maha Sarakham	ตะวันออกเฉียงเหนือ	เมืองรอง	299717	962665	472198	490467
มุกดาหาร	Mukdahan	ตะวันออกเฉียงเหนือ	เมืองรอง	115748	353174	176708	176466
แม่ฮ่องสอน	Mae Hong Son	เหนือ	เมืองรอง	112268	284138	144302	139836
ยโสธร	Yasothon	ตะวันออกเฉียงเหนือ	เมืองรอง	172580	537299	268774	268525
ยะลา	Yala	ใต้	เมืองรอง	167137	536330	266860	269470
ร้อยเอ็ด	Roi Et	ตะวันออกเฉียงเหนือ	เมืองรอง	388224	1305211	648548	656663
ระนอง	Ranong	ใต้	เมืองรอง	91119	193370	97756	95614
ระยอง	Rayong	ตะวันออก	เมืองหลัก	489617	734753	361109	373644
ราชบุรี	Ratchaburi	ตะวันตก	เมืองรอง	319619	873101	425677	447424
ลพบุรี	Lop Buri	กลาง	เมืองรอง	295486	755556	378813	376743
ลำปาง	Lampang	เหนือ	เมืองรอง	292423	738316	360324	377992
ลำพูน	Lamphun	เหนือ	เมืองรอง	179812	405075	195140	209935
เลย	Loei	ตะวันออกเฉียงเหนือ	เมืองรอง	223231	642950	322851	320099
ศรีสะเกษ	Si Sa Ket	ตะวันออกเฉียงเหนือ	เมืองรอง	393356	1472859	734405	738454
