Date,Oil,Gold,SET
2003-01-31,30.71,356.85900000000004,370.01
2003-02-28,32.63,358.97,361.32
2003-03-31,27.22,340.55,364.55
2003-04-30,23.72,328.18,374.63
2003-05-31,26.71,355.68300000000005,403.82
2003-06-30,27.11,356.352,461.82
2003-07-31,27.52,351.02,484.11
2003-08-31,28.9,359.76800000000003,537.71
2003-09-30,26.82,378.945,578.98
2003-10-31,27.17,378.92,639.45
2003-11-30,28.45,389.91,646.03
2003-12-31,29.87,406.95300000000003,772.15
2004-01-31,28.68,413.788,698.9
2004-02-29,31.13,404.87800000000004,716.3
2004-03-31,31.49,406.667,647.3
2004-04-30,33.99,403.26,648.15
2004-05-31,36.17,383.779,641.05
2004-06-30,32.68,392.37300000000005,646.64
2004-07-31,38.69,398.091,636.7
2004-08-31,38.15,400.51,624.59
2004-09-30,43.39,405.275,644.67
2004-10-31,43.39,420.464,628.16
2004-11-30,39.77,439.375,656.73
2004-12-31,36.43,442.079,668.1
2005-01-31,40.95,424.03,701.91
2005-02-28,46.26,423.35,741.55
2005-03-31,50.23,433.85,681.49
2005-04-30,47.9,429.233,658.88
2005-05-31,47.6,421.87300000000005,667.55
2005-06-30,52.01,430.657,675.5
2005-07-31,54.2,424.47900000000004,675.67
2005-08-31,61.1,437.93,697.85
2005-09-30,58.02,456.048,723.23
2005-10-31,52.99,469.898,682.62
2005-11-30,49.69,476.666,667.75
2005-12-31,53.47,510.097,713.73
2006-01-31,60.4,549.864,762.63
2006-02-28,56.01,554.995,744.05
2006-03-31,61.17,557.0930000000001,733.25
2006-04-30,65.48,610.653,768.29
2006-05-31,64.88,675.393,709.43
2006-06-30,67.29,596.145,678.13
2006-07-31,68.42,633.71,691.49
2006-08-31,65.18,632.5930000000001,690.9
2006-09-30,57.38,598.186,686.1
2006-10-31,53.37,585.78,722.46
2006-11-30,58.71,627.827,739.06
2006-12-31,55.97,629.7909999999999,679.84
2007-01-31,52.62,631.1659999999999,654.04
2007-02-28,56.69,664.745,677.13
2007-03-31,63.79,654.895,673.71
2007-04-30,64.26,679.368,699.16
