Company	Valuation ($B)	Country	Category	Select Investors
Bytedance (Toutiao)	$75	China	Digital Media/ AI	Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group
Didi Chuxing	$56	China	On-Demand	Matrix Partners, Tiger Global Management, Softbank Corp.,
JUUL Labs	$50	United States	Consumer Electronics	Tiger Global Management
WeWork	$47	United States	Facilities	T. Rowe Price, Benchmark Capital, SoftBank Group
Airbnb	$29	United States	eCommerce/Marketplace	General Catalyst Partners, Andreessen Horowitz, ENIAC Ventures
Stripe	$23	United States	Fintech	Khosla Ventures, Lowercase Capital, capitalG
SpaceX	$19	United States	Other Transportation	Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures
Epic Games	$15	United States	Gaming	Tencent Holdings, KKR, Smash Ventures
GrabTaxi	$14	Singapore	On-Demand	GGV Capital, Vertex Venture Holdings, Softbank Group
Bitmain Technologies	$12	China	Blockchain	Coatue Management, Sequoia Capital China, IDG Capital
Samumed	$12	United States	Biotechnology	Vickers Venture Partners, IKEA GreenTech
Global Switch	$11	United Kingdom	Computer Hardware & Services	Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group
Palantir Technologies	$11	United States	Big Data	RRE Ventures, Founders Fund, In-Q-Tel
DJI Innovations	$10	China	Hardware	Accel Partners, Sequoia Capital
Go-Jek	$10	Indonesia	On-Demand	Formation Group, Sequoia Capital India, Warburg Pincus
Infor	$10	United States	Internet Software & Services	Blackstone Group, Koch Industries
One97 Communications (operates Paytm)	$10	India	Fintech	Intel Capital, Sapphire Ventures, Alibaba Group
Coupang	$9	South Korea	eCommerce/Marketplace	Sequoia Capital, Founder Collective, Wellington Management
Guazi (Chehaoduo)	$9	China	eCommerce/Marketplace	Sequoia Capital China, GX Capital
Coinbase	$8	United States	Fintech	Y Combinator, Union Square Ventures, DFJ Growth
Instacart	$8	United States	On-Demand	Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund
DoorDash	$7	United States	Food Delivery	Softbank Group, Sequoia Capital, Khosla Ventures
Slack Technologies	$7	United States	Internet Software & Services	Google Ventures, Institutional Venture Partners, Index Ventures
Roivant Sciences	$7	Switzerland	Biotechnology	SoftBankGroup, Founders Fund
Snapdeal	$7	India	e-commerce	SoftBankGroup, Blackrock, Alibaba Group
Tokopedia	$7	Indonesia	Marketplace	SoftBankGroup, Alibaba Group, Sequoia Capital India
UiPath	$7	United States	Robotic Process Automation	Accel, capitalG, Earlybrid Venture Capital, Seedcamp
Tanium	$7	United States	Cybersecurity	Andreessen Horowitz, Nor-Cal Invest, TPG Growth
Magic Leap	$6	United States	VR/AR	Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz
Manbang Group	$6	China	Supply chain & Logistics	Softbank Group, CapitalG
Lianjia (Homelink)	$6	China	eCommerce/Marketplace	Tencent, Baidu, Huasheng Capital
EasyHome	$6	China	Retail	Alibaba Group, Boyu Capital, Borui Capital
Vice Media	$6	United States	Media	Technology Crossover Ventures, A&E Television Networks
Robinhood	$6	United States	Fintech	Google Ventures, Andreessen Horowitz, DST Global
Intarcia Therapeutics	$6	United States	Healthcare	New Enterprise Associates, New Leaf Venture Partners, Charter Venture Capital
Bluehole	$5	South Korea	Travel Tech	Tencent Holdings, Stonebridge Capital, IMM Investment
BYJU’S	$5	India	Ed Tech	Tencent Holdings, Lightspeed India Partners, Sequoia Capital India
Hellobike	$5	China	Travel	Ant Financial Services Group, GGV Capital
Machine Zone	$5	United States	Gaming	J.P. Morgan Chase & Co., Menlo Ventures
Outcome Health	$5	United States	Healthcare	Goldman Sachs, capitalG, Pritzker Group Venture Capital
UBTECH Robotics	$5	China	Robotics	CDH Investments, Goldstone Investments, Qiming Venture Partners
United Imaging Healthcare	$5	China	Healthcare	China Life Insurance, China Development Bank Capital, CITIC Securities International
Meizu Technology	$5	China	Hardware	Telling Telecommunication Holding Co., Alibaba Group
Fanatics	$5	United States	eCommerce/Marketplace	SoftBank Group, Andreessen Horowitz, Temasek Holdings
SenseTime	$5	China	Computer Vision/ AI	Star VC, IDG Capital, Infore Capital, Alibaba Group
Social Finance (SoFi)	$5	United States	Fintech	Baseline Ventures, DCM Ventures, Institutional Venture Partners
Compass	$4	United States	Real Estate	Founders Fund, Thrive Capital, Wellington Management
Olacabs	$4	India	On-demand	Accel Partners, SoftBank Group, Sequoia Capital
Oyo Rooms	$4	India	Travel Tech	SoftBank Group, Sequoia Capital India,Lightspeed India Partners
Peloton Interactive	$4	United States	Fitness	True Ventures, Tiger Global Management, L Catterton
Houzz	$4	United States	eCommerce/Marketplace	New Enterprise Associates, Sequoia Capital, Comcast Ventures
Niantic	$4	United States	AR/VR	Nintendo, Google, Pokemon Company International, Spark Capital
Nubank	$4	Brazil	Fintech	Sequoia Capital, Redpoint e.ventures, Kaszek Ventures
Yello Mobile	$4	South Korea	Mobile Software & Services	Formation 8
Snowflake Computing	$4	United States	Internet Software & Services	Redpoint Ventures,Iconiq Capital, Madrona Venture Group
OpenDoor Labs	$4	United States	Real Estate	Norwest Venture Partners, New Enterprise Associates, Khosla Ventures
XPeng Motors	$4	China	Automobile	Morningside Venture Capital, Foxconn Technology Company, Alibaba Group
Samsara	$4	United States	Internet of Things	Andreessen Horowitz, General Catalyst
Auto1 Group	$4	Germany	eCommerce/Marketplace	Digital Sky Technologies, Piton Capital, DN Capital, SoftBank Group
Credit Karma	$4	United States	Fintech	Felicis Ventures, SV Angel, Founders Fund
Indigo Agriculture	$4	United States	Biotech	Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co.
Klarna	$4	Sweden	Fintech	Institutional Venture Partners, Sequoia Capital, General Atlantic
Otto Bock HealthCare	$4	Germany	Healthcare	EQT Partners
Youxia Motors	$3	China	Automobile	China Environmental Protection Industry, China Fortune Ocean
Cloudwalk	$3	China	AI	Oriza Holdings, Guangdong Technology Financial Group
Rubrik	$3	United States	Internet Software & Services	Greylock Partners, Lightspeed Venture Partners, Khosla Ventures
Swiggy	$3	India	On-demand	Accel India, SAIF Partners, Norwest Venture Partners
The Hut Group	$3	United Kingdom	eCommerce	KKR, Old Mutual Global Investors, Artemis Investment Management
Flexport	$3	United States	Internet Software & Services	Bloomberg Beta, Founders Fund, First Round Capital
Oscar Health Insurance Co.	$3	United States	Healthcare	BoxGroup, Formation8, Khosla Ventures
SmileDirectClub	$3	United States	Health & Wellnes	Clayton Dubilier & Rice, Kleiner Perkins Caufield & Byers, Spark Capital
Zoox	$3	United States	Auto Tech	AID Partners, Draper Fisher Jurvetson
Ziroom	$3	China	Real Estate Tech	Sequoia Capital China, Warburg Pincus, General Catalyst
BGL Group	$3	United Kingdom	Fintech	CPP Investment Board
Circle Internet Financial	$3	United States	Fintech	General Catalyst, Digital Currency Group, Accel
ContextLogic (dba. Wish)	$3	United States	eCommerce/Marketplace	Founders Fund, GGV Capital, Digital Sky Technologies
CrowdStrike	$3	United States	Cybersecurity	Warbug Pincus, capitalG, Accel Partners
Horizon Robotics	$3	China	AI/Robotics	Hillhouse Capital Management, Linear Venture, Morningside Venture Capital
Kuaishou	$3	China	Social	Morningside Venture Capital, Sequoia Capital, Baidu
Procore Technologies	$3	United States	Construction Tech	Bessemer Venture Partners, O’Connor Ventures, Iconiq Capital
Royole Corporation	$3	China	Hardware	Warmsun Holding, IDG Capital Partners
SouChe Holdings	$3	China	AutoTech	Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund
UCommune	$3	China	Real Estate	Ant Financial Services Group, Dahong Group, Sequoia Capital China
Unity Technologies	$3	United States	Gaming	Sequoia Capital, iGlobe Partners, DFJ Growth
VANCL	$3	China	eCommerce/Marketplace	Ceyuan Ventures, QiMing Venture Partners, Temasek Holdings
Vipkid	$3	China	Edtech	Sequoia Capital China, Tencent Holdings, Sinovation Ventures
Xiaohongshu	$3	China	eCommerce/Marketplace	GGV Capital, ZhenFund, Tencent
Yuanfudao	$3	China	Edtech	Tencent Holdings, Warbug Pincus, IDG Capital
Affirm	$3	United States	Fintech	Andreessen Horowitz, Khosla Ventures, Singapore Wealth Fund
luckin coffee	$3	China	Food & Beverage	JOY Capital, Lu Zhengyao
Shanghai Henlius	$3	China	Real Estate	Green Tomato, Fuguo Asset Management, Jacobson Pharma
ESR Cayman (e-Shang Redwood)	$3	China	Drug Development	SK Group, GF Investments, China Minsheng Banking Corp.
Meicai	$3	China	Food & Grocery	Tiger Global Management, Blue Lake Capital, ZhenFund
Databricks	$3	United States	Internet Software & Services	Andreessen Horowitz, New Enterprise Associates, Battery Ventures
N26	$3	Germany	Fintech	Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures
Toast	$3	United States	Restaurant Tech	Bessemer Venture Partners, Tiger Global Management, Google Ventures
Plaid Technologies	$3	United States	Fintech	New Enterprise Associates, Spark Capital,
Automation Anywhere	$3	United States	Robotics	General Atlantic, Goldman Sachs, New Enterprise Associates
Woowa Brothers	$3	South Korea	On Demand	Hillhouse Capital Management, Altos Ventures, Sequoia Capital
Confluent	$3	United States	Internet Software & Services	Benchmark, Sequoia Capital, Index Ventures
VistaJet	$3	Malta	On-demand	Rhone Capital
Zhihu	$3	China	Internet Software & Services	Tencent Holdings, Sinovation Ventures, Qiming Venture Partners
GRAIL	$2	United States	Genomics	Kleiner Perkins Caufield & Byers, Amazon, Merck & Co.
Lime	$2	United States	Travel	Andreessen Horowitz, Coatue Management, Uber
Medallia	$2	United States	Internet Software & Services	Sequoia Capital
YITU Technology	$2	China	Computer Vision	Sequoia Capital China, Banyan Capital
ACORN OakNorth	$2	United Kingdom	Fintech	Clermont Group, Coltrane Asset Management, Toscafund Asset Management
Dadi Cinema	$2	China	Entertainment	Alibaba Pictures Group
Uptake	$2	United States	Big Data	Revolution, New Enterprise Associates, Caterpillar
Zume Pizza	$2	United States	On Demand	Softbank Group, AME Cloud Ventures, SignalFire
MINISO Life	$2	China	Retail	Hillhouse Capital Management, and Tencent Holdings
NuCom Group	$2	Germany	Management & Strategy Consulting	General Atlantic
Zomato Media	$2	India	Social	Sequoia Capital, VY Capital
benevolent.ai	$2	United Kingdom	Healthcare	Woodford Investment Management
Aurora	$2	United States	AutoTech	Index Ventures, Greylock Partners, Lightspeed Venture Partners
Avant	$2	United States	Fintech	RRE Ventures, Tiger Global, August Capital
Bird Rides	$2	United States	Travel	Tusk Ventures, Craft Ventures, Sequoia Capital
Cambricon	$2	China	Chips & Semiconductors	Alibaba Entrepreneurs Fund, CAS Investment Management Co., Lenovo Ventures Group
Checkout.com	$2	United Kingdom	Fintech	Insight Partners, DST Global
Deliveroo	$2	United Kingdom	On-demand	Accel Partners, General Catalyst, Index Ventures
Discord	$2	United States	eSports	Benchmark, Greylock Partners, Tencent Holdings
Eggshell Apartment	$2	China	Real Estate Tech	JOY Capital, Gaorong Capital, Tiger Global Management
Huimin	$2	China	On-Demand	Zheshang Venture Capital, GP Capital, Western Capital Management
Improbable	$2	United Kingdom	AR/VR	Andreessen Horowitz, SoftBank Group, Temasek Holdings
LegalZoom	$2	United States	RegTech	K1 Capital, Francisco Partners, Neuberger Berman
Lemonade	$2	United States	Fintech	Google Ventures, Thrive Capital, SoftBank Group
Preferred Networks	$2	Japan	Internet Software & Services	Toyota Motor Corporation, Mizuho Financial Group, FANUC
