Rank	Username	Owner	Followers	Profession	Country	Agency
1	@instagram	Instagram	301	Social media platform	 USA	https://www.instagram.com/instagram/instagram
2	@cristiano	Cristiano Ronaldo	167	Footballer	 POR	https://www.instagram.com/instagram/cristiano
3	@arianagrande	Ariana Grande	155	Musician and actress	 USA	https://www.instagram.com/instagram/arianagrande
4	@selenagomez	Selena Gomez	150	Musician and actress	 USA	https://www.instagram.com/instagram/selenagomez
5	@therock	Dwayne Johnson	144	Actor and professional wrestler	 USA	https://www.instagram.com/instagram/therock
6	@kimkardashian	Kim Kardashian	139	Reality TV personality	 USA	https://www.instagram.com/instagram/kimkardashian
7	@kyliejenner	Kylie Jenner	136	Reality TV personality	 USA	https://www.instagram.com/instagram/kyliejenner
8	@beyonce	Beyoncé	127	Musician	 USA	https://www.instagram.com/instagram/beyonce
9	@leomessi	Lionel Messi	120	Footballer	 ARG	https://www.instagram.com/instagram/leomessi
10	@taylorswift	Taylor Swift	118	Musician	 USA	https://www.instagram.com/instagram/taylorswift
11	@neymarjr	Neymar	117	Footballer	 BRA	https://www.instagram.com/instagram/neymarjr
12	@justinbieber	Justin Bieber	113	Musician	 CAN	https://www.instagram.com/instagram/justinbieber
13	@kendalljenner	Kendall Jenner	111	Model	 USA	https://www.instagram.com/instagram/kendalljenner
14	@natgeo	National Geographic	109	Magazine	 USA	https://www.instagram.com/instagram/natgeo
15	@nickiminaj	Nicki Minaj	102	Musician	 TRI	https://www.instagram.com/instagram/nickiminaj
16	@jlo	Jennifer Lopez	93	Musician and actress	 USA	https://www.instagram.com/instagram/jlo
17	@mileycyrus	Miley Cyrus	93	Musician and actress	 USA	https://www.instagram.com/instagram/mileycyrus
18	@khloekardashian	Khloé Kardashian	93	Reality TV personality	 USA	https://www.instagram.com/instagram/khloekardashian
19	@nike	Nike	87	Sportswear multinational	 USA	https://www.instagram.com/instagram/nike
20	@katyperry	Katy Perry	81	Musician	 USA	https://www.instagram.com/instagram/katyperry
21	@kourtneykardash	Kourtney Kardashian	78	Reality TV personality	 USA	https://www.instagram.com/instagram/kourtneykardash
22	@kevinhart4real	Kevin Hart	74	Comedian and actor	 USA	https://www.instagram.com/instagram/kevinhart4real
23	@theellenshow	Ellen Degeneres	72	Comedian	 USA-	https://www.instagram.com/instagram/theellenshow
24	@realmadrid	Real Madrid C.F.	72	Football club	 ESP	https://www.instagram.com/instagram/realmadrid
25	@ddlovato	Demi Lovato	71	Musician and actress	 USA	https://www.instagram.com/instagram/ddlovato
26	@badgalriri	Rihanna	71	Musician	 BAR	https://www.instagram.com/instagram/badgalriri
27	@fcbarcelona	FC Barcelona	70	Football club	 ESP	https://www.instagram.com/instagram/fcbarcelona
28	@victoriassecret	Victoria's Secret	66	Lingerie brand	 USA	https://www.instagram.com/instagram/victoriassecret
29	@champagnepapi	Drake	57	Musician	 CAN	https://www.instagram.com/instagram/champagnepapi
30	@shakira	Shakira	56	Musician	 COL	https://www.instagram.com/instagram/shakira
31	@zendaya	Zendaya	56	Actress and musician	 USA	https://www.instagram.com/instagram/zendaya
32	@davidbeckham	David Beckham	55	Footballer	 GBR	https://www.instagram.com/instagram/davidbeckham
33	@justintimberlake	Justin Timberlake	55	Musician and actor	 USA	https://www.instagram.com/instagram/justintimberlake
34	@vindiesel	Vin Diesel	54	Actor	 USA	https://www.instagram.com/instagram/vindiesel
35	@chrisbrownofficial	Chris Brown	53	Musician	 USA	https://www.instagram.com/instagram/chrisbrownofficial
36	@emmawatson	Emma Watson	50	Actress	 GBR	https://www.instagram.com/instagram/emmawatson
37	@9gag	9GAG	50	Social media platform	 HKG	https://www.instagram.com/instagram/9gag
38	@kingjames	LeBron James	49	Basketball player	 USA	https://www.instagram.com/instagram/kingjames
39	@gigihadid	Gigi Hadid	47	Model	 USA	https://www.instagram.com/instagram/gigihadid
40	@ronaldinho	Ronaldinho	45	Footballer	 BRA	https://www.instagram.com/instagram/ronaldinho
41	@iamcardib	Cardi B	44	Musician	 USA	https://www.instagram.com/instagram/iamcardib
42	@shawnmendes	Shawn Mendes	44	Musician	 CAN	https://www.instagram.com/instagram/shawnmendes
43	@nasa	NASA	43	Space agency	 USA	https://www.instagram.com/instagram/nasa
44	@maluma	Maluma	42	Musician	 COL	https://www.instagram.com/instagram/maluma
45	@caradelevingne	Cara Delevingne	42	Actress and model	 GBR	https://www.instagram.com/instagram/caradelevingne
46	@jamesrodriguez10	James Rodríguez	41	Footballer	 COL	https://www.instagram.com/instagram/jamesrodriguez10
47	@priyankachopra	Priyanka Chopra Jonas	40	Actress and musician	 IND	https://www.instagram.com/instagram/priyankachopra
48	@garethbale11	Gareth Bale	39	Footballer	 GBR	https://www.instagram.com/instagram/garethbale11
49	@zacefron	Zac Efron	39	Actor	 USA	https://www.instagram.com/instagram/zacefron
50	@robertdowneyjr	Robert Downey Jr.	39	Actor	 USA	https://www.instagram.com/instagram/robertdowneyjr
