Title,Rating,Genres
12 Years a Slave (2013),8.1,Biography|Drama|History
127 Hours (2010),7.6,Adventure|Biography|Drama
50/50 (2011),7.7,Comedy|Drama|Romance
About Time (2013),7.8,Comedy|Drama|Fantasy
Amour (2012),7.9,Drama|Romance
Argo (2012),7.7,Action|Biography|Drama
Arrival (2016),8.0,Drama|Mystery|Sci-Fi
Beasts of No Nation (2015),7.8,Drama|War
Before Midnight (2013),7.9,Drama|Romance
Big Hero 6 (2014),7.8,Animation|Action|Adventure
Birdman or (The Unexpected Virtue of Ignorance) (2014),7.8,Comedy|Drama
Black Swan (2010),8.0,Drama|Thriller
Boyhood (2014),7.9,Drama
Bridge of Spies (2015),7.6,Drama|History|Thriller
Captain America: Civil War (2016),7.9,Action|Adventure|Sci-Fi
Captain America: The Winter Soldier (2014),7.8,Action|Adventure|Sci-Fi
Captain Fantastic (2016),7.9,Comedy|Drama
Captain Phillips (2013),7.8,Biography|Drama|Thriller
Creed (2015),7.6,Drama|Sport
Dallas Buyers Club (2013),8.0,Biography|Drama
Dawn of the Planet of the Apes (2014),7.6,Action|Adventure|Drama
Deadpool (2016),8.0,Action|Adventure|Comedy
Despicable Me (2010),7.7,Animation|Adventure|Comedy
Detachment (2011),7.7,Drama
Disconnect (2012),7.6,Drama|Thriller
Django Unchained (2012),8.4,Drama|Western
Doctor Strange (2016),7.6,Action|Adventure|Fantasy
Drive (2011),7.8,Crime|Drama
Edge of Tomorrow (2014),7.9,Action|Adventure|Sci-Fi
End of Watch (2012),7.7,Crime|Drama|Thriller
Ex Machina (2014),7.7,Drama|Mystery|Sci-Fi
Flipped (2010),7.7,Comedy|Drama|Romance
Fury (2014),7.6,Action|Drama|War
Gone Girl (2014),8.1,Crime|Drama|Mystery
Gravity (2013),7.8,Drama|Sci-Fi|Thriller
Guardians of the Galaxy (2014),8.1,Action|Adventure|Sci-Fi
Hacksaw Ridge (2016),8.2,Biography|Drama|History
Harry Potter and the Deathly Hallows: Part 1 (2010),7.7,Adventure|Family|Fantasy
Hell or High Water (2016),7.7,Crime|Drama|Thriller
Her (2013),8.0,Drama|Romance|Sci-Fi
Hidden Figures (2016),7.8,Biography|Drama|History
How to Train Your Dragon 2 (2014),7.9,Animation|Action|Adventure
How to Train Your Dragon (2010),8.1,Animation|Action|Adventure
Hugo (2011),7.5,Adventure|Drama|Family
Hunt for the Wilderpeople (2016),7.9,Adventure|Comedy|Drama
"I, Daniel Blake (2016)",7.9,Drama
Inception (2010),8.8,Action|Adventure|Sci-Fi
Inside Out (2015),8.2,Animation|Adventure|Comedy
Interstellar (2014),8.6,Adventure|Drama|Sci-Fi
Kick-Ass (2010),7.7,Action|Comedy
Kingsman: The Secret Service (2014),7.7,Action|Adventure|Comedy
Kubo and the Two Strings (2016),7.8,Animation|Adventure|Family
La La Land (2016),8.2,Comedy|Drama|Music
Les MisÃ©rables (2012),7.6,Drama|Musical|Romance
Lion (2016),8.1,Biography|Drama
Lone Survivor (2013),7.5,Action|Biography|Drama
Mad Max: Fury Road (2015),8.1,Action|Adventure|Sci-Fi
Manchester by the Sea (2016),7.9,Drama
Me and Earl and the Dying Girl (2015),7.8,Comedy|Drama
Midnight in Paris (2011),7.7,Comedy|Fantasy|Romance
Moana (2016),7.7,Animation|Adventure|Comedy
Moneyball (2011),7.6,Biography|Drama|Sport
Moonrise Kingdom (2012),7.8,Adventure|Comedy|Drama
Nebraska (2013),7.7,Adventure|Comedy|Drama
Nightcrawler (2014),7.9,Crime|Drama|Thriller
Philomena (2013),7.6,Biography|Drama
Pride (2014),7.8,Biography|Comedy|Drama
Prisoners (2013),8.1,Crime|Drama|Mystery
Rise of the Planet of the Apes (2011),7.6,Action|Drama|Sci-Fi
Rogue One (2016),7.9,Action|Adventure|Sci-Fi
Rush (2013),8.1,Action|Biography|Drama
Scott Pilgrim vs. the World (2010),7.5,Action|Comedy|Romance
Short Term 12 (2013),8.0,Drama
Shutter Island (2010),8.1,Mystery|Thriller
Sicario (2015),7.6,Action|Crime|Drama
Silver Linings Playbook (2012),7.8,Comedy|Drama|Romance
Sing Street (2016),8.0,Comedy|Drama|Music
Skyfall (2012),7.8,Action|Adventure|Thriller
Spotlight (2015),8.1,Crime|Drama|History
Star Trek Into Darkness (2013),7.8,Action|Adventure|Sci-Fi
Star Wars: The Force Awakens (2015),8.1,Action|Adventure|Fantasy
Straight Outta Compton (2015),7.9,Biography|Drama|History
Tangled (2010),7.8,Animation|Adventure|Comedy
The Artist (2011),7.9,Comedy|Drama|Romance
The Avengers (2012),8.1,Action|Sci-Fi
The Big Short (2015),7.8,Biography|Comedy|Drama
The Book Thief (2013),7.6,Drama|War
The Dark Knight Rises (2012),8.4,Action|Thriller
The Fault in Our Stars (2014),7.8,Drama|Romance
The Fighter (2010),7.8,Action|Biography|Drama
The Girl with the Dragon Tattoo (2011),7.8,Crime|Drama|Mystery
The Grand Budapest Hotel (2014),8.1,Adventure|Comedy|Drama
The Help (2011),8.1,Drama
The Hobbit: An Unexpected Journey (2012),7.9,Adventure|Fantasy
The Hobbit: The Desolation of Smaug (2013),7.9,Adventure|Fantasy
The Hunger Games: Catching Fire (2013),7.6,Action|Adventure|Mystery
The Imitation Game (2014),8.1,Biography|Drama|Thriller
The King's Speech (2010),8.0,Biography|Drama
The Lego Movie (2014),7.8,Animation|Action|Adventure
The Little Prince (2015),7.8,Animation|Adventure|Drama
The Martian (2015),8.0,Adventure|Drama|Sci-Fi
The Perks of Being a Wallflower (2012),8.0,Drama|Romance
The Revenant (2015),8.0,Adventure|Drama|Thriller
The Social Network (2010),7.7,Biography|Drama
The Theory of Everything (2014),7.7,Biography|Drama|Romance
The Town (2010),7.6,Crime|Drama|Thriller
The Wolf of Wall Street (2013),8.2,Biography|Comedy|Crime
Toy Story 3 (2010),8.3,Animation|Adventure|Comedy
True Grit (2010),7.6,Adventure|Drama|Western
Tucker and Dale vs Evil (2010),7.6,Comedy|Horror
Tyrannosaur (2011),7.6,Drama
