Position,"Track Name",Artist,Streams,URL
53,"double take",dhruv,18542,https://open.spotify.com/track/2CVChktEKBsM6v4IfdFU5k
54,247,LUSS,18340,https://open.spotify.com/track/7AQFhodzN09DtXGiIDtFrd
55,"ลบไม่ได้ช่วยให้ลืม (Erase)","Ink Waruntorn",17693,https://open.spotify.com/track/5AMYykC6sdveY7NfwHNUm4
56,Paradise,EXO,17667,https://open.spotify.com/track/0KDCkxCsEBoSWj5fsyuvWq
57,"คนแบบไหน - เพลงประกอบซีรีส์ ปลาบนฟ้า","มิกซ์ สหภาพ",17600,https://open.spotify.com/track/44ymejne8Roi7uT4lhiwCR
58,"อยากเริ่มต้นใหม่กับคนเดิม (repeat)","Ink Waruntorn",17456,https://open.spotify.com/track/1E0waZD9GmD0SkbEhk19J4
59,"แปลไม่ออก - Ost. แปลรักฉันด้วยใจเธอ",Billkin,16775,https://open.spotify.com/track/3ADD6eZhJPHrRKAQ2MWBD5
60,"Sad Movie",F.HERO,16730,https://open.spotify.com/track/1nenRWbemVvsxnxg296eFB
61,"กีดกัน (Skyline) - Ost. แปลรักฉันด้วยใจเธอ",Billkin,16096,https://open.spotify.com/track/4D6f8Y7qiOvmFbm3TIab22
62,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",15973,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
63,"Just as usual",EXO,15968,https://open.spotify.com/track/64xTu0cKbXu3ZSRkfXiBnx
64,"พี่ๆ ตัดแว่นให้หน่อย","SERIOUS BACON",15816,https://open.spotify.com/track/0MejzQMW0yfpwfZwIjNaAH
65,"Life Goes On",BTS,15410,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
66,คำตอบ,Safeplanet,15392,https://open.spotify.com/track/1lD1Pjy7rNDOny7nFqmUHJ
67,แฟนใหม่หน้าคุ้น,Maiyarap,15239,https://open.spotify.com/track/29E8BUUDQbc5S7jMPOj9wW
68,"จำเก่ง (Slipped Your Mind)",F.HERO,14971,https://open.spotify.com/track/1iK2nyld8wTLJv2dRIowSY
69,"drivers license","Olivia Rodrigo",14853,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
70,Runaway,EXO,14839,https://open.spotify.com/track/238Ra1ggmx3wUkHyZ8EjST
71,"เดี๋ยวเธอกับเขาก็คืนดีกัน Feat. 3rd Tilly Birds",Copter,14100,https://open.spotify.com/track/7JC59jSvjSbJ2MszeV6fBs
72,อยู่ในสาย,"Three Man Down",13954,https://open.spotify.com/track/1h8WJ1UYHWAwRcXCeBZwiI
73,"No matter",EXO,13942,https://open.spotify.com/track/5fumVsa0IxAEJvHHu2F2k5
74,กอดได้ไหม,UrboyTJ,13711,https://open.spotify.com/track/4hccrJgNG1BwPa3CWw4NNg
75,เก็บไว้ในใจไม่พอ,Maiyarap,13643,https://open.spotify.com/track/0hdVaCnCS5d5puPAN2tQ25
76,happier,"Olivia Rodrigo",12897,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
77,34+35,"Ariana Grande",12356,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
78,"Best Part (feat. Daniel Caesar)",H.E.R.,12165,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
79,"Strawberries & Cigarettes","Troye Sivan",12154,https://open.spotify.com/track/3afkJSKX0EAMsJXTZnDXXJ
80,"Levitating (feat. DaBaby)","Dua Lipa",12152,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
81,"ถ้าเธอได้รู้ (The Secret ∆)",Safeplanet,12139,https://open.spotify.com/track/2Dvx3VrvPu8rD13LAua1i7
82,"0X1=LOVESONG (I Know I Love you)","TOMORROW X TOGETHER",11874,https://open.spotify.com/track/3yTkoTuiKRGL2VAlQd7xsC
83,จม,"Num KALA",11833,https://open.spotify.com/track/3armUxyNuJmexkQRA3hZSC
84,เวลาเธอยิ้ม,Polycat,11774,https://open.spotify.com/track/06DPpk0hUJEgpzl5cuWNI6
85,"Here's Your Perfect","Jamie Miller",11552,https://open.spotify.com/track/2aTKrdenCq5qBOoJPFdn4P
86,Roses,"Finn Askew",11395,https://open.spotify.com/track/7h5JV2j5wEwMP2hQE12Nk4
