artistId|artistName|artistUrl|artworkUrl100|collectionName|copyright|genres|id|kind|name|releaseDate|url
183313439|Ed Sheeran|https://music.apple.com/th/artist/ed-sheeran/183313439?app=music|https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/ba/e2/2a/bae22a5e-c878-da64-0ecc-4a3584a1a139/190295411411.jpg/200x200bb.png|No.6 Collaborations Project|2019 An Asylum Records UK release, a division of Atlantic Records UK; ℗ 2019 Warner Music UK Limited except track 6 ℗ 2019 Warner Music UK / Def Jam Recordings, a division of UMG Recordings, Inc|[{'genreId': '14', 'name': 'Pop', 'url': 'https://itunes.apple.com/th/genre/id14'}, {'genreId': '34', 'name': 'Music', 'url': 'https://itunes.apple.com/th/genre/id34'}]|1464549657|song|Beautiful People (feat. Khalid)|2019-06-28|https://music.apple.com/th/album/beautiful-people-feat-khalid/1464549183?i=1464549657&app=music
1067233463|Stephanie Poetri|https://music.apple.com/th/artist/stephanie-poetri/1067233463?app=music|https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/5d/9c/ca/5d9ccaf3-106a-c691-a636-8e8c9811b3cd/859732701293_cover.jpg/200x200bb.png|I Love You 3000 - Single|℗ 2019 Stephanie Poetri|[{'genreId': '14', 'name': 'Pop', 'url': 'https://itunes.apple.com/th/genre/id14'}, {'genreId': '34', 'name': 'Music', 'url': 'https://itunes.apple.com/th/genre/id34'}, {'genreId': '15', 'name': 'R&B/Soul', 'url': 'https://itunes.apple.com/th/genre/id15'}]|1466874348|song|I Love You 3000|2019-06-03|https://music.apple.com/th/album/i-love-you-3000/1466874345?i=1466874348&app=music
883131348|BTS|https://music.apple.com/th/artist/bts/883131348?app=music|https://is5-ssl.mzstatic.com/image/thumb/Music123/v4/dc/37/49/dc374927-298c-505f-ee1f-8e4fe0369a18/193483706238.jpg/200x200bb.png|MAP OF THE SOUL : PERSONA|℗ 2019 Bighit Entertainment|[{'genreId': '51', 'name': 'K-Pop', 'url': 'https://itunes.apple.com/th/genre/id51'}, {'genreId': '34', 'name': 'Music', 'url': 'https://itunes.apple.com/th/genre/id34'}, {'genreId': '14', 'name': 'Pop', 'url': 'https://itunes.apple.com/th/genre/id14'}]|1458938370|song|Boy With Luv (feat. Halsey)|2019-04-12|https://music.apple.com/th/album/boy-with-luv-feat-halsey/1458938366?i=1458938370&app=music
931570340|The Parkinson|https://music.apple.com/th/artist/the-parkinson/931570340?app=music|https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/a5/13/84/a513840e-bee1-266c-f1f2-3a34c75264dd/cover.jpg/200x200bb.png|แรก|℗ 2019 Spicy Disc Co.,Ltd. Manufactured and Distributed by Spicy Disc. All right reserved.|[{'genreId': '14', 'name': 'Pop', 'url': 'https://itunes.apple.com/th/genre/id14'}, {'genreId': '34', 'name': 'Music', 'url': 'https://itunes.apple.com/th/genre/id34'}]|1466478743|song|แค่นี้...พอ|2019-06-23|https://music.apple.com/th/album/%E0%B9%81%E0%B8%84-%E0%B8%99-%E0%B8%9E%E0%B8%AD/1466478742?i=1466478743&app=music
159260351|Taylor Swift|https://music.apple.com/th/artist/taylor-swift/159260351?app=music|https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/20/6f/b5/206fb560-6fd5-15f9-0b68-88d309ffc5a6/19UMGIM53909.rgb.jpg/200x200bb.png|Lover|℗ 2019 Taylor Swift|[{'genreId': '14', 'name': 'Pop', 'url': 'https://itunes.apple.com/th/genre/id14'}, {'genreId': '34', 'name': 'Music', 'url': 'https://itunes.apple.com/th/genre/id34'}]|1468058704|song|You Need To Calm Down|2019-06-14|https://music.apple.com/th/album/you-need-to-calm-down/1468058165?i=1468058704&app=music
1400730578|Lil Nas X|https://music.apple.com/th/artist/lil-nas-x/1400730578?app=music|https://is5-ssl.mzstatic.com/image/thumb/Music113/v4/be/5c/5c/be5c5c8f-8953-1319-e891-696e8b745893/886447659168.jpg/200x200bb.png|Old Town Road (feat. Billy Ray Cyrus) [Remix] - Single|℗ 2019 Columbia Records, a Division of Sony Music Entertainment|[{'genreId': '6', 'name': 'Country', 'url': 'https://itunes.apple.com/th/genre/id6'}, {'genreId': '34', 'name': 'Music', 'url': 'https://itunes.apple.com/th/genre/id34'}]|1458638381|song|Old Town Road (feat. Billy Ray Cyrus) [Remix]|2019-04-05|https://music.apple.com/th/album/old-town-road-feat-billy-ray-cyrus-remix/1458638377?i=1458638381&app=music
1354545350|WanYai|https://music.apple.com/th/artist/wanyai/1354545350?app=music|https://is2-ssl.mzstatic.com/image/thumb/Music113/v4/92/de/e9/92dee99e-cb37-c2e1-c161-b312149b1383/190295408800.jpg/200x200bb.png|ลืมไป (feat. ปู่จ๋าน ลองไมค์) - Single|℗ 2019 LOVEiS Entertainment|[{'genreId': '14', 'name': 'Pop', 'url': 'https://itunes.apple.com/th/genre/id14'}, {'genreId': '34', 'name': 'Music', 'url': 'https://itunes.apple.com/th/genre/id34'}]|1465260543|song|ลืมไป (feat. ปู่จ๋าน ลองไมค์)|2019-05-31|https://music.apple.com/th/album/%E0%B8%A5-%E0%B8%A1%E0%B9%84%E0%B8%9B-feat-%E0%B8%9B-%E0%B8%88-%E0%B8%B2%E0%B8%99-%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B9%84%E0%B8%A1%E0%B8%84/1465260541?i=1465260543&app=music
1471586627|SIXC (6 crazy)|https://music.apple.com/th/artist/sixc-6-crazy/1471586627?app=music|https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/b3/ac/29/b3ac29bf-7c7b-256d-7228-1e97e0ab7cb4/cover.jpg/200x200bb.png|Produce X 101 - 31 Boys 5 Concepts - EP|℗ Stone Music Entertainment|[{'genreId': '51', 'name': 'K-Pop', 'url': 'https://itunes.apple.com/th/genre/id51'}, {'genreId': '34', 'name': 'Music', 'url': 'https://itunes.apple.com/th/genre/id34'}, {'genreId': '14', 'name': 'Pop', 'url': 'https://itunes.apple.com/th/genre/id14'}]|1471586626|song|Move (Prod. by ZICO)|2019-07-05|https://music.apple.com/th/album/move-prod-by-zico/1471586609?i=1471586626&app=music
1141774019|BLACKPINK|https://music.apple.com/th/artist/blackpink/1141774019?app=music|https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/21/72/af/2172af9d-fb3c-340a-85c4-e1572495348d/BLACKPINK_DIGITAL_SINGLE_IMAGE.jpg/200x200bb.png|SQUARE UP - EP|℗ 2018 YG Entertainment|[{'genreId': '51', 'name': 'K-Pop', 'url': 'https://itunes.apple.com/th/genre/id51'}, {'genreId': '34', 'name': 'Music', 'url': 'https://itunes.apple.com/th/genre/id34'}, {'genreId': '14', 'name': 'Pop', 'url': 'https://itunes.apple.com/th/genre/id14'}, {'genreId': '18', 'name': 'Hip-Hop/Rap', 'url': 'https://itunes.apple.com/th/genre/id18'}]|1398185834|song|DDU-DU DDU-DU|2018-06-15|https://music.apple.com/th/album/ddu-du-ddu-du/1398185606?i=1398185834&app=music
987357639|BAEKHYUN|https://music.apple.com/th/artist/baekhyun/987357639?app=music|https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/98/7f/2f/987f2f37-44de-4f5f-8e6d-119311840375/cover.jpg/200x200bb.png|City Lights - The 1st Mini Album - EP|℗ 2019 SM Entertainment|[{'genreId': '51', 'name': 'K-Pop', 'url': 'https://itunes.apple.com/th/genre/id51'}, {'genreId': '34', 'name': 'Music', 'url': 'https://itunes.apple.com/th/genre/id34'}, {'genreId': '14', 'name': 'Pop', 'url': 'https://itunes.apple.com/th/genre/id14'}]|1471975990|song|Betcha|2019-07-10|https://music.apple.com/th/album/betcha/1471975981?i=1471975990&app=music
