year,amount,inflation rate
1701,1.00,0.05
1702,0.91,-0.09
1703,0.91,0.00
1704,1.07,0.18
1705,0.98,-0.09
1706,1.05,0.07
1707,1.00,-0.04
1708,0.84,-0.16
1709,1.05,0.25
1710,0.95,-0.09
1711,0.93,-0.02
1712,0.88,-0.05
1713,0.95,0.08
1714,0.86,-0.10
1715,1.02,0.19
1716,0.95,-0.07
1717,1.05,0.10
1718,0.95,-0.09
1719,1.05,0.10
1720,0.98,-0.07
1721,0.93,-0.05
1722,0.95,0.02
1723,0.98,0.02
1724,1.00,0.02
1725,1.16,0.16
1726,1.09,-0.06
1727,1.16,0.06
1728,1.07,-0.08
1729,1.07,0.00
1730,1.07,0.00
1731,0.98,-0.09
1732,0.88,-0.10
1733,0.91,0.03
1734,0.88,-0.03
1735,0.93,0.05
1736,0.88,-0.05
1737,0.93,0.05
1738,0.95,0.02
1739,0.86,-0.10
1740,0.91,0.05
1741,1.51,0.67
1742,1.35,-0.11
1743,1.21,-0.10
1744,1.12,-0.08
1745,1.07,-0.04
1746,1.12,0.04
1747,1.23,0.10
1748,1.47,0.19
1749,1.49,0.02
1750,1.49,0.00
1751,1.49,0.00
1752,1.53,0.03
1753,1.49,-0.03
1754,1.42,-0.05
1755,1.40,-0.02
1756,1.35,-0.03
1757,1.44,0.07
1758,1.56,0.08
1759,1.84,0.18
1760,1.77,-0.04
1761,1.60,-0.09
1762,1.74,0.09
1763,1.74,0.00
1764,1.63,-0.07
1765,1.67,0.03
1766,1.79,0.07
1767,1.77,-0.01
1768,1.67,-0.05
1769,1.77,0.06
1770,1.91,0.08
1771,1.81,-0.05
1772,2.12,0.17
1773,2.00,-0.05
1774,1.88,-0.06
1775,1.79,-0.05
1776,2.02,0.13
1777,2.47,0.22
1778,3.21,0.30
1779,2.84,-0.12
1780,3.19,0.12
1781,2.58,-0.19
1782,2.81,0.09
1783,2.47,-0.12
1784,2.37,-0.04
1785,2.26,-0.05
1786,2.21,-0.02
1787,2.16,-0.02
1788,2.07,-0.04
1789,2.05,-0.01
1790,2.14,0.05
1791,2.19,0.02
1792,2.23,0.02
1793,2.30,0.03
1794,2.56,0.11
1795,2.93,0.15
1796,3.07,0.05
1797,2.95,-0.04
1798,2.86,-0.03
1799,2.86,0.00
1800,2.93,0.02
1801,2.95,0.01
1802,2.49,-0.16
1803,2.63,0.06
1804,2.74,0.04
1805,2.72,-0.01
1806,2.84,0.04
1807,2.70,-0.05
1808,2.93,0.09
1809,2.86,-0.02
1810,2.86,0.00
1811,3.05,0.07
1812,3.09,0.02
1813,3.72,0.20
1814,4.09,0.10
1815,3.58,-0.13
1816,3.28,-0.08
1817,3.09,-0.06
1818,2.95,-0.05
1819,2.95,0.00
1820,2.72,-0.08
1821,2.63,-0.03
1822,2.72,0.04
1823,2.44,-0.10
1824,2.26,-0.08
1825,2.30,0.02
1826,2.30,0.00
1827,2.33,0.01
1828,2.21,-0.05
1829,2.16,-0.02
1830,2.14,-0.01
1831,2.02,-0.05
1832,2.00,-0.01
1833,1.95,-0.02
1834,2.00,0.02
1835,2.05,0.02
1836,2.16,0.06
1837,2.23,0.03
1838,2.16,-0.03
1839,2.16,0.00
1840,2.02,-0.06
1841,2.02,0.00
1842,1.91,-0.06
1843,1.72,-0.10
1844,1.74,0.01
1845,1.77,0.01
1846,1.79,0.01
1847,1.91,0.06
1848,1.84,-0.04
1849,1.79,-0.03
1850,1.81,0.01
1851,1.79,-0.01
1852,1.79,0.00
1853,1.79,0.00
1854,1.95,0.09
1855,2.02,0.04
1856,1.98,-0.02
1857,2.02,0.02
1858,1.91,-0.06
1859,1.93,0.01
1860,1.93,0.00
1861,2.05,0.06
1862,2.35,0.15
1863,2.93,0.25
1864,3.65,0.25
1865,3.79,0.04
1866,3.70,-0.02
1867,3.44,-0.07
1868,3.30,-0.04
1869,3.16,-0.04
1870,3.05,-0.04
1871,2.84,-0.07
1872,2.84,0.00
1873,2.79,-0.02
1874,2.65,-0.05
1875,2.56,-0.04
1876,2.49,-0.03
1877,2.44,-0.02
1878,2.33,-0.05
1879,2.33,0.00
1880,2.37,0.02
1881,2.37,0.00
1882,2.37,0.00
1883,2.35,-0.01
1884,2.28,-0.03
1885,2.26,-0.01
1886,2.19,-0.03
1887,2.21,0.01
1888,2.21,0.00
1889,2.14,-0.03
1890,2.12,-0.01
1891,2.12,0.00
1892,2.12,0.00
1893,2.09,-0.01
1894,2.00,-0.04
1895,1.95,-0.02
1896,1.95,0.00
1897,1.93,-0.01
1898,1.93,0.00
1899,1.93,0.00
1900,1.95,0.01
1901,1.98,0.01
1902,2.00,0.01
1903,2.05,0.02
1904,2.07,0.01
1905,2.05,-0.01
1906,2.09,0.02
1907,2.19,0.04
1908,2.14,-0.02
1909,2.12,-0.01
1910,2.21,0.04
1911,2.21,0.00
1912,2.26,0.02
1913,2.30,0.02
1914,2.33,0.01
1915,2.35,0.01
1916,2.53,0.08
1917,2.98,0.17
1918,3.51,0.18
1919,4.02,0.15
1920,4.65,0.16
1921,4.16,-0.11
1922,3.91,-0.06
1923,3.98,0.02
1924,3.98,0.00
1925,4.07,0.02
1926,4.12,0.01
1927,4.05,-0.02
1928,3.98,-0.02
1929,3.98,0.00
1930,3.88,-0.02
1931,3.53,-0.09
1932,3.19,-0.10
1933,3.02,-0.05
1934,3.12,0.03
1935,3.19,0.02
1936,3.23,0.01
1937,3.35,0.04
1938,3.28,-0.02
1939,3.23,-0.01
1940,3.26,0.01
1941,3.42,0.05
1942,3.79,0.11
1943,4.02,0.06
1944,4.09,0.02
1945,4.19,0.02
1946,4.53,0.08
1947,5.19,0.14
1948,5.60,0.08
1949,5.53,-0.01
1950,5.60,0.01
1951,6.05,0.08
1952,6.16,0.02
1953,6.21,0.01
1954,6.26,0.01
1955,6.23,-0.00
1956,6.33,0.01
1957,6.53,0.03
1958,6.72,0.03
1959,6.77,0.01
1960,6.88,0.02
1961,6.95,0.01
1962,7.02,0.01
1963,7.12,0.01
1964,7.21,0.01
1965,7.33,0.02
1966,7.53,0.03
1967,7.77,0.03
1968,8.09,0.04
1969,8.53,0.05
1970,9.02,0.06
1971,9.42,0.04
1972,9.72,0.03
1973,10.33,0.06
1974,11.47,0.11
1975,12.51,0.09
1976,13.23,0.06
1977,14.09,0.07
1978,15.16,0.08
1979,16.88,0.11
1980,19.16,0.13
1981,21.14,0.10
1982,22.44,0.06
1983,23.16,0.03
1984,24.16,0.04
1985,25.02,0.04
1986,25.49,0.02
1987,26.42,0.04
1988,27.51,0.04
1989,28.84,0.05
1990,30.40,0.05
1991,31.67,0.04
1992,32.63,0.03
1993,33.60,0.03
1994,34.47,0.03
1995,35.44,0.03
1996,36.49,0.03
1997,37.33,0.02
1998,37.91,0.02
1999,38.74,0.02
2000,40.05,0.03
2001,41.19,0.03
2002,41.84,0.02
2003,42.79,0.02
2004,43.93,0.03
2005,45.42,0.03
2006,46.88,0.03
2007,48.22,0.03
2008,50.07,0.04
2009,49.89,-0.00
2010,50.71,0.02
2011,52.31,0.03
2012,53.39,0.02
2013,54.18,0.01
2014,55.05,0.02
2015,55.12,0.00
2016,55.82,0.01
2017,57.00,0.02
2018,58.43,0.02
2019,59.46,0.02
2020,60.19,0.01
2021,63.02,0.05
2022,64.84,0.03
