amphurEN,amphurTH,changwat,lat,long,pop,area,zip
Akat Amnuai,อากาศอำนวย,Sakon Nakhon,17.59667,103.975,67328.0,115.1,47170.0
Mueang Amnat Charoen,เมืองอำนาจเจริญ,Amnat Charoen,15.858329999999999,104.62944,128992.0,216.2,37000.0
Amphawa,อัมพวา,Samut Songkhram,13.42472,99.95721999999999,57161.0,365.2,75110.0
Mueang Ang Thong,เมืองอ่างทอง,Ang Thong,14.588610000000001,100.45333000000001,55974.0,544.5,14000.0
Ao Luek,อ่าวลึก,Krabi,8.3775,98.72166999999999,48474.0,62.7,81110.0
Aranyaprathet,อรัญประเทศ,Sa Kaeo,13.700829999999998,102.51167,83171.0,101.3,27120.0
At Samat,อาจสามารถ,Roi Et,15.84361,103.87889,74711.0,164.4,45160.0
Bacho,บาเจาะ,Narathiwat,6.51694,101.65167,48605.0,283.1,96170.0
Bamnet Narong,บำเหน็จณรงค์,Chaiyaphum,15.500279999999998,101.68639,54750.0,97.7,36160.0
Ban Bueng,บ้านบึง,Chonburi,13.31139,101.11222,93401.0,144.5,20170.0
Ban Chang,บ้านฉาง,Rayong,12.72833,101.06639,49189.0,206.3,21130.0
Ban Dan,บ้านด่าน,Buriram,15.107220000000002,103.17472,30548.0,123.4,31000.0
Ban Dan Lan Hoi,บ้านด่านลานหอย,Sukhothai,17.00611,99.57472,42074.0,41.3,64140.0
Ban Dung,บ้านดุง,Udon Thani,17.70111,103.25972,123227.0,133.2,41190.0
Ban Fang,บ้านฝาง,Khon Kaen,16.453329999999998,102.63833000000001,52999.0,158.7,40270.0
Bang Ban,บางบาล,Ayutthaya,14.373610000000001,100.48555999999999,34404.0,254.3,13250.0
Bang Bo,บางบ่อ,Samut Prakan,13.57417,100.83610999999999,90226.0,368.0,10560.0
Bang Bon,บางบอน,Thung Saliam,18.694992000000003,98.78976999999999,93225.0,2683.0,10150.0
Bang Bua Thong,บางบัวทอง,Nonthaburi,13.96861,100.40556,226741.0,1946.3,11110.0
Bang Kaeo,บางแก้ว,Phatthalung,7.43,100.17833,25628.0,215.4,93140.0
Bang Kapi,บางกะปิ,Krung Thep Maha Nakhon,13.76583,100.64778000000001,147694.0,5178.0,10240.0
Bang Khae,บางแค,Krung Thep Maha Nakhon,13.696110000000001,100.40944,193449.0,4352.0,10160.0
Bang Khan,บางขัน,Nakhon Si Thammarat,8.02667,99.47333,40498.0,67.3,80360.0
Bang Khen,บางเขน,Krung Thep Maha Nakhon,13.87389,100.59639,177062.0,4203.0,10220.0
Bang Khla,บางคล้า,Chachoengsao,13.728060000000001,101.20806,46539.0,204.2,24110.0
Bang Kho Laem,บางคอแหลม,Krung Thep Maha Nakhon,13.69333,100.5025,106499.0,9752.0,10120.0
Bang Khonthi,บางคนที,Samut Songkhram,13.46889,99.94055999999999,33334.0,435.4,75120.0
Bang Khun Thian,บางขุนเทียน,Krung Thep Maha Nakhon,13.660829999999999,100.43583000000001,161642.0,1339.34,10150.0
Bang Klam,บางกล่ำ,Songkhla,7.089169999999999,100.41083,27392.0,185.3,90110.0
Bangkok Noi,บางกอกน้อย,Krung Thep Maha Nakhon,13.76278,100.47806,152867.0,12798.0,10700.0
Bangkok Yai,บางกอกใหญ่,Krung Thep Maha Nakhon,13.722779999999998,100.47639000000001,85075.0,13766.0,10600.0
Bang Krathum,บางกระทุ่ม,Phitsanulok,16.585279999999997,100.30611,48667.0,111.0,65110.0
Bang Kruai,บางกรวย,Nonthaburi,13.805,100.47278,66200.0,1153.0,11130.0
Bang Lamung,บางละมุง,Chonburi,12.97667,100.91333,212568.0,1228.7,20150.0
