XXX,HUA,SAM,SIL,LUM,KHO,SIR,SUK,PET,RAM,CUL,HUI,SUT,RAT,LAT,PHA,CHA,KAM,BAN
HUA,14,14,16,18,20,22,24,26,28,30,32,34,36,36,36,36,36,36
SAM,14,14,14,16,18,20,22,24,26,28,30,32,34,36,36,36,36,36
SIL,16,14,14,14,16,18,20,22,24,26,28,30,32,34,36,36,36,36
LUM,18,16,14,14,14,16,18,20,22,24,26,28,30,32,34,36,36,36
KHO,20,18,16,14,14,14,16,18,20,22,24,26,28,30,32,34,36,36
SIR,22,20,18,16,14,14,14,16,18,20,22,24,26,28,30,32,34,36
SUK,24,22,20,18,16,14,14,14,16,18,20,22,24,26,28,30,32,34
PET,26,24,22,20,18,16,14,14,14,16,18,20,22,24,26,28,30,32
RAM,28,26,24,22,20,18,16,14,14,14,16,18,20,22,24,26,28,30
CUL,30,28,26,24,22,20,18,16,14,14,14,16,18,20,22,24,26,28
HUI,32,30,28,26,24,22,20,18,16,14,14,14,16,18,20,22,24,26
SUT,34,32,30,28,26,24,22,20,18,16,14,14,14,16,18,20,22,24
RAT,36,34,32,30,28,26,24,22,20,18,16,14,14,14,16,18,20,22
LAT,36,36,34,32,30,28,26,24,22,20,18,16,14,14,14,16,18,20
PHA,36,36,36,34,32,30,28,26,24,22,20,18,16,14,14,14,16,18
CHA,36,36,36,36,34,32,30,28,26,24,22,20,18,16,14,14,14,16
KAM,36,36,36,36,36,34,32,30,28,26,24,22,20,18,16,14,14,14
BAN,36,36,36,36,36,36,34,32,30,28,26,24,22,20,18,16,14,14
