unid,wbid,country,year,ses,class,gdppc,yrseduc,region5,regionUN
100,BGR,Bulgaria,1880,73.3108139,High(core),985.5,1.919999957,SE Europe,East Europe
100,BGR,Bulgaria,1890,72.97297668,High(core),1131,2.220000029,SE Europe,East Europe
100,BGR,Bulgaria,1900,72.97297668,High(core),1223,2.720000029,SE Europe,East Europe
100,BGR,Bulgaria,1910,76.6891861,High(core),1456,3.039999962,SE Europe,East Europe
100,BGR,Bulgaria,1920,64.52702332,Middle(semi-per),1136.272705,3.559999943,SE Europe,East Europe
100,BGR,Bulgaria,1930,64.86486816,Middle(semi-per),1284,4.159999847,SE Europe,East Europe
100,BGR,Bulgaria,1940,67.2297287,High(core),1548,4.869999886,SE Europe,East Europe
100,BGR,Bulgaria,1950,66.55405426,Middle(semi-per),1651,5.570000172,SE Europe,East Europe
100,BGR,Bulgaria,1960,72.29729462,High(core),2912,6.354800224,SE Europe,East Europe
100,BGR,Bulgaria,1970,74.32432556,High(core),4773,7.411300182,SE Europe,East Europe
100,BGR,Bulgaria,1980,76.01351166,High(core),6044,7.808400154,SE Europe,East Europe
100,BGR,Bulgaria,1990,70.2702713,High(core),9296.889648,8.790100098,SE Europe,East Europe
100,BGR,Bulgaria,2000,64.52702332,Middle(semi-per),8958.050781,9.376199722,SE Europe,East Europe
100,BGR,Bulgaria,2010,63.85135269,Middle(semi-per),15283.17969,9.850999832,SE Europe,East Europe
104,MMR,Myanmar,1880,18.24324417,Low(periphery),566.9031982,0.090000004,Asia,Southeast Asia
104,MMR,Myanmar,1890,23.64864922,Low(periphery),629.8064575,0.219999999,Asia,Southeast Asia
104,MMR,Myanmar,1900,30.74324417,Low(periphery),692.7096558,0.400000006,Asia,Southeast Asia
104,MMR,Myanmar,1910,13.85135174,Low(periphery),598.7999878,0.589999974,Asia,Southeast Asia
104,MMR,Myanmar,1920,30.74324417,Low(periphery),733.4000244,0.75,Asia,Southeast Asia
104,MMR,Myanmar,1930,32.09459305,Low(periphery),884.4000244,0.910000026,Asia,Southeast Asia
104,MMR,Myanmar,1940,19.25675583,Low(periphery),682.666687,1.070000052,Asia,Southeast Asia
104,MMR,Myanmar,1950,16.21621704,Low(periphery),396,1.169999957,Asia,Southeast Asia
104,MMR,Myanmar,1960,13.85135174,Low(periphery),564,1.076300025,Asia,Southeast Asia
104,MMR,Myanmar,1970,11.48648643,Low(periphery),642,1.386700034,Asia,Southeast Asia
104,MMR,Myanmar,1980,12.16216183,Low(periphery),828,1.600999951,Asia,Southeast Asia
104,MMR,Myanmar,1990,7.094594479,Low(periphery),742.9708862,2.700000048,Asia,Southeast Asia
104,MMR,Myanmar,2000,12.16216183,Low(periphery),1306.443237,3.52579999,Asia,Southeast Asia
104,MMR,Myanmar,2010,19.93243217,Low(periphery),3721.211426,4.639900208,Asia,Southeast Asia
120,CMR,Cameroon,1880,24.66216278,Low(periphery),533.666687,0.600000024,Africa,Middle Africa
120,CMR,Cameroon,1890,26.68918991,Low(periphery),567.333313,0.600000024,Africa,Middle Africa
120,CMR,Cameroon,1900,27.36486435,Low(periphery),601,0.600000024,Africa,Middle Africa
120,CMR,Cameroon,1910,20.27026939,Low(periphery),628.6923218,0.600000024,Africa,Middle Africa
120,CMR,Cameroon,1920,23.31081009,Low(periphery),682.6296387,0.600000024,Africa,Middle Africa
120,CMR,Cameroon,1930,25.67567635,Low(periphery),747.8148193,0.649999976,Africa,Middle Africa
120,CMR,Cameroon,1940,18.24324417,Low(periphery),813,0.850000024,Africa,Middle Africa
120,CMR,Cameroon,1950,23.64864922,Low(periphery),671,1.159999967,Africa,Middle Africa
120,CMR,Cameroon,1960,20.94594574,Low(periphery),832,1.083999991,Africa,Middle Africa
120,CMR,Cameroon,1970,22.29729652,Low(periphery),982,1.81190002,Africa,Middle Africa
120,CMR,Cameroon,1980,24.66216278,Low(periphery),1192,2.40989995,Africa,Middle Africa
120,CMR,Cameroon,1990,26.01351357,Low(periphery),2852.24292,4.336500168,Africa,Middle Africa
120,CMR,Cameroon,2000,26.68918991,Low(periphery),2506.708496,5.427100182,Africa,Middle Africa
120,CMR,Cameroon,2010,24.32432365,Low(periphery),2654.934082,6.067800045,Africa,Middle Africa
12,DZA,Algeria,1880,40.87837982,Middle(semi-per),819.1860352,0.25,Africa,North Africa
12,DZA,Algeria,1890,43.58108139,Middle(semi-per),923.3720703,0.370000005,Africa,North Africa
12,DZA,Algeria,1900,44.25675583,Middle(semi-per),1027.558105,0.479999989,Africa,North Africa
12,DZA,Algeria,1910,44.93243408,Middle(semi-per),1131.744141,0.589999974,Africa,North Africa
12,DZA,Algeria,1920,39.86486435,Middle(semi-per),1201.216187,0.689999998,Africa,North Africa
12,DZA,Algeria,1930,38.17567444,Middle(semi-per),1255.810791,0.769999981,Africa,North Africa
12,DZA,Algeria,1940,36.82432556,Middle(semi-per),1310.405396,0.839999974,Africa,North Africa
12,DZA,Algeria,1950,33.10810852,Low(periphery),1365,1.019999981,Africa,North Africa
12,DZA,Algeria,1960,32.43243408,Low(periphery),2088,0.870500028,Africa,North Africa
12,DZA,Algeria,1970,33.44594574,Middle(semi-per),2249,1.551399946,Africa,North Africa
