PRV_ID	PRV_NAME_TH	PRV_NAME_EN
01	กระบี่	Krabi
02	กรุงเทพมหานคร	Bangkok
03	กาญจนบุรี	Kanchanaburi
04	กาฬสินธุ์	Kalasin
05	กำแพงเพชร	Kamphaeng phet
06	ขอนแก่น	Khon kean
07	จันทบุรี	Chanthaburi
08	ฉะเชิงเทรา	Chachoengsao
09	ชลบุรี	Chon buri
10	ชัยนาท	Chai nat
11	ชัยภูมิ	Chai yaphum
12	ชุมพร	Chum phon
13	เชียงราย	Chiang rai
14	เชียงใหม่	Chiang mai
15	ตรัง	Trang
16	ตราด	Trat
17	ตาก	Tak
18	นครนายก	Nakhon nayok
19	นครปฐม	Nakhon pathom
20	นครพนม	Nakhon phanom
21	นครราชสีมา	Nakhon ratchasima
22	นครศรีธรรมราช	Nakhon si thammarat
23	นครสวรรค์	Nakhon sawan
24	นนทบุรี	Nonthaburi
25	นราธิวาส	Narathiwat
26	น่าน	Nan
27	บุรีรัมย์	Buri ram
28	ปทุมธานี	Pathum thani
29	ประจวบคีรีขันธ์	Prachuap khiri khan
30	ปราจีนบุรี	Prachinburi
31	ปัตตานี	Pattani
32	พระนครศรีอยุธยา	Ayutthaya
33	พะเยา	Phayao
34	พังงา	Phangnga
35	พัทลุง	Phatthalung
36	พิจิตร	phichit
37	พิษณุโลก	Phitsanulok
38	เพชรบุรี	Phetchaburi
39	เพชรบูรณ์	Phetchabun
40	แพร่	Phrae
41	ภูเก็ต	Phuket
42	มหาสารคาม	Mahasarakham
43	มุกดาหาร	Mukdahan
44	แม่ฮ่องสอน	Mae hong son
45	ยโสธร	Yasothon
46	ยะลา	Yala
47	ร้อยเอ็ด	Roi et
48	ระนอง	Ranong
49	ระยอง	Rayong
50	ราชบุรี	Rachaburi
51	ลพบุรี	Lopburi
52	เลย	Loei
53	ลำปาง	Lampang
54	ลำพูน	Lamphun
55	ศีรสะเกษ	Srisaket
56	สกลนคร	Sakonnakhon
57	สงขลา	Songkhla
58	สตูล	Satun
59	สมุทรปราการ	Samutprakan
60	สมุทรสงคราม	Samut songkhram
61	สมุทรสาคร	Samut sakhon
62	สระแก้ว	Sra kaeo
63	สระบุรี	Saraburi
64	สิงห์บุรี	Singburi
65	สุโขทัย	Sukhothai
66	สุพรรณบุรี	Suphanburi
67	สุราษฎร์ธานี	Surat thani
68	สุรินทร์	Surin
69	หนองคาย	Nongkhai
70	หนองบัวลำภู	Nongbualamphu
71	อ่างทอง	Angthong
72	อำนาจเจริญ	Amnatcharoen
73	อุดรธานี	Udonthani
74	อุตรดิตถ์	Uttaradit
75	อุทัยธานี	Uthaithani
76	อุบลราชธานี	Uboratchathani
