AMP_ID	AMP_NAME_TH	AMP_NAME_EN	PRV_ID
0101	เมืองกระบี่	Muang krabi	01
0102	เกาะลันตา	Ko lanta	01
0103	เขาพนม	Khaong phanom	01
0104	คลองท่อม	Khlong thom	01
0105	ปลายพระยา	Plai phraya	01
0106	ลำทับ	Lum tub	01
0107	เหนือคลอง	Nua klong	01
0108	อ่าวลึก	Ao Luk	01
0201	คลองสาน	Klongsan	02
0202	คลองเตย	Klongtoey	02
0203	จอมทอง	Chomthong	02
0204	จตุจักร	Jatujak	02
0205	ดุสิต	Dusit	02
0206	ดอนเมือง	Don muang	02
0207	ตลิ่งชัน	Taling chan	02
0208	ธนบุรี	Thon buri	02
0209	บางกอกน้อย	Bangkok noi	02
0210	บางกอกใหญ่	Bangkok yai	02
0211	บางกะปิ	Bangkapi	02
0212	บางขุนเทียน	Bangkuntien	02
0213	บางเขน	Bang khen	02
0214	บางคอแหลม	Bangkholam	02
0215	บางซื่อ	Bangsue	02
0216	บางพลัด	Bangplad	02
0217	บางรัก	Bangrak	02
0218	บึงกุ่ม	Bung kum	02
0219	ประเวศ	Prawet	02
0220	ปทุมวัน	Patumwan	02
0221	ป้อมปราบศัตรูพ่าย	Pom prap	02
0222	พญาไท	Payathai	02
0223	พระโขนง	Prakanong	02
0224	พระนคร	Phranakhon	02
0225	ภาษีเจริญ	Pasricharoen	02
0226	มีนบุรี	Minburi	02
0227	ยานนาวา	Yannawa	02
0228	ราชเทวี	Ratchathervi	02
0229	ราษฎร์บูรณะ	Radburana	02
0230	ลาดกระบัง	Lat Krabang 	02
0231	ลาดพร้าว	Lat Phrao	02
0232	สาทร	Sathorn	02
0233	สัมพันธวงศ์	Samphanthawongse	02
0234	หนองแขม	Nongkhaem	02
0235	หนองจอก	Nong chokn	02
0236	ห้วยขวาง	Huai khwang	02
0237	สวนหลวง	Suanluang	02
0238	ดินแดง	Dindaeng	02
0239	หลักสี่	Laksi	02
0240	สายไหม	Saimai	02
0241	คันนายาว	Kannayao	02
0242	สะพานสูง	Saphansung	02
0243	วังทองหลาง	Wang thonglang	02
0244	คลองสามวา	Klongsamwa	02
0245	วัฒนา	Watthana	02
0246	บางนา	Bangna	02
0247	ทวีวัฒนา	Thawiwatthana	02
0248	บางแค	Bangkhae	02
0249	ทุ่งครุ	Thung khru	02
0250	บางบอน	Bangbon	02
0301	เมืองกาญจนบุรี	Muang kanchanaburi	03
0302	ด่านมะขามเตี้ย	Dan makham tia	03
0303	ทองผาภูมิ	Thong pha phum	03
0304	ท่าม่วง	Tha muang	03
