model,year,price,transmission,mileage,fuelType,mpg,engineSize
I10,2015.0,4495,Manual,42910,Petrol,60.1,1.0
Tucson,2017.0,12999,Manual,48776,Petrol,44.8,1.6
Tucson,2018.0,18000,Manual,9424,Petrol,34.9,1.6
I30,2017.0,9499,Manual,35155,Diesel,74.3,1.6
I20,2017.0,9990,Manual,9903,Petrol,55.4,1.2
Ioniq,2018.0,17690,Automatic,15014,Hybrid,78.5,1.6
I10,2012.0,3491,Manual,67365,Petrol,61.4,1.2
Tucson,2018.0,15495,Manual,5942,Petrol,38.7,1.6
Ioniq,,16495,Automatic,28227,Hybrid,78.5,1.6
Tucson,2017.0,12490,Manual,24230,Petrol,44.8,1.6
I40,2015.0,6990,Manual,54000,Diesel,65.7,1.7
I10,2018.0,8795,Manual,6018,Petrol,60.1,1.0
Tucson,2019.0,15998,Manual,11751,Petrol,34.9,1.6
Tucson,2019.0,21490,Manual,199,Petrol,34.9,1.6
I20,2016.0,7691,Manual,24377,Petrol,55.4,
I10,2015.0,6490,Manual,14787,Petrol,57.6,1.2
Ioniq,2019.0,17999,Automatic,3000,Hybrid,78.5,1.6
Tucson,2017.0,11000,Manual,37441,Diesel,61.7,1.7
Tucson,2017.0,13950,Manual,32000,Diesel,61.7,1.7
I30,2016.0,8390,Manual,20710,Diesel,78.4,1.6
I30,2015.0,6990,Manual,54063,Diesel,78.4,1.6
I20,2014.0,6000,Manual,22998,Petrol,57.6,1.2
Tucson,2016.0,11498,Manual,21240,Diesel,61.7,1.7
Tucson,2017.0,13000,Manual,26685,Diesel,61.7,1.7
Tucson,2017.0,17995,Automatic,6987,Petrol,39.8,1.6
Tucson,2017.0,12995,Manual,32147,Diesel,61.7,1.7
Santa Fe,2013.0,10149,Manual,55998,Diesel,46.3,2.2
IX20,2017.0,8690,Manual,30458,Petrol,50.4,1.4
I10,2018.0,8700,Manual,2307,Petrol,60.1,1.0
Santa Fe,,33250,Semi-Auto,3620,Diesel,42.8,2.2
I20,2020.0,12995,Manual,3000,Petrol,46.3,1.2
I20,2015.0,7995,Manual,19935,Petrol,55.4,1.2
Santa Fe,2020.0,43995,Semi-Auto,10,Diesel,39.2,2.2
Tucson,2019.0,17697,Manual,5,Petrol,34.9,1.6
I10,2020.0,12500,Manual,371,Petrol,56.5,1.0
Kona,2019.0,20950,Semi-Auto,5328,Petrol,34.0,1.6
I10,2018.0,8495,Manual,7372,Petrol,60.1,1.0
I10,2016.0,7990,Semi-Auto,15047,Petrol,47.9,1.2
I30,2015.0,8495,Automatic,49489,Petrol,41.5,1.6
Kona,2018.0,15995,Manual,19758,Petrol,52.3,
I10,2019.0,10470,Manual,8639,Petrol,57.6,1.2
I10,2017.0,8490,Manual,7525,Petrol,57.7,1.2
Ioniq,2018.0,14995,Semi-Auto,37445,Hybrid,78.5,1.6
Tucson,2017.0,15498,Manual,26826,Diesel,61.4,1.7
IX35,2014.0,8595,Manual,43440,Diesel,53.3,1.7
I20,2017.0,7485,Manual,21043,Petrol,58.9,1.2
I10,2017.0,6995,Manual,29671,Petrol,57.7,1.2
Ioniq,2018.0,14995,Automatic,15946,Hybrid,78.5,
I10,2016.0,5799,Manual,21359,Petrol,57.6,1.2
I20,2017.0,8498,Manual,12588,Petrol,55.4,1.2
Kona,2019.0,15495,Manual,16555,Petrol,44.1,1.0
Tucson,2017.0,15500,Semi-Auto,20529,Diesel,57.6,1.7
Tucson,2016.0,11995,Manual,26000,Diesel,61.7,1.7
I30,2018.0,11000,Manual,13406,Petrol,56.5,1.0
I20,2013.0,6766,Automatic,12508,Petrol,47.1,1.4
I10,2017.0,6798,Manual,30010,Petrol,60.1,1.0
I800,2018.0,15990,Automatic,35607,Diesel,28.0,2.5
IX20,2015.0,7999,Manual,12433,Petrol,50.4,1.4
I10,2017.0,8855,Manual,10392,Petrol,57.7,1.2
I20,2017.0,8995,Manual,35500,Petrol,62.8,1.0
I10,2015.0,6995,Manual,36188,Petrol,57.6,1.2
IX35,2013.0,7298,Manual,50998,,48.7,1.7
Tucson,2017.0,16290,Manual,11333,Diesel,61.4,1.7
Tucson,2016.0,13999,Automatic,15758,Diesel,57.6,1.7
I10,2018.0,8490,Manual,3611,Petrol,60.1,1.0
Tucson,2019.0,17995,Manual,18241,Diesel,48.7,1.6
I20,2013.0,4250,Manual,68000,Petrol,57.6,1.2
Tucson,2016.0,13499,Automatic,42597,Diesel,47.1,2.0
Tucson,2017.0,13698,Manual,15040,Diesel,61.7,1.7
I10,2014.0,5930,Manual,12590,Petrol,57.6,1.2
I10,2014.0,5695,Manual,29000,Petrol,57.6,1.2
I20,2016.0,8995,Manual,12335,Petrol,56.5,1.2
Ioniq,2018.0,16998,Automatic,6308,Hybrid,78.5,1.6
Tucson,2017.0,12996,Semi-Auto,36168,Diesel,57.6,1.7
I800,2018.0,15499,Manual,33173,Diesel,37.7,2.5
Kona,2018.0,13500,Manual,9884,Petrol,44.1,1.0
IX20,2016.0,6990,Manual,38186,Diesel,64.2,1.6
