model,year,price,transmission,mileage,fuelType,mpg,engineSize
3 Series,2017,14990,Semi-Auto,48604.0,Diesel,67.3,2.0
2 Series,2020,26490,Semi-Auto,10.0,Diesel,47.1,2.0
X3,2019,38900,Semi-Auto,3302.0,Diesel,48.7,3.0
1 Series,2019,17980,Semi-Auto,10672.0,Diesel,74.3,2.0
3 Series,2015,11995,Semi-Auto,52385.0,Petrol,47.1,2.0
2 Series,2019,23500,Semi-Auto,2164.0,Diesel,49.6,2.0
X1,2020,34995,Semi-Auto,1501.0,Diesel,50.4,2.0
1 Series,2013,10400,Automatic,35000.0,Diesel,64.2,2.0
4 Series,2016,14799,Manual,57876.0,Diesel,57.6,2.0
X5,2019,49995,Semi-Auto,1972.0,Diesel,37.7,3.0
2 Series,2016,12695,Manual,42000.0,Petrol,53.3,1.5
2 Series,2019,17950,Manual,3387.0,Petrol,42.2,1.5
4 Series,2016,17000,Automatic,43283.0,Diesel,58.9,2.0
1 Series,2019,18480,Manual,10302.0,Diesel,70.6,1.5
5 Series,2019,29441,Semi-Auto,9631.0,Petrol,36.2,2.0
3 Series,2019,24450,Manual,3340.0,,54.3,2.0
3 Series,2016,12800,Automatic,58174.0,Diesel,67.3,2.0
X6,2019,68522,Semi-Auto,11330.0,Diesel,33.2,3.0
3 Series,2018,27000,Semi-Auto,12513.0,Diesel,51.4,3.0
4 Series,2015,15490,Automatic,40000.0,Diesel,60.1,2.0
2 Series,2016,13790,Manual,27255.0,Petrol,50.4,1.5
1 Series,2015,10795,Manual,55820.0,Diesel,70.6,1.5
1 Series,2017,16475,Manual,12194.0,Petrol,52.3,1.5
5 Series,2017,16400,Automatic,67287.0,Diesel,68.9,2.0
X3,2015,22000,Semi-Auto,26000.0,Diesel,47.9,3.0
X1,2017,19750,Semi-Auto,19159.0,Diesel,60.1,2.0
X4,2016,24999,Automatic,28466.0,Diesel,47.9,3.0
X3,2020,35995,Semi-Auto,4373.0,Diesel,54.3,2.0
3 Series,2014,13499,Automatic,54842.0,Diesel,62.8,2.0
3 Series,2015,16998,Semi-Auto,31915.0,Diesel,53.3,3.0
8 Series,2019,73890,Semi-Auto,3369.0,Petrol,26.7,4.4
3 Series,2019,26995,Semi-Auto,11355.0,,52.3,2.0
3 Series,2016,17647,Automatic,20793.0,Diesel,56.5,3.0
2 Series,2017,14000,Semi-Auto,,Petrol,55.4,1.5
1 Series,2013,7699,Manual,51988.0,Diesel,74.3,1.6
8 Series,2019,59000,Semi-Auto,5923.0,Diesel,39.8,3.0
1 Series,2019,29980,Automatic,3768.0,Diesel,48.7,2.0
1 Series,2014,11552,Semi-Auto,66449.0,,50.4,1.6
2 Series,2020,27500,Semi-Auto,1086.0,,42.2,1.5
3 Series,2019,28980,Semi-Auto,,Petrol,41.5,2.0
X1,2013,9695,Manual,44000.0,Diesel,57.6,2.0
X5,2019,46991,Semi-Auto,8778.0,Diesel,37.7,3.0
X3,2015,15450,Automatic,42437.0,Diesel,54.3,2.0
X3,2015,19990,Semi-Auto,53700.0,Diesel,54.3,2.0
1 Series,2013,10965,Automatic,37808.0,Diesel,64.2,2.0
2 Series,2017,19995,Semi-Auto,16266.0,Petrol,43.5,2.0
1 Series,2019,15990,Manual,10069.0,Diesel,72.4,1.5
4 Series,2016,20681,Semi-Auto,12531.0,Petrol,48.7,2.0
1 Series,2017,16995,Automatic,19654.0,Petrol,54.3,1.5
3 Series,2018,18511,Automatic,19857.0,Petrol,48.7,2.0
2 Series,2016,12150,Manual,57417.0,Petrol,50.4,1.5
,2019,15989,Automatic,9567.0,Petrol,55.5,1.5
3 Series,2016,16886,Automatic,24081.0,Diesel,54.3,3.0
X1,2017,17000,Automatic,41890.0,Diesel,65.7,2.0
X5,2017,34990,Automatic,27044.0,Diesel,47.1,3.0
4 Series,2017,18000,Automatic,22462.0,Diesel,65.7,2.0
4 Series,2017,16488,Manual,27599.0,Diesel,62.8,2.0
X1,2020,30495,Semi-Auto,3530.0,Diesel,40.9,2.0
3 Series,2019,16698,Manual,12824.0,Diesel,67.3,2.0
X1,2016,17567,Manual,23557.0,Diesel,58.9,2.0
4 Series,2019,29898,Semi-Auto,101.0,Diesel,60.1,2.0
5 Series,2016,15230,Automatic,59058.0,Diesel,51.4,3.0
3 Series,2019,34995,Semi-Auto,2000.0,Diesel,47.9,3.0
4 Series,2019,21998,Semi-Auto,17417.0,Diesel,65.7,2.0
3 Series,2016,20878,Semi-Auto,25145.0,Diesel,51.4,3.0
X5,2018,34995,Automatic,26107.0,Hybrid,85.6,2.0
,2018,15881,Manual,9774.0,Petrol,37.2,1.5
4 Series,2016,16000,Automatic,39708.0,,65.7,2.0
X6,2014,18000,Automatic,35269.0,,38.2,3.0
X3,2015,17495,Semi-Auto,38013.0,Diesel,54.3,2.0
3 Series,2016,12750,Manual,30521.0,Diesel,68.9,2.0
X1,2016,18795,Automatic,14868.0,Petrol,44.8,2.0
5 Series,2013,11599,Automatic,58995.0,Diesel,48.7,3.0
Z3,1998,3950,Manual,56500.0,Petrol,35.3,1.9
,2015,10999,Manual,54050.0,Diesel,74.3,1.5
X1,2018,24472,Semi-Auto,11253.0,Diesel,60.1,2.0
2 Series,2019,23980,Manual,110.0,Diesel,60.1,2.0
3 Series,2016,12400,Manual,34657.0,,68.9,2.0
