mfg,model,regis,year,category_id,category_descr
ALFA ROMEO,GIULIA,1,2563,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,DB11 V12,1,2563,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,DB11 V12 COUPE,1,2563,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,DB11 V8 COUPE,2,2563,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,DB11 V8 VOLANTE,1,2563,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,DBS SUPERLEGGERA COUPE,1,2563,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,RAPIDE S,1,2563,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,V8 VANTAGE S COUPE,2,2563,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,VANTAGE COUPE,5,2563,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A1 SB 35 TFSI S line,34,2563,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A4 40 TFSI S line,6,2563,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A4 45 TFSI q S line,4,2563,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A4 AV 45 TFSI q S line BE,48,2563,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 Coupe 40 TFSI,13,2563,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 Coupe 40 TFSI S line,5,2563,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 Coupe 45 TFSI q S line,7,2563,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 CP 40 TFSI S line,9,2563,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 CP 45 TFSI q S line BE,6,2563,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 SB 40 TFSI,7,2563,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 SB 40 TFSI S line,11,2563,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
