mfg,model,regis,year,category_id,category_descr
ALFA ROMEO,4C SPIDER,1,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ALFA ROMEO,Alfa 156 Selespeed,2,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ALFA ROMEO,GIULIA QUADRIFOGLIO,1,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ALFA ROMEO,GIULIA VELOCE SALOON,1,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,DB11 V8 COUPE,5,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,DB11 V8 VOLANTE,1,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,V12 VANTAGE S COUPE,1,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,VANQUISH COUPE,1,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,VANTAGE,1,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,VANTAGE COUPE,5,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A1 1.4,1,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A1 TFSI SPORTBACK S LINE,1,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A4 35 TDI,1,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A4 40 TFSI S line,18,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A4 45 TFSI q S line,11,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A4 AV 45 TFSI q S line BE,90,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 Coupe 40 TFSI,11,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 Coupe 40 TFSI S line,7,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 Coupe 45 TFSI q S line,12,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 COUPE 1.8 TFSI,1,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 SB 40 TFSI,18,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 SB 45 TFSI q S line,11,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A6 1.8 TFSI,1,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A6 2.0 TDI,2,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A6 35 TFSI S line,1,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A6 AV 55 TFSI q S line,3,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A7 SB 55 TFSI q S line,52,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A8 L 55 TFSI q Premium,6,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A8 L 55 TFSI q Prestige,14,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,Q2 35 TFSI,69,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,Q3 S-LINE 2.0 TDI QUATTRO,1,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,Q5 35 TDI q,45,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,Q5 40 TDI q,6,2562,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
