Product Name,Weight (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Fibre (g),Sugar (g),Protein (g),Vitamin A (%DV),Vitamin C (%DV),Calcium (%DV),Iron (%DV),Category
Sous Vide Egg Whites with Monterey Jack & Peppers,130.0,170.0,7.0,5.0,0.2,25.0,500.0,13.0,1.0,2.0,13.0,0.15,0.08,0.1,0.02,Breakfast Sandwiches
"Reduced-Fat Turkey-Style Bacon, Cheddar & Egg White Breakfast Sandwich",120.0,210.0,5.0,2.0,0.0,20.0,560.0,26.0,0.0,2.0,18.0,0.06,0.0,0.1,0.08,Breakfast Sandwiches
Egg & Cheddar on English Muffin,110.0,280.0,13.0,5.0,0.2,160.0,460.0,27.0,2.0,2.0,12.0,0.15,0.08,0.1,0.15,Breakfast Sandwiches
"Spinach, Feta & Egg White Breakfast Wrap",158.0,290.0,10.0,3.5,0.2,20.0,830.0,33.0,6.0,4.0,19.0,0.7,0.15,0.2,0.15,Breakfast Sandwiches
Sous Vide Eggs with Bacon and Gruyere,130.0,310.0,22.0,14.0,0.5,185.0,600.0,9.0,0.0,2.0,19.0,0.25,0.0,0.25,0.06,Breakfast Sandwiches
"Bacon, Gouda & Egg on Artisan Roll",116.0,370.0,19.0,7.0,0.1,165.0,850.0,32.0,1.0,1.0,18.0,0.06,0.15,0.2,0.2,Breakfast Sandwiches
Steak and Egg Wrap,178.0,410.0,18.0,5.0,0.1,170.0,780.0,43.0,2.0,4.0,21.0,0.15,0.02,0.06,0.3,Breakfast Sandwiches
Spinach Quiche,168.0,420.0,24.0,11.0,0.5,190.0,720.0,36.0,1.0,4.0,15.0,0.08,0.08,0.25,0.06,Breakfast Sandwiches
"Roasted Ham, Swiss & Egg on Croissant Bun",162.0,450.0,23.0,12.0,0.5,220.0,780.0,42.0,1.0,6.0,19.0,0.1,0.0,0.15,0.2,Breakfast Sandwiches
Bacon & Cheddar Breakfast Sandwich,144.0,470.0,23.0,8.0,0.5,55.0,1030.0,43.0,2.0,3.0,19.0,0.06,0.2,0.15,0.15,Breakfast Sandwiches
Bacon Quiche,168.0,470.0,27.0,12.0,1.0,210.0,740.0,37.0,1.0,5.0,18.0,0.04,0.02,0.25,0.1,Breakfast Sandwiches
Double Smoked Bacon,147.0,490.0,27.0,13.0,0.1,215.0,910.0,40.0,1.0,7.0,17.0,0.06,0.02,0.15,0.2,Breakfast Sandwiches
Carved Ham Breakfast Sandwich,175.0,490.0,25.0,12.0,0.0,225.0,940.0,41.0,1.0,7.0,25.0,0.15,0.3,0.2,0.15,Breakfast Sandwiches
"Sausage, Egg & Cheddar Classic Breakfast Sandwich",170.0,500.0,28.0,9.0,0.2,165.0,920.0,41.0,1.0,3.0,15.0,0.1,0.0,0.3,0.25,Breakfast Sandwiches
Spicy Chorizo Monterey Jack and Egg,171.0,500.0,30.0,9.0,0.1,210.0,860.0,35.0,3.0,3.0,26.0,0.2,0.02,0.2,0.2,Breakfast Sandwiches
