Category,Product Name,Label Wt (g),Calories,Total fat (g),Saturated  Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugar (g),Protein (g),Vitamin A (%DV),Vitamin C (%DV),Calcium (%DV),Iron (%DV)
"COOKIES, BROWNIES & BARS",Cherry Oat Bar,92.0,310.0,10.0,6.0,0.0,35.0,240.0,47.0,2.0,28.0,3.0,0.2,0.02,0.0,0.2
"COOKIES, BROWNIES & BARS",Double Chocolate Chunk Brownie,84.0,380.0,23.0,7.0,0.3,70.0,170.0,41.0,2.0,28.0,4.0,0.06,0.0,0.04,0.15
"COOKIES, BROWNIES & BARS",Gluten Free Marshmallow Dream Bar,60.0,240.0,5.0,3.0,0.1,15.0,260.0,45.0,0.0,23.0,2.0,0.04,0.0,0.0,0.02
"COOKIES, BROWNIES & BARS",Oat Fudge Bar,85.0,360.0,20.0,11.0,0.1,20.0,230.0,45.0,3.0,26.0,5.0,0.15,0.02,0.06,0.15
"COOKIES, BROWNIES & BARS",Blueberry Bar,75.0,250.0,13.0,6.0,0.3,20.0,180.0,35.0,3.0,14.0,4.0,0.15,0.0,0.2,0.1
"COOKIES, BROWNIES & BARS",Oat Bar,80.0,360.0,19.0,11.0,1.0,40.0,220.0,43.0,5.0,12.0,6.0,0.2,0.0,0.0,0.1
"COOKIES, BROWNIES & BARS",White Chocolate Macadamia Cookie,90.0,430.0,23.0,12.0,0.3,55.0,270.0,51.0,1.0,33.0,5.0,0.15,0.0,0.04,0.1
"COOKIES, BROWNIES & BARS",Ginger Molasses Cookie,90.0,350.0,10.0,6.0,0.2,50.0,250.0,59.0,1.0,35.0,5.0,0.1,0.0,0.08,0.2
"COOKIES, BROWNIES & BARS",Peanut Butter Cookie,90.0,430.0,24.0,9.0,0.3,60.0,370.0,44.0,2.0,27.0,9.0,0.15,0.0,0.02,0.1
"COOKIES, BROWNIES & BARS",Chocolate Chunk Cookie,70.0,310.0,15.0,9.0,0.3,50.0,260.0,42.0,2.0,27.0,4.0,0.1,0.0,0.02,0.15
"COOKIES, BROWNIES & BARS",Gluten Free Flourless Chocolate Cookie,45.0,170.0,5.0,2.5,0.0,0.0,110.0,30.0,2.0,26.0,2.0,0.0,0.0,0.02,0.15
"COOKIES, BROWNIES & BARS",Fruit & Oat Cookie,90.0,370.0,15.0,8.0,0.3,60.0,190.0,52.0,3.0,28.0,6.0,0.15,0.0,0.02,0.1
"COOKIES, BROWNIES & BARS",Oatmeal Cookie,70.0,290.0,12.0,7.0,0.0,45.0,190.0,40.0,3.0,20.0,5.0,0.1,0.0,0.02,0.1
"CROISSANTS, BAGELS, & BREADS",Plain Bagel,108.0,280.0,2.0,0.3,0.0,0.0,620.0,56.0,2.0,2.0,9.0,0.0,0.0,0.06,0.3
"CROISSANTS, BAGELS, & BREADS",Multigrain Bagel,113.0,350.0,4.0,0.0,0.0,0.0,520.0,64.0,8.0,6.0,17.0,0.0,0.02,0.04,0.15
"CROISSANTS, BAGELS, & BREADS",Everything Bagel,108.0,290.0,4.0,0.3,0.0,0.0,650.0,54.0,4.0,2.0,10.0,0.0,0.02,0.08,0.3
"CROISSANTS, BAGELS, & BREADS",Cinnamon Brioche,110.0,370.0,16.0,10.0,1.0,40.0,390.0,52.0,2.0,21.0,6.0,0.02,0.0,0.06,0.15
"CROISSANTS, BAGELS, & BREADS",Chocolate Brioche,100.0,380.0,20.0,13.0,1.0,50.0,310.0,42.0,2.0,13.0,7.0,0.02,0.0,0.04,0.2
"CROISSANTS, BAGELS, & BREADS",Asiago & Cheddar Pretzel,113.0,360.0,12.0,7.0,0.0,35.0,1070.0,46.0,2.0,1.0,16.0,0.1,0.0,0.2,0.2
"CROISSANTS, BAGELS, & BREADS",Butter Croissant,64.0,270.0,14.0,9.0,0.0,55.0,320.0,28.0,1.0,6.0,6.0,0.1,0.0,0.0,0.0
"CROISSANTS, BAGELS, & BREADS",Chocolate Croissant,80.0,350.0,18.0,11.0,0.3,40.0,320.0,38.0,1.0,13.0,6.0,0.02,0.0,0.04,0.1
"CROISSANTS, BAGELS, & BREADS",Ham & Cheese Savoury Foldover,92.0,250.0,11.0,6.0,0.3,50.0,480.0,24.0,1.0,4.0,13.0,0.08,0.0,0.15,0.1
"CROISSANTS, BAGELS, & BREADS",Pepperoni and Tomato Savoury Foldover,91.0,270.0,14.0,7.0,0.0,50.0,510.0,27.0,3.0,6.0,10.0,0.1,0.15,0.08,0.15
"CROISSANTS, BAGELS, & BREADS",Spinach Savoury Foldover,93.0,250.0,15.0,8.0,0.0,50.0,380.0,23.0,3.0,4.0,4.0,0.5,0.04,0.08,0.1
"CROISSANTS, BAGELS, & BREADS",Almond Croissant,99.0,360.0,21.0,9.0,0.0,65.0,380.0,33.0,2.0,12.0,9.0,0.15,0.0,0.06,0.2
"CROISSANTS, BAGELS, & BREADS",Cinnamon Raisin Bagel,99.0,270.0,0.0,0.0,0.0,0.0,370.0,58.0,3.0,11.0,9.0,0.0,0.0,0.02,0.25
"DOUGHNUTS, SWEET ROLLS & DANISHES",Cheese Danish,80.0,300.0,15.0,10.0,0.0,50.0,390.0,35.0,1.0,12.0,6.0,0.1,0.0,0.04,0.08
"DOUGHNUTS, SWEET ROLLS & DANISHES",Almond Danish,99.0,380.0,23.0,10.0,1.0,85.0,380.0,38.0,2.0,15.0,9.0,0.2,0.0,0.04,0.1
"DOUGHNUTS, SWEET ROLLS & DANISHES",Old Fashioned Glazed Doughnut,113.0,480.0,27.0,13.0,0.0,20.0,410.0,56.0,1.0,30.0,5.0,0.0,0.0,0.0,0.08
"DOUGHNUTS, SWEET ROLLS & DANISHES",Apple Fritter,119.0,460.0,23.0,11.0,0.0,0.0,420.0,56.0,2.0,22.0,7.0,0.0,0.0,0.06,0.2
"LOAVES, COFFEE CAKES, CAKE POPS",Banana Loaf,115.0,380.0,17.0,3.0,0.2,70.0,270.0,52.0,2.0,29.0,5.0,0.02,0.0,0.02,0.1
"LOAVES, COFFEE CAKES, CAKE POPS",Banana Walnut Bread,125.0,420.0,21.0,3.0,0.0,55.0,350.0,52.0,2.0,31.0,6.0,0.04,0.02,0.04,0.15
"LOAVES, COFFEE CAKES, CAKE POPS",Lemon Loaf,115.0,430.0,20.0,6.0,0.3,90.0,310.0,57.0,1.0,30.0,6.0,0.08,0.04,0.04,0.1
"LOAVES, COFFEE CAKES, CAKE POPS",Iced Lemon Poundcake,126.0,470.0,20.0,9.0,0.5,100.0,310.0,68.0,1.0,42.0,6.0,0.3,0.04,0.04,0.25
"LOAVES, COFFEE CAKES, CAKE POPS",Chocolate Marble Pound Cake,118.0,490.0,24.0,13.0,1.0,120.0,110.0,64.0,2.0,43.0,6.0,0.2,0.0,0.02,0.2
"LOAVES, COFFEE CAKES, CAKE POPS",Reduced Fat Cinnamon Swirl Coffee Cake,110.0,370.0,9.0,4.5,0.3,20.0,280.0,67.0,2.0,41.0,5.0,0.25,0.02,0.06,0.15
"LOAVES, COFFEE CAKES, CAKE POPS",Birthday Cake Pop,43.0,170.0,9.0,5.0,0.0,10.0,110.0,23.0,0.0,18.0,1.0,0.0,0.0,0.02,0.0
"LOAVES, COFFEE CAKES, CAKE POPS",Chocolate Chip Cookie Dough Cake Pop,38.0,180.0,9.0,5.0,0.2,10.0,80.0,23.0,0.0,12.0,2.0,0.06,0.0,0.02,0.06
"LOAVES, COFFEE CAKES, CAKE POPS",Classic Coffee Cake,100.0,410.0,17.0,10.0,0.5,80.0,410.0,59.0,1.0,30.0,6.0,0.2,0.0,0.06,0.2
MUFFINS & SCONES,Maple Muffin,113.0,410.0,21.0,6.0,0.2,65.0,380.0,55.0,1.0,32.0,5.0,0.02,0.0,0.04,0.1
MUFFINS & SCONES,Blueberry Muffin,113.0,380.0,18.0,4.0,0.3,70.0,200.0,51.0,2.0,28.0,5.0,0.02,0.02,0.02,0.1
MUFFINS & SCONES,Blueberry Yogurt Muffin with Honey,113.0,380.0,16.0,4.0,0.0,60.0,260.0,53.0,1.0,30.0,6.0,0.06,0.0,0.04,0.1
MUFFINS & SCONES,Banana Chocolate Chip Muffin,113.0,410.0,25.0,5.0,0.2,65.0,320.0,56.0,2.0,25.0,6.0,0.0,0.0,0.02,0.25
MUFFINS & SCONES,Raisin Bran Muffin,113.0,320.0,12.0,2.0,0.0,45.0,410.0,53.0,6.0,28.0,6.0,0.02,0.0,0.04,0.15
MUFFINS & SCONES,Blueberry Scone,100.0,390.0,15.0,9.0,0.5,50.0,460.0,57.0,2.0,19.0,5.0,0.2,0.0,0.04,0.15
MUFFINS & SCONES,Cranberry Orange Scone,110.0,420.0,15.0,9.0,0.5,55.0,430.0,64.0,1.0,26.0,6.0,0.15,0.04,0.06,0.02
MUFFINS & SCONES,Petite Vanilla Bean Scone,33.0,130.0,5.0,3.0,0.0,16.0,110.0,19.0,0.0,9.0,2.0,0.04,0.0,0.02,0.04
MUFFINS & SCONES,Chocolate Chunk Muffin,113.0,440.0,21.0,7.0,0.3,60.0,350.0,60.0,2.0,39.0,7.0,0.0,0.0,0.04,0.25
