date, pm25, pm10, o3, no2, so2, co
2020/1/2, 144, 64, 13, 47, 6, 10
2020/1/3, 141, 58, 18, 47, 6, 13
2020/1/4, 126, 56, 9, 48, 6, 12
2020/1/5, 120, 43, 5, 24, 5, 9
2020/1/6, 99, 10, 9, 20, 4, 7
2020/1/7, 30, 28, 17, 14, 4, 8
2020/1/8, 67, 52, 22, 23, 5, 8
2020/1/9, 126, 61, 8, 46, 5, 11
2020/1/10, 144, 56, 21, 43, 6, 11
2020/1/11, 132, 48, 23, 23, 6, 7
2020/1/12, 115, 29, 21, 25, 4, 4
2020/1/13, 69, 33, 13, 39, 5, 8
2020/1/14, 80, 41, 15, 37, 6, 8
2020/1/15, 88, 45, 12, 39, 5, 8
2020/1/16, 96, 59, 7, 56, 6, 10
2020/1/17, 118, 61, 14, 51, 7, 10
2020/1/18, 124, 59, 23, 45, 6, 11
2020/1/19, 130, 56, 22, 31, 6, 8
2020/1/20, 101, 49, 17, 49, 7, 9
2020/1/21, 88, 51, 5, 59, 7, 10
2020/1/22, 101, 61, 23, 48, 7, 11
2020/1/23, 128, 65, 18, 32, 5, 10
2020/1/24, 151, , , , , 
2019/10/1, 104, 25, 8, 24, 4, 5
2019/10/2, 59, 9, 20, 15, 4, 3
2019/10/3, 19, 30, 26, 28, 6, 7
2019/10/4, 68, 43, 23, 18, 5, 6
2019/10/5, 82, 12, 30, 12, 3, 3
2019/10/6, 20, 11, 17, 25, 4, 5
2019/10/7, 26, 25, 27, 23, 4, 5
2019/10/8, 43, 26, 25, 28, 4, 5
2019/10/9, 40, 33, 11, 43, 5, 6
2019/10/10, 58, 39, 24, 33, 5, 6
2019/10/11, 62, 29, 22, 16, 4, 4
2019/10/12, 43, 24, 21, 16, 3, 5
2019/10/13, 43, 39, 22, 19, 4, 7
2019/10/14, 61, 26, 16, 22, 4, 7
2019/10/15, 39, 34, 21, 24, 4, 7
2019/10/16, 61, 33, 20, 24, 4, 7
2019/10/17, 66, 19, 21, 23, 4, 6
2019/10/18, 39, 22, 28, 25, 4, 5
2019/10/19, 45, 41, 32, 31, 4, 7
2019/10/20, 87, 45, 28, 46, 4, 8
2019/10/21, 90, 40, 25, 44, 5, 7
2019/10/22, 86, 23, 22, 31, 4, 6
2019/10/23, 54, 29, 32, 23, 4, 5
2019/10/24, 61, 25, 23, 26, 5, 5
2019/10/25, 51, 24, 25, 17, 4, 5
2019/10/26, 59, 26, 25, 25, 4, 6
2019/10/27, 64, 34, 25, 35, 5, 6
2019/10/28, 75, 78, 26, 23, 4, 5
2019/10/29, 73, 28, 17, 34, 5, 6
2019/10/30, 47, 69, 36, 40, 5, 7
2019/10/31, 94, 82, 25, 40, 5, 8
2019/11/1, 124, 64, 14, 59, 7, 10
2019/11/2, 128, 49, 28, 32, 5, 7
2019/11/3, 105, 13, 18, 30, 4, 5
2019/11/4, 29, 35, 24, 43, 6, 7
2019/11/5, 78, 50, 12, 49, 6, 9
2019/11/6, 106, 50, 25, 32, 5, 6
2019/11/7, 81, 45, 18, 38, 5, 7
2019/11/8, 58, 39, 8, 58, 7, 9
2019/11/9, 73, 32, 11, 45, 6, 7
2019/11/10, 77, 21, 16, 37, 5, 6
2019/11/11, 59, 32, 5, 51, 7, 8
2019/11/12, 74, 30, 5, 44, 6, 8
2019/11/13, 76, 19, 20, , 4, 4
2019/11/14, 27, 25, 5, 42, 4, 7
2019/11/15, 55, 36, 6, 40, 4, 9
2019/11/16, 80, 28, 11, 39, 5, 7
2019/11/17, 62, 61, 25, 18, 3, 5
2019/11/18, 46, 33, 23, 18, 4, 4
2019/11/19, 37, 24, 16, 37, 5, 6
2019/11/20, 48, 41, 6, 50, 6, 8
2019/11/21, 75, 50, 7, 52, 6, 10
2019/11/22, 84, 36, 8, 55, 5, 9
2019/11/23, 77, 32, 15, 40, 5, 9
2019/11/24, 77, 29, 14, 21, 4, 6
2019/11/25, 62, 27, 4, 36, 5, 7
2019/11/26, 66, 41, 15, 24, 5, 7
2019/11/27, 85, 41, 11, 32, 6, 7
2019/11/28, 81, 45, 13, 39, 6, 6
2019/11/29, 91, 47, 5, 55, 6, 9
2019/11/30, 103, 43, 8, 43, 4, 8
2019/12/1, 109, 25, 22, 19, 6, 5
2019/12/2, 54, 32, 11, 44, 5, 6
2019/12/3, 64, 33, 18, 33, 6, 6
2019/12/4, 68, 25, 25, 14, 6, 5
2019/12/5, 46, 34, 17, 24, 5, 5
2019/12/6, 63, 49, 5, 44, 6, 9
2019/12/7, 100, 56, 14, 34, 5, 9
2019/12/8, 133, 63, 9, 39, 6, 9
2019/12/9, 148, 84, 15, 60, 6, 13
2019/12/10, 162, 68, 23, 34, 5, 8
2019/12/11, 139, 20, 16, 25, 4, 5
2019/12/12, 59, 27, 5, 48, 6, 8
2019/12/13, 70, 41, 16, 30, 5, 7
2019/12/14, 95, 39, 10, 48, 4, 10
2019/12/15, 95, 43, 4, 56, 6, 11
2019/12/16, 88, 31, 11, 40, 5, 8
2019/12/17, 78, 42, 14, 30, 5, 7
2019/12/18, 95, 29, 16, 32, 5, 6
2019/12/19, 68, 32, 17, 31, 6, 6
2019/12/20, 76, 38, 3, 49, 5, 8
2019/12/21, 89, 60, 11, 46, 5, 9
2019/12/22, 144, 54, 14, 40, 4, 10
2019/12/23, 134, 67, 8, 49, 5, 12
2019/12/24, 155, 54, 5, 52, 4, 11
