date, pm25, pm10, o3, no2, so2, co
2020/1/2, 150, 58, 10, 33, 4, 12
2020/1/3, 132, 48, 23, 28, 4, 9
2020/1/4, 106, 64, 6, 33, 5, 13
2020/1/5, 155, 21, 12, 25, 2, 9
2020/1/6, 149, 19, 24, 11, 2, 3
2020/1/7, 57, 24, 28, 14, 1, 4
2020/1/8, 63, 32, 16, 25, 3, 6
2020/1/9, 127, 33, 27, 19, 4, 5
2020/1/10, 83, 20, 23, 12, 1, 3
2020/1/11, 47, 27, 21, 17, 4, 4
2020/1/12, 67, 22, 27, 8, 2, 4
2020/1/13, 51, 26, 23, 15, 2, 3
2020/1/14, 62, 54, 12, 29, 4, 8
2020/1/15, 127, 48, 25, 24, 5, 9
2020/1/16, 107, 73, 10, 34, 8, 15
2020/1/17, 165, 119, 9, 34, 3, 21
2020/1/18, 251, 58, 28, 11, 1, 5
2020/1/19, 94, 26, 25, 8, 1, 3
2020/1/20, 40, 54, 20, 21, 4, 8
2020/1/21, 132, 60, 17, 26, 5, 11
2020/1/22, 158, 51, 31, 18, 4, 9
2020/1/23, 127, 61, 30, 8, 3, 6
2020/1/24, 150, , , , , 
2019/10/1, 128, 60, 82, 11, 2, 9
2019/10/2, 140, 69, 116, 14, 1, 8
2019/10/3, 148, 29, 25, 6, 1, 4
2019/10/4, 46, 16, 30, 8, 1, 2
2019/10/5, 31, 37, 20, 18, 1, 4
2019/10/6, 80, 54, 31, 18, 1, 6
2019/10/7, 127, 25, 27, 10, 1, 2
2019/10/8, 34, 55, 36, 21, 3, 5
2019/10/9, 94, 46, 24, 15, 1, 5
2019/10/10, 131, 50, 17, 21, 3, 7
2019/10/11, 114, 63, 7, 27, 12, 14
2019/10/12, 95, 49, 9, 21, 4, 9
2019/10/13, 80, 19, 23, 12, 1, 3
2019/10/14, 42, 33, 19, 18, 1, 4
2019/10/15, 66, 40, 14, 21, 1, 5
2019/10/16, 89, 52, 3, 25, 1, 8
2019/10/17, 154, , 26, 20, 1, 8
2019/10/18, 156, 67, 16, 33, 2, 13
2019/10/19, 201, 100, 25, 23, 1, 8
2019/10/20, 154, 46, 18, 21, 1, 5
2019/10/21, 63, 82, 19, 33, 2, 10
2019/10/22, 124, 93, 39, 37, 2, 11
2019/10/23, 166, 75, 17, 33, 1, 13
2019/10/24, 163, 19, 22, 11, 1, 4
2019/10/25, 71, 50, 16, 23, 2, 6
2019/10/26, 98, 69, 17, 28, 2, 8
2019/10/27, 145, 148, 25, 12, 1, 3
2019/10/28, 90, 71, 21, 26, 3, 6
2019/10/29, 104, 86, 10, 37, 3, 9
2019/10/30, 153, 72, 31, 33, 2, 12
2019/10/31, 121, 59, 18, 25, 4, 8
2019/11/1, 90, 46, 10, 25, 1, 6
2019/11/2, 82, 48, 14, 16, 3, 5
2019/11/3, 97, 59, 16, 24, 2, 9
2019/11/4, 139, 52, 18, 21, 2, 7
2019/11/5, 118, 62, 10, 30, 2, 7
2019/11/6, 119, 44, 18, 18, 2, 5
2019/11/7, 82, 66, 11, 29, 2, 8
2019/11/8, 121, 71, 13, 34, 2, 11
2019/11/9, 162, 77, 25, 12, 1, 5
2019/11/10, 99, 49, 22, 20, 1, 5
2019/11/11, 69, 73, 8, 36, 4, 9
2019/11/12, 143, 52, 25, 6, 1, 2
2019/11/13, 47, 53, 11, 25, 4, 7
2019/11/14, 87, 62, 10, 23, 3, 8
2019/11/15, 101, 67, 6, 24, 6, 13
2019/11/16, 135, 142, 22, 17, 4, 9
2019/11/17, 139, 76, 22, 8, 1, 3
2019/11/18, 71, 51, 23, 13, 1, 4
2019/11/19, 71, 91, 5, 36, 6, 10
2019/11/20, 156, 109, 2, 38, 7, 16
2019/11/21, 173, 117, 2, 45, 7, 24
2019/11/22, 198, 103, 16, 35, 5, 17
2019/11/23, 197, 30, 26, 5, 1, 3
2019/11/24, 42, 28, 13, 14, 2, 4
2019/11/25, 55, 66, 4, 30, 4, 8
2019/11/26, 125, 23, 22, 14, 2, 3
2019/11/27, 36, 67, 5, 30, 8, 9
2019/11/28, 125, 65, 4, 30, 5, 10
2019/11/29, 143, 22, 24, 15, 2, 6
2019/11/30, 121, 29, 24, 8, 2, 3
2019/12/1, 52, 24, 22, 11, 1, 3
2019/12/2, 43, 42, 27, 21, 2, 5
2019/12/3, 63, 31, 27, 18, 2, 3
2019/12/4, 53, 38, 24, 20, 3, 7
2019/12/5, 76, 64, 9, 29, 3, 9
2019/12/6, 131, 60, 12, 30, 3, 8
2019/12/7, 137, 104, 2, 37, 2, 16
2019/12/8, 212, 125, 4, 41, 1, 19
2019/12/9, 237, 90, 23, 26, 1, 15
2019/12/10, 154, 18, 23, 13, 1, 3
2019/12/11, 37, 35, 16, 22, 1, 7
2019/12/12, 65, 47, 25, 20, 3, 9
2019/12/13, 82, 26, 17, 23, 2, 4
2019/12/14, 61, 66, 3, 33, 6, 13
2019/12/15, 145, 60, 1, 32, 1, 13
2019/12/16, 160, 19, 23, 6, 1, 3
2019/12/17, 45, 27, 16, 19, 1, 5
2019/12/18, 64, 26, 22, 10, 1, 4
2019/12/19, 52, 35, 13, 26, 1, 5
2019/12/20, 64, 56, 7, 30, 3, 9
2019/12/21, 130, 69, 7, 36, 5, 13
2019/12/22, 157, 47, 18, 20, 3, 10
2019/12/23, 108, 65, 9, 25, 2, 12
2019/12/24, 164, 51, 20, 20, 2, 10
2019/12/25, 128, 42, 21, 14, 1, 3
2019/12/26, 61, 73, 6, 32, 2, 9
2019/12/27, 117, 91, 5, 34, 6, 16
2019/12/28, 159, 101, 1, 45, 8, 24
2019/12/29, 186, , , , , 
2019/7/1, 34, 60, 75, 16, 1, 6
2019/7/2, 83, 39, 99, 15, 1, 5
2019/7/3, 87, 64, 124, 23, 2, 6
2019/7/4, 116, 54, 68, 18, 1, 6
2019/7/5, 95, 15, 28, 8, 1, 3
2019/7/6, 34, 21, 52, 8, , 5
2019/7/7, 53, 34, 82, 13, , 5
2019/7/8, 86, 50, 39, 22, , 6
2019/7/9, 99, 50, 73, 13, 2, 9
2019/7/10, 153, 37, 78, 10, 1, 4
2019/7/11, 87, 45, 113, 14, 1, 5
2019/7/12, 78, 73, 113, 19, 2, 10
2019/7/13, 154, 33, 96, 8, 1, 5
2019/7/14, 61, 64, 120, 13, 1, 9
2019/7/15, 149, 49, 82, 14, 2, 8
2019/7/16, 102, 42, 29, 17, , 7
2019/7/17, 137, 64, 102, 13, 1, 10
2019/7/18, 157, 59, 62, 14, 1, 8
2019/7/19, 143, 56, 38, 15, 1, 6
2019/7/20, 139, 65, 117, 13, , 8
2019/7/21, 153, 90, 51, 25, 1, 11
2019/7/22, 168, 38, 85, 9, 1, 5
2019/7/23, 86, 60, 104, 15, 1, 7
2019/7/24, 89, 53, 106, 17, 1, 5
2019/7/25, 70, 58, 123, 11, 1, 7
2019/7/26, 103, 75, 124, 14, 2, 8
2019/7/27, 163, 53, 94, 7, 1, 8
2019/7/28, 137, 15, 40, 10, 1, 5
2019/7/29, 51, 44, 90, 10, 1, 6
2019/7/30, 91, 42, 115, 14, 1, 5
2019/7/31, 72, 54, 117, 10, 1, 6
2019/8/1, 84, 44, 73, 11, 1, 8
2019/8/2, 94, 44, 97, 14, 1, 7
2019/8/3, 112, 48, 56, 15, 1, 8
2019/8/4, 115, 36, 45, 11, 1, 7
2019/8/5, 107, 53, 72, 14, 1, 7
2019/8/6, 132, 32, 88, 11, 1, 5
2019/8/7, 72, 50, 99, 18, 1, 7
2019/8/8, 110, 49, 66, 10, 1, 6
2019/8/9, 118, 29, 52, 13, 1, 6
