ชื่อจังหวัด อักษรไทย,ชื่อจังหวัด อักษรโรมัน,จำนวนประชากร (คน),พื้นที่ (ตร.กม.),ความหนาแน่น ประชากร (คน/ตร.กม.),ดพม.[2],ตัวย่อ อักษรไทย,ตัวย่อ อักษรโรมัน,รหัส ไอเอสโอ,รหัสฟิปส์
กำแพงเพชร,Kamphaeng Phet,727093,8607.5,84.5,0.725,กพ,KPT,TH-62,TH11
ชัยนาท,Chai Nat,334934,2469.7,135.6,0.7559999999999999,ชน,CNT,TH-18,TH32
นครนายก,Nakhon Nayok,252734,2122.0,119.1,0.758,นย,NYK,TH-26,TH43
นครปฐม,Nakhon Pathom,860246,2168.3,396.7,0.682,นฐ,NPT,TH-73,TH53
นครสวรรค์,Nakhon Sawan,1073495,9597.7,111.8,0.752,นว,NSN,TH-60,TH16
นนทบุรี,Nonthaburi,1101743,622.3,1770.4,0.743,นบ,NBI,TH-12,TH38
ปทุมธานี,Pathum Thani,985643,1525.9,645.9,0.805,ปท,PTE,TH-13,TH39
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,808360,2556.6,305.9,0.7290000000000001,อย,AYA,TH-14,TH36
พิจิตร,Phichit,552690,4531.0,122.0,0.693,พจ,PCT,TH-66,TH13
พิษณุโลก,Phitsanulok,849692,10815.8,78.6,0.7240000000000001,พล,PLK,TH-65,TH12
เพชรบูรณ์,Phetchabun,996031,12668.4,78.6,0.745,พช,PNB,TH-67,TH14
ลพบุรี,Lop Buri,755854,6199.8,121.9,0.742,ลบ,LRI,TH-16,TH34
สมุทรปราการ,Samut Prakan,1185180,1004.1,1180.3,0.825,สป,SPK,TH-11,TH42
สมุทรสงคราม,Samut Songkhram,194057,416.7,465.7,0.762,สส,SKM,TH-75,TH54
สมุทรสาคร,Samut Sakhon,491887,872.3,563.9,0.758,สค,SKN,TH-74,TH55
สระบุรี,Saraburi,617384,3576.5,172.6,0.7979999999999999,สบ,SRI,TH-19,TH37
สิงห์บุรี,Sing Buri,214661,822.5,261.0,0.7390000000000001,สห,SBR,TH-17,TH33
สุโขทัย,Sukhothai,601778,6596.1,91.2,0.738,สท,STI,TH-64,TH09
สุพรรณบุรี,Suphan Buri,845950,5358.0,157.9,0.7440000000000001,สพ,SPB,TH-72,TH51
อ่างทอง,Ang Thong,284970,968.4,294.3,0.72,อท,ATG,TH-15,TH35
อุทัยธานี,Uthai Thani,327959,6730.3,48.7,0.7040000000000001,อน,UTI,TH-61,TH15
