ชื่อจังหวัด อักษรไทย,ชื่อจังหวัด อักษรโรมัน,จำนวนประชากร (คน),พื้นที่ (ตร.กม.),ความหนาแน่น ประชากร (คน/ตร.กม.),ดพม.[2],ตัวย่อ อักษรไทย,ตัวย่อ อักษรโรมัน,รหัส ไอเอสโอ,รหัสฟิปส์
จันทบุรี,Chanthaburi,514616,6338.0,81.2,0.754,จบ,CTI,TH-22,TH48
ฉะเชิงเทรา,Chachoengsao,673933,5351.0,125.9,0.708,ฉช,CCO,TH-24,TH44
ชลบุรี,Chon Buri,1509125,4363.0,345.9,0.889,ชบ,CBI,TH-20,TH46
ตราด,Trat,220921,2819.0,78.4,0.675,ตร,TRT,TH-23,TH49
ปราจีนบุรี,Prachin Buri,466572,4762.4,98.0,0.755,ปจ,PRI,TH-25,TH74
ระยอง,Rayong,626402,3552.0,176.4,0.802,รย,RYG,TH-21,TH47
สระแก้ว,Sa Kaeo,485632,7195.1,75.6,0.688,สก,SKW,TH-27,TH80
