director_id,genre,prob
429,Adventure,0.75
429,Music,0.25
429,Fantasy,0.75
429,Romance,0.5
429,Family,0.75
429,Comedy,0.75
429,Short,0.25
429,Animation,0.75
2931,Action,0.428571
2931,Horror,0.142857
2931,Sci-Fi,0.428571
2931,Adventure,0.142857
2931,Fantasy,0.285714
2931,Thriller,0.285714
2931,Crime,0.285714
2931,Comedy,0.142857
2931,Drama,0.714286
9247,Drama,1
9247,Adventure,0.5
9247,Comedy,1
11652,Romance,0.25
11652,Sci-Fi,0.5
11652,Documentary,0.25
11652,Action,0.5
11652,Drama,0.25
11652,Adventure,0.166667
11652,Fantasy,0.0833333
11652,Short,0.25
11652,Horror,0.166667
11652,Thriller,0.416667
11652,Comedy,0.0833333
11652,Family,0.0833333
14927,Musical,0.5
14927,Sci-Fi,0.166667
14927,Romance,0.166667
14927,Mystery,0.166667
14927,Fantasy,0.333333
14927,Comedy,0.666667
14927,Animation,1
14927,Action,0.166667
14927,Adventure,0.5
14927,Family,1
15092,Comedy,0.545455
15092,Crime,0.545455
15092,Fantasy,0.0909091
15092,Thriller,0.363636
15092,Adventure,0.0909091
15092,Romance,0.272727
15092,Drama,0.454545
15093,Adventure,0.0833333
15093,Romance,0.25
15093,Crime,0.5
15093,Fantasy,0.0833333
15093,Comedy,0.583333
15093,Mystery,0.0833333
15093,Drama,0.416667
15093,Thriller,0.416667
15901,Mystery,0.0689655
15901,Sci-Fi,0.137931
15901,Romance,0.103448
15901,Action,0.0344828
15901,Fantasy,0.0344828
15901,Musical,0.0689655
15901,Music,0.0344828
15901,Documentary,0.0344828
15901,Drama,0.689655
15901,Short,0.0344828
15901,Comedy,0.206897
15901,War,0.0689655
15901,Adventure,0.0344828
15901,Crime,0.241379
15901,Western,0.0344828
15901,Thriller,0.172414
15901,Family,0.0344828
15901,Horror,0.103448
15906,Short,0.25
15906,Mystery,0.25
15906,Comedy,0.25
15906,Drama,1
16816,Romance,0.833333
16816,Sci-Fi,0.166667
16816,Thriller,0.166667
16816,Comedy,0.666667
16816,Music,0.166667
16816,Mystery,0.166667
16816,Drama,1
17810,Fantasy,0.166667
17810,Sci-Fi,0.166667
17810,Horror,0.333333
17810,Drama,0.666667
17810,Thriller,0.166667
17810,Romance,0.166667
17810,Short,0.166667
22104,Crime,0.307692
22104,Sci-Fi,0.0384615
22104,Music,0.0769231
22104,Thriller,0.423077
22104,Western,0.153846
22104,Comedy,0.192308
22104,Drama,0.769231
22104,Action,0.269231
22104,Romance,0.153846
22104,Mystery,0.0384615
22104,War,0.0769231
22104,Adventure,0.115385
24758,Horror,0.1
24758,Documentary,0.1
24758,Short,0.1
24758,Music,0.4
24758,Sci-Fi,0.1
24758,Crime,0.3
24758,Mystery,0.3
24758,Drama,0.4
